"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"Total"
"11 Rond�nia";111;125;7;59;10;2;-;-;-;-;-;314
"12 Acre";34;100;3;38;1;2;-;-;1;-;-;179
"13 Amazonas";223;271;32;130;1;20;-;-;1;-;-;678
"14 Roraima";47;52;2;2;-;3;1;-;3;-;-;110
"15 Par�";431;442;12;339;-;10;3;-;-;1;-;1238
"16 Amap�";38;99;9;18;-;12;-;-;-;1;-;177
"17 Tocantins";96;284;5;44;1;4;1;-;-;5;-;440
"21 Maranh�o";557;1208;22;92;-;36;3;-;-;7;-;1925
"22 Piau�";170;882;40;14;-;19;7;-;-;-;-;1132
"23 Cear�";389;1259;115;125;3;106;-;1;-;21;3;2022
"24 Rio Grande do Norte";57;811;1;26;-;15;1;-;-;22;-;933
"25 Para�ba";105;1149;6;23;6;58;-;-;-;4;-;1351
"26 Pernambuco";439;1324;83;205;5;52;-;-;-;5;2;2115
"27 Alagoas";141;575;30;29;1;30;2;9;-;6;-;823
"28 Sergipe";141;416;3;24;-;9;-;-;-;-;-;593
"29 Bahia";681;1858;17;520;13;47;13;2;-;15;-;3166
"31 Minas Gerais";1945;1666;446;169;27;165;13;-;-;8;1;4440
"32 Esp�rito Santo";173;389;1;135;3;1;-;-;-;1;-;703
"33 Rio de Janeiro";783;658;62;162;33;26;1;1;-;1;-;1727
"35 S�o Paulo";1817;1396;136;621;70;42;-;-;-;16;-;4098
"41 Paran�";581;750;393;236;4;45;2;1;-;1;-;2013
"42 Santa Catarina";539;769;33;95;1;18;-;-;-;1;-;1456
"43 Rio Grande do Sul";532;640;18;153;7;7;2;1;-;1;-;1361
"50 Mato Grosso do Sul";13;375;28;101;16;8;13;1;-;3;-;558
"51 Mato Grosso";193;328;46;64;6;3;5;-;-;1;-;646
"52 Goi�s";247;687;136;42;1;9;3;-;-;-;-;1125
"53 Distrito Federal";120;7;7;48;9;-;-;-;-;-;-;191
"Total";10603;18520;1693;3514;218;749;70;16;5;120;6;35514
