"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"Total"
"11 Rond�nia";115;125;7;66;11;3;-;-;-;2;-;329
"12 Acre";35;97;3;41;1;4;-;-;1;-;-;182
"13 Amazonas";227;276;36;129;1;22;-;-;1;1;-;693
"14 Roraima";45;54;2;2;-;3;2;-;5;-;-;113
"15 Par�";434;452;12;340;-;15;4;-;-;1;-;1258
"16 Amap�";35;101;9;18;-;11;1;-;-;1;-;176
"17 Tocantins";91;290;5;47;1;4;1;-;-;5;-;444
"21 Maranh�o";554;1208;22;94;-;42;3;-;-;5;-;1928
"22 Piau�";167;899;37;15;-;24;10;-;-;2;-;1154
"23 Cear�";402;1250;112;120;3;104;1;1;-;30;5;2028
"24 Rio Grande do Norte";58;812;2;25;-;21;1;-;-;22;-;941
"25 Para�ba";95;1163;6;22;6;75;-;-;-;3;-;1370
"26 Pernambuco";444;1334;82;208;5;68;-;4;-;6;2;2153
"27 Alagoas";145;577;30;25;1;31;2;10;-;5;-;826
"28 Sergipe";142;411;3;25;-;10;-;-;-;2;-;593
"29 Bahia";664;1892;18;544;13;56;18;2;-;20;-;3227
"31 Minas Gerais";1974;1690;475;156;27;183;17;-;-;4;1;4527
"32 Esp�rito Santo";167;387;1;138;4;1;-;-;-;3;-;701
"33 Rio de Janeiro";797;644;62;164;33;35;-;1;-;5;1;1742
"35 S�o Paulo";1785;1437;135;649;73;63;-;-;-;18;2;4162
"41 Paran�";575;781;393;233;4;53;3;1;-;6;-;2049
"42 Santa Catarina";543;773;32;95;1;26;1;-;-;1;-;1472
"43 Rio Grande do Sul";537;662;18;169;7;11;3;1;-;-;-;1408
"50 Mato Grosso do Sul";15;377;27;103;16;9;14;8;-;5;-;574
"51 Mato Grosso";191;322;46;65;5;5;10;-;-;1;-;645
"52 Goi�s";243;686;128;43;1;18;7;-;-;-;-;1126
"53 Distrito Federal";122;5;8;48;9;-;-;-;-;-;-;192
"Total";10602;18705;1711;3584;222;897;98;28;7;148;11;36013
