"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"Total"
"11 Rond�nia";114;125;7;60;10;2;-;-;-;2;-;320
"12 Acre";36;96;3;38;1;3;-;-;1;1;-;179
"13 Amazonas";223;271;35;127;1;22;-;-;1;-;-;680
"14 Roraima";45;54;2;2;-;3;2;-;4;-;-;112
"15 Par�";438;451;12;341;-;13;4;-;-;1;-;1260
"16 Amap�";37;99;9;18;-;11;1;-;-;1;-;176
"17 Tocantins";92;289;5;47;1;4;1;-;-;3;-;442
"21 Maranh�o";559;1221;22;91;-;41;3;-;-;5;-;1942
"22 Piau�";167;893;39;15;-;24;9;-;-;2;-;1149
"23 Cear�";381;1256;114;122;3;101;1;1;-;29;5;2013
"24 Rio Grande do Norte";55;812;2;25;-;21;1;-;-;22;-;938
"25 Para�ba";96;1161;6;23;6;72;-;-;-;3;-;1367
"26 Pernambuco";438;1334;83;207;5;67;-;4;-;4;2;2144
"27 Alagoas";143;579;30;27;1;31;2;10;-;6;-;829
"28 Sergipe";141;412;3;24;-;10;-;-;-;-;-;590
"29 Bahia";671;1882;17;543;13;52;17;2;-;16;-;3213
"31 Minas Gerais";1972;1679;466;156;27;173;17;-;-;6;2;4498
"32 Esp�rito Santo";169;389;1;137;3;1;-;-;-;3;-;703
"33 Rio de Janeiro";790;654;63;169;33;35;-;1;-;4;-;1749
"35 S�o Paulo";1795;1433;138;657;72;56;-;-;-;20;1;4172
"41 Paran�";582;776;393;228;4;52;3;1;-;4;-;2043
"42 Santa Catarina";547;775;31;95;1;23;1;-;-;-;-;1473
"43 Rio Grande do Sul";539;657;17;154;7;10;3;1;-;-;-;1388
"50 Mato Grosso do Sul";14;377;28;105;16;8;13;7;-;5;-;573
"51 Mato Grosso";196;326;45;64;5;4;8;-;-;1;-;649
"52 Goi�s";245;693;137;42;1;18;6;-;-;-;-;1142
"53 Distrito Federal";122;5;8;48;9;-;-;-;-;-;-;192
"Total";10607;18699;1716;3565;219;857;92;27;6;138;10;35936
