"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"Total"
"11 Rond�nia";115;128;6;66;12;3;-;-;-;2;1;333
"12 Acre";31;100;3;41;1;5;-;-;1;-;-;182
"13 Amazonas";227;277;37;130;1;23;-;-;1;1;-;697
"14 Roraima";47;50;2;2;-;3;1;-;6;-;-;111
"15 Par�";427;454;13;343;-;17;4;-;-;1;-;1259
"16 Amap�";37;101;9;18;-;12;2;-;-;1;-;180
"17 Tocantins";86;298;5;47;1;4;1;-;-;2;-;444
"21 Maranh�o";559;1224;22;96;-;46;2;-;-;8;-;1957
"22 Piau�";165;897;37;14;-;25;10;-;-;2;-;1150
"23 Cear�";411;1276;118;105;3;119;1;1;-;31;3;2068
"24 Rio Grande do Norte";49;823;2;25;-;24;2;-;-;22;-;947
"25 Para�ba";91;1173;6;22;6;78;-;-;-;2;-;1378
"26 Pernambuco";438;1333;82;211;5;69;-;4;-;7;2;2151
"27 Alagoas";143;581;30;25;1;32;2;10;-;5;-;829
"28 Sergipe";140;415;2;25;-;10;-;-;-;2;-;594
"29 Bahia";670;1909;18;560;14;59;21;2;-;18;-;3271
"31 Minas Gerais";1967;1702;476;161;27;186;17;-;-;4;1;4541
"32 Esp�rito Santo";161;397;1;135;6;1;-;-;-;3;-;704
"33 Rio de Janeiro";799;648;71;160;33;39;-;1;-;5;-;1756
"35 S�o Paulo";1776;1448;140;647;72;70;-;-;-;20;2;4175
"41 Paran�";580;772;394;230;4;54;3;1;-;5;-;2043
"42 Santa Catarina";550;771;32;93;1;26;2;-;-;1;-;1476
"43 Rio Grande do Sul";535;665;18;172;7;11;5;1;-;-;-;1414
"50 Mato Grosso do Sul";15;379;28;101;16;12;14;9;-;-;-;574
"51 Mato Grosso";193;324;46;65;7;6;10;-;-;1;-;652
"52 Goi�s";245;687;131;44;1;20;7;-;-;-;-;1135
"53 Distrito Federal";122;5;8;48;9;-;-;-;-;-;-;192
"Total";10579;18837;1737;3586;227;954;104;29;8;143;9;36213
