"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"Total"
"11 Rond�nia";102;120;7;62;12;3;-;-;-;306
"12 Acre";29;105;3;37;1;-;-;-;-;175
"13 Amazonas";219;265;32;127;1;13;-;-;1;658
"14 Roraima";47;52;1;2;-;-;-;-;-;102
"15 Par�";427;408;9;341;-;3;-;-;-;1188
"16 Amap�";49;85;2;21;-;5;-;-;-;162
"17 Tocantins";96;273;4;53;1;3;1;-;-;431
"21 Maranh�o";552;1204;22;103;-;8;3;-;-;1892
"22 Piau�";184;859;39;14;-;10;2;-;-;1108
"23 Cear�";369;1298;92;135;3;68;-;1;-;1966
"24 Rio Grande do Norte";70;806;1;26;-;10;-;-;-;913
"25 Para�ba";106;1141;6;24;6;40;-;-;-;1323
"26 Pernambuco";461;1294;95;195;5;33;1;-;-;2084
"27 Alagoas";144;571;30;32;-;25;-;1;-;803
"28 Sergipe";140;420;3;15;-;2;-;-;-;580
"29 Bahia";669;1787;15;523;12;35;7;2;-;3050
"31 Minas Gerais";1896;1593;437;178;26;131;9;-;-;4270
"32 Esp�rito Santo";176;368;1;141;2;-;-;-;-;688
"33 Rio de Janeiro";806;606;70;194;31;7;1;-;-;1715
"35 S�o Paulo";1862;1326;102;469;70;22;-;-;-;3851
"41 Paran�";576;740;388;231;4;23;1;1;-;1964
"42 Santa Catarina";568;725;28;97;-;12;-;-;-;1430
"43 Rio Grande do Sul";539;621;18;157;5;5;1;-;-;1346
"50 Mato Grosso do Sul";13;371;24;93;6;3;9;1;-;520
"51 Mato Grosso";173;320;44;68;6;3;4;-;-;618
"52 Goi�s";251;659;135;41;-;1;-;-;-;1087
"53 Distrito Federal";63;8;9;49;9;-;-;-;-;138
"Total";10587;18025;1617;3428;200;465;39;6;1;34368
