"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"Total"
"11 Rond�nia";104;121;7;57;10;2;-;-;-;-;-;301
"12 Acre";33;102;3;37;1;-;-;-;1;-;-;177
"13 Amazonas";219;273;32;130;1;21;-;-;1;-;-;677
"14 Roraima";47;55;1;2;-;3;1;-;-;-;-;109
"15 Par�";433;427;12;339;-;7;-;-;-;-;-;1218
"16 Amap�";38;99;9;18;-;12;-;-;-;1;-;177
"17 Tocantins";92;280;5;49;1;4;1;-;-;4;-;436
"21 Maranh�o";539;1203;21;98;-;34;2;-;-;7;-;1904
"22 Piau�";169;884;39;14;-;13;2;-;-;1;-;1122
"23 Cear�";380;1249;113;139;3;103;-;1;-;21;4;2013
"24 Rio Grande do Norte";60;803;1;25;-;12;1;-;-;22;-;924
"25 Para�ba";105;1144;6;23;6;55;-;-;-;3;-;1342
"26 Pernambuco";434;1313;90;198;5;51;-;-;-;1;-;2092
"27 Alagoas";137;574;30;32;1;29;2;9;-;7;-;821
"28 Sergipe";138;414;3;26;-;7;-;-;-;1;-;589
"29 Bahia";688;1823;16;518;13;42;11;2;-;18;-;3131
"31 Minas Gerais";1918;1655;439;176;27;158;12;-;-;8;1;4394
"32 Esp�rito Santo";171;383;1;137;3;-;-;-;-;-;-;695
"33 Rio de Janeiro";822;646;69;172;33;25;1;-;-;-;-;1768
"35 S�o Paulo";1824;1387;130;578;70;40;-;-;-;16;-;4045
"41 Paran�";581;742;388;237;4;43;2;1;-;1;-;1999
"42 Santa Catarina";543;750;28;100;-;17;-;-;-;-;-;1438
"43 Rio Grande do Sul";532;641;18;154;5;8;2;1;-;-;-;1361
"50 Mato Grosso do Sul";13;371;28;98;15;8;13;-;-;3;-;549
"51 Mato Grosso";198;324;45;63;6;3;5;-;-;-;-;644
"52 Goi�s";252;665;131;41;1;9;3;-;-;-;-;1102
"53 Distrito Federal";110;6;8;48;9;-;-;-;-;-;-;181
"Total";10580;18334;1673;3509;214;706;58;14;2;114;5;35209
