"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"Total"
"11 Rond�nia";113;128;7;59;10;2;-;-;-;2;-;321
"12 Acre";36;100;3;36;1;3;-;-;1;1;-;181
"13 Amazonas";221;272;33;129;1;20;-;-;1;-;-;677
"14 Roraima";45;53;2;2;-;3;1;-;3;-;-;109
"15 Par�";431;445;12;344;-;12;4;-;-;2;-;1250
"16 Amap�";39;99;9;18;-;13;1;-;-;1;-;180
"17 Tocantins";94;289;5;44;1;4;1;-;-;4;-;442
"21 Maranh�o";557;1218;22;90;-;37;3;-;-;6;-;1933
"22 Piau�";170;889;40;14;-;23;8;-;-;2;-;1146
"23 Cear�";383;1254;114;124;3;102;1;1;-;26;4;2012
"24 Rio Grande do Norte";56;820;1;26;-;17;1;-;-;22;-;943
"25 Para�ba";103;1157;6;22;6;64;-;-;-;2;-;1360
"26 Pernambuco";440;1329;83;206;5;60;-;4;-;6;2;2135
"27 Alagoas";143;580;30;28;1;31;2;9;-;5;-;829
"28 Sergipe";142;415;3;24;-;10;-;-;-;-;-;594
"29 Bahia";679;1871;17;529;13;47;17;2;-;20;-;3195
"31 Minas Gerais";1966;1674;448;153;27;170;15;-;-;5;3;4461
"32 Esp�rito Santo";173;389;2;139;3;1;-;-;-;3;-;710
"33 Rio de Janeiro";785;663;60;162;33;34;-;1;-;1;-;1739
"35 S�o Paulo";1818;1417;138;645;71;51;-;-;-;18;1;4159
"41 Paran�";584;766;393;230;4;46;3;1;-;4;-;2031
"42 Santa Catarina";552;772;32;95;1;22;-;-;-;1;-;1475
"43 Rio Grande do Sul";534;653;18;150;7;7;3;1;-;1;-;1374
"50 Mato Grosso do Sul";13;376;28;100;16;8;12;4;-;3;-;560
"51 Mato Grosso";196;324;47;64;6;3;5;-;-;1;-;646
"52 Goi�s";244;693;137;42;1;12;5;-;-;-;-;1134
"53 Distrito Federal";123;5;7;48;9;-;-;-;-;-;-;192
"Total";10640;18651;1697;3523;219;802;82;23;5;136;10;35788
