"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"11 Rond�nia";217;156;4;35;5;12;3;-;6;1;-;-;-;-;-;-;-;-;-;-;-;6;3;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;-;6;-;2;1;-;461
"12 Acre";79;128;1;18;-;17;4;-;8;1;-;5;6;1;-;-;6;-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;3;-;1;284
"13 Amazonas";268;367;45;81;-;50;5;-;37;1;-;15;29;-;5;7;1;-;26;2;-;11;5;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;1;-;-;2;-;-;1;4;2;3;1;1;973
"14 Roraima";66;41;11;1;-;5;5;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;133
"15 Par�";571;706;27;374;1;93;11;-;8;3;-;24;14;2;2;2;-;-;1;-;-;16;18;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;5;-;1;-;-;5;1;2;1891
"16 Amap�";85;89;2;-;2;18;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;207
"17 Tocantins";111;348;16;12;-;16;21;-;4;2;-;-;-;-;-;-;-;-;-;-;-;2;2;1;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;73;-;-;-;17;-;2;-;-;633
"21 Maranh�o";737;1290;23;97;-;145;27;-;1;16;-;-;-;-;-;-;-;-;-;-;-;11;11;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;3;-;-;8;3;1;4;8;3;2;5;-;2397
"22 Piau�";119;1137;48;9;-;84;58;-;-;8;-;-;-;-;-;-;-;-;-;-;-;4;11;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;99;7;1;2;-;-;-;1;-;1591
"23 Cear�";727;1562;144;94;2;219;37;19;-;59;-;-;-;-;-;-;-;-;-;-;-;20;18;-;2;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;2;7;-;-;3;-;5;1;2;2926
"24 Rio Grande do Norte";78;956;8;6;-;77;36;-;-;1;-;-;-;-;-;-;-;-;-;-;-;9;7;-;1;-;-;-;-;-;1;-;1;12;-;-;-;4;-;-;-;56;1;-;-;2;1;2;2;1;1262
"25 Para�ba";107;1263;18;12;7;143;55;2;-;17;-;-;-;-;-;-;-;-;-;-;-;9;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;75;6;-;-;3;-;-;-;-;1733
"26 Pernambuco";586;1576;52;208;-;201;32;20;-;25;2;-;-;-;-;-;-;-;-;-;-;28;17;-;-;-;-;-;-;-;-;-;-;5;-;-;3;2;-;-;-;-;4;-;1;-;2;1;-;17;2782
"27 Alagoas";153;655;29;34;-;91;28;11;-;7;-;-;-;-;-;-;-;-;-;-;-;17;14;-;-;-;-;-;-;-;2;-;-;-;-;-;-;6;-;-;-;13;3;-;-;1;-;4;2;-;1070
"28 Sergipe";171;465;2;14;2;26;10;1;-;3;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3;1;-;-;-;-;-;-;-;1;-;-;5;1;-;-;-;-;-;-;-;706
"29 Bahia";1050;2360;13;380;17;264;100;15;-;17;-;-;-;-;-;4;-;-;7;-;-;39;40;-;-;-;-;-;-;-;1;-;4;-;-;-;2;2;4;-;-;9;14;-;-;-;1;1;-;1;4345
"31 Minas Gerais";2242;2299;720;69;30;376;173;4;-;3;-;-;-;-;-;4;-;-;11;-;-;52;28;-;8;2;-;-;-;5;5;1;9;3;2;-;4;10;1;-;-;212;5;-;-;11;3;3;4;1;6300
"32 Esp�rito Santo";286;446;2;81;13;14;11;4;-;9;-;-;-;-;-;-;-;-;7;-;-;-;-;1;1;-;-;-;-;1;-;-;3;4;-;-;1;2;-;-;-;1;-;-;-;-;-;-;-;-;887
"33 Rio de Janeiro";1201;938;218;107;30;154;9;1;-;4;1;-;-;-;-;35;3;-;7;-;4;56;35;-;4;-;-;-;-;127;28;30;26;8;3;-;3;6;9;-;-;-;4;-;-;1;-;-;-;-;3052
"35 S�o Paulo";2839;1922;219;421;54;247;42;4;-;36;7;-;-;-;-;129;21;-;99;4;1;159;73;8;14;1;3;2;-;94;31;11;80;27;8;-;6;10;25;4;-;85;7;-;-;3;-;13;1;3;6713
"41 Paran�";956;985;378;157;2;128;62;-;-;8;-;-;-;-;-;6;2;-;42;9;-;22;10;4;1;3;-;-;-;16;6;1;14;5;3;-;1;7;1;4;1;77;-;-;-;2;1;-;-;2;2916
