"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"11 Rond�nia";231;159;5;27;4;12;2;-;9;1;-;-;-;-;-;-;-;-;-;-;6;3;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;-;5;-;2;1;-;470
"12 Acre";86;127;1;19;-;17;4;-;10;1;-;5;6;1;-;-;5;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;3;-;-;291
"13 Amazonas";269;366;41;79;-;49;5;-;47;1;-;14;32;-;6;9;-;-;26;1;10;5;-;-;-;-;-;-;-;-;-;2;-;2;1;-;2;-;-;2;-;-;1;4;2;3;1;1;981
"14 Roraima";71;38;12;1;1;5;5;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;137
"15 Par�";606;730;26;374;1;94;11;-;13;1;-;23;14;1;3;2;-;-;1;-;16;19;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;5;-;1;-;-;3;1;2;1950
"16 Amap�";78;89;5;1;-;17;2;-;-;-;-;1;-;-;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;201
"17 Tocantins";111;360;16;8;-;27;20;-;5;4;-;-;-;-;-;-;-;-;-;-;4;3;2;15;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;75;-;-;-;20;-;2;-;-;673
"21 Maranh�o";756;1277;23;90;-;153;29;-;3;18;-;-;3;-;-;-;-;-;-;-;11;11;-;-;-;-;-;-;-;-;3;1;-;-;-;-;3;-;-;8;3;1;4;8;3;2;4;-;2414
"22 Piau�";111;1155;47;8;-;85;58;-;-;4;-;-;-;-;-;-;-;-;-;-;4;11;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;102;8;1;2;-;-;-;-;-;1598
"23 Cear�";732;1542;143;128;3;222;37;20;-;60;4;-;-;-;-;-;-;-;-;-;19;19;3;12;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;2;8;-;-;3;2;5;-;2;2969
"24 Rio Grande do Norte";81;976;7;3;-;79;39;-;-;2;-;-;-;-;-;-;-;-;-;-;9;8;-;-;-;-;-;-;1;-;3;7;-;-;-;4;-;2;-;55;2;-;-;2;1;2;1;2;1286
"25 Para�ba";107;1278;17;12;7;142;55;3;-;8;-;-;-;-;-;-;-;-;-;-;7;11;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;75;6;-;-;3;-;-;-;-;1736
"26 Pernambuco";596;1619;55;185;-;213;33;22;-;12;1;-;-;-;-;-;-;-;-;-;27;16;-;-;-;-;-;-;-;-;-;1;-;-;3;2;-;-;-;2;4;-;1;-;-;2;-;18;2812
"27 Alagoas";155;664;29;29;-;92;29;11;-;2;-;-;-;-;-;-;-;-;-;-;17;14;-;1;-;-;-;-;2;-;-;-;-;-;-;6;-;-;-;13;3;-;-;-;-;2;2;-;1071
"28 Sergipe";158;441;2;29;2;24;10;-;-;12;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3;1;-;7;2;-;-;-;-;1;-;-;5;1;-;-;-;-;-;-;-;699
"29 Bahia";1112;2382;14;361;18;270;103;13;-;19;-;-;-;-;-;4;-;-;7;-;40;40;-;-;-;-;-;1;-;-;9;-;-;-;2;2;5;-;-;9;13;-;-;-;1;1;-;1;4427
"31 Minas Gerais";2247;2312;729;60;29;381;175;6;-;3;-;-;-;-;-;4;-;-;11;-;51;28;-;11;1;-;-;4;3;2;10;5;1;-;4;10;2;-;-;219;6;1;-;13;4;3;4;1;6340
"32 Esp�rito Santo";298;454;2;89;11;19;12;3;-;3;-;-;-;-;-;-;-;-;7;-;-;-;1;1;-;-;-;1;-;-;1;2;-;-;1;2;-;-;-;1;-;-;-;1;-;-;-;-;909
"33 Rio de Janeiro";1295;952;212;150;29;159;9;1;-;8;1;-;-;-;-;29;-;-;6;-;56;35;-;4;-;-;-;166;41;37;49;5;2;-;2;6;11;-;-;1;4;-;-;1;-;-;-;-;3271
"35 S�o Paulo";2939;1970;215;382;53;249;45;4;-;15;5;-;-;-;-;136;20;-;93;3;175;75;11;16;3;2;1;117;45;22;59;25;4;-;8;11;23;4;-;90;6;-;-;8;1;12;2;3;6852
"41 Paran�";994;976;365;158;2;125;68;-;-;6;-;-;-;-;-;8;4;-;41;7;21;10;7;2;3;-;-;16;4;2;18;4;5;-;3;7;1;2;1;80;-;-;-;2;1;-;1;2;2946
"42 Santa Catarina";703;966;57;57;1;105;57;2;-;5;-;-;-;-;-;3;-;-;5;1;9;6;2;-;-;-;-;3;1;-;11;2;-;-;3;1;-;-;-;113;3;-;-;9;2;2;2;5;2136
