"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"11 Rond�nia";227;158;5;29;4;12;2;-;9;1;-;-;-;-;-;-;-;-;-;-;6;3;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;-;6;-;2;1;-;468
"12 Acre";85;126;1;19;-;17;4;-;10;1;-;5;6;1;-;-;5;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;3;-;-;289
"13 Amazonas";272;360;41;81;-;49;5;-;47;2;-;16;30;-;6;9;-;-;25;-;11;5;-;-;-;-;-;-;-;-;-;2;-;2;1;-;2;-;-;2;-;-;1;4;2;3;-;1;979
"14 Roraima";71;38;12;1;1;5;5;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;137
"15 Par�";610;729;25;380;1;95;11;-;13;2;-;22;14;1;3;2;-;-;1;-;16;18;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;4;-;1;-;-;5;1;2;1959
"16 Amap�";78;91;5;-;1;18;2;-;-;-;-;1;-;-;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;1;205
"17 Tocantins";109;358;16;10;-;26;21;-;5;5;-;-;-;-;-;-;-;-;-;-;4;3;2;15;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;75;-;-;-;20;-;2;-;-;672
"21 Maranh�o";752;1268;23;94;-;156;29;-;3;22;-;-;3;-;-;-;-;-;-;-;11;11;-;-;-;-;-;-;-;-;3;1;-;-;-;-;3;-;-;8;3;1;4;8;3;2;3;-;2411
"22 Piau�";111;1150;47;10;-;85;58;-;-;6;-;-;-;-;-;-;-;-;-;-;4;11;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;102;8;1;2;-;-;1;-;-;1598
"23 Cear�";725;1492;139;158;3;221;37;20;-;100;7;-;-;-;-;-;-;-;-;-;20;19;3;12;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;2;7;-;-;3;2;5;-;2;2980
"24 Rio Grande do Norte";84;972;7;5;-;80;39;-;-;2;-;-;-;-;-;-;-;-;-;-;9;8;-;-;-;-;-;-;1;-;3;6;-;-;-;4;-;2;-;55;2;-;-;2;1;2;1;2;1287
"25 Para�ba";113;1267;19;12;7;143;55;3;-;10;-;-;-;-;-;-;-;-;-;-;9;11;-;-;-;-;-;-;-;-;1;1;-;-;-;5;-;-;-;74;6;-;-;3;-;-;-;-;1739
"26 Pernambuco";597;1592;55;197;-;212;33;21;-;20;1;-;-;-;-;-;-;-;-;-;27;16;-;-;-;-;-;-;-;-;-;1;-;-;3;2;-;-;-;2;4;-;1;-;-;2;-;10;2796
"27 Alagoas";154;664;29;32;-;92;29;11;-;1;-;-;-;-;-;-;-;-;-;-;17;14;-;1;-;-;-;-;2;-;-;-;-;-;-;6;-;-;-;13;3;-;-;-;-;2;2;-;1072
"28 Sergipe";159;439;2;31;2;24;10;-;-;11;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4;1;-;6;2;-;-;-;-;1;-;-;5;1;-;-;-;-;-;-;-;699
"29 Bahia";1126;2334;14;378;18;271;100;13;-;21;-;-;-;-;-;4;-;-;7;-;40;40;-;-;-;-;-;1;-;-;9;-;-;-;2;2;5;-;-;9;13;-;-;-;1;1;-;1;4410
"31 Minas Gerais";2261;2310;719;60;29;381;176;6;-;4;-;-;-;-;-;4;-;-;11;-;51;28;-;12;1;-;-;4;5;2;10;2;1;-;4;10;2;-;-;217;6;1;-;13;4;3;4;1;6342
"32 Esp�rito Santo";297;451;2;91;11;19;12;4;-;3;-;-;-;-;-;-;-;-;7;-;-;-;1;1;-;-;-;1;-;-;1;2;-;-;1;2;-;-;-;1;-;-;-;1;-;-;-;-;908
"33 Rio de Janeiro";1288;935;209;149;29;160;9;1;-;11;5;-;-;-;-;29;-;-;6;-;55;35;-;4;-;-;-;166;42;36;62;10;2;-;2;6;11;-;-;1;4;-;1;1;-;-;-;-;3269
"35 S�o Paulo";2919;1968;211;403;53;263;44;4;-;11;8;-;-;-;-;136;20;-;93;3;176;75;10;15;3;2;1;117;48;19;58;26;5;-;7;11;25;4;-;89;6;-;-;8;1;13;2;3;6860
"41 Paran�";994;969;363;160;2;124;68;-;-;8;-;-;-;-;-;8;4;-;41;7;21;10;6;2;3;-;-;15;4;2;19;4;6;-;3;7;1;2;1;80;-;-;-;2;1;-;1;2;2940
"42 Santa Catarina";709;958;57;56;1;105;58;2;-;5;-;-;-;-;-;3;-;-;5;1;9;6;2;-;-;-;-;3;1;-;11;3;-;-;3;1;-;-;-;113;3;-;-;9;2;2;2;5;2135
"43 Rio Grande do Sul";996;935;57;144;1;49;23;7;-;3;2;-;-;-;-;8;15;3;12;5;29;10;3;6;-;1;-;8;8;-;36;7;3;-;1;4;1;21;-;76;2;-;2;7;2;19;3;4;2513
"50 Mato Grosso do Sul";28;500;17;79;5;33;18;19;-;7;-;-;-;-;-;-;-;-;1;-;4;5;-;-;-;-;-;-;3;-;-;5;-;-;-;2;1;1;-;12;2;-;-;19;8;7;4;1;781
"51 Mato Grosso";201;426;57;74;7;17;22;-;14;2;-;-;-;-;-;-;-;-;-;-;2;2;-;-;-;-;-;1;-;-;2;-;-;-;-;1;1;-;-;29;1;-;-;-;-;-;-;-;859
"52 Goi�s";365;918;93;28;5;76;39;1;-;-;-;-;-;-;-;1;-;-;-;-;26;25;1;1;-;-;-;-;-;1;-;1;-;-;-;-;3;-;-;87;6;-;-;16;4;1;1;-;1699
"53 Distrito Federal";186;90;-;13;-;10;-;-;-;3;-;-;-;-;-;3;3;-;-;-;14;9;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;5;-;5;344
"Total";15517;23498;2225;2694;180;2743;909;112;101;261;23;44;55;2;9;207;47;3;209;16;567;368;29;69;7;3;1;320;115;60;223;74;17;2;30;68;60;30;1;1058;81;3;12;122;31;80;25;40;52351
