"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"11 Rond�nia";218;159;4;30;5;11;2;-;5;-;1;-;-;-;-;-;-;-;-;-;-;6;3;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;1;-;1;-;-;-;5;-;2;1;-;457
"12 Acre";84;127;1;20;-;17;4;-;10;1;-;5;6;1;-;-;7;-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;3;-;1;293
"13 Amazonas";273;362;42;81;-;48;5;-;44;2;-;14;29;-;6;9;-;-;25;2;-;10;5;-;-;-;-;-;-;-;-;-;-;1;-;2;1;-;2;-;-;2;-;-;1;4;2;3;1;1;977
"14 Roraima";70;40;11;1;-;5;5;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;136
"15 Par�";573;712;27;379;1;94;11;-;6;5;-;24;14;2;2;2;-;-;1;-;-;17;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;5;-;1;-;-;5;1;2;1905
"16 Amap�";79;91;5;1;2;18;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;208
"17 Tocantins";105;337;16;15;-;19;21;-;5;7;-;-;-;-;-;-;-;-;-;-;-;2;2;4;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;74;-;-;-;19;-;2;-;-;643
"21 Maranh�o";723;1270;23;114;-;145;26;-;1;25;-;-;3;-;-;-;-;-;-;-;-;11;11;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;3;-;-;8;3;1;4;8;3;2;5;-;2391
"22 Piau�";116;1148;47;8;-;86;58;-;-;10;-;-;-;-;-;-;-;-;-;-;-;5;11;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;101;7;1;2;-;-;-;1;-;1603
"23 Cear�";703;1532;143;129;2;222;36;20;-;86;2;-;-;-;-;-;-;-;-;-;-;20;18;3;9;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;2;8;-;-;3;1;5;1;2;2950
"24 Rio Grande do Norte";78;966;9;4;-;75;36;-;-;8;-;-;-;-;-;-;-;-;-;-;-;9;7;-;-;-;-;-;-;-;1;-;2;9;-;-;-;4;-;-;-;57;1;-;-;2;1;2;2;1;1274
"25 Para�ba";107;1252;17;13;7;143;54;2;-;20;-;-;-;-;-;-;-;-;-;-;-;8;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;69;6;-;-;3;-;-;-;-;1717
"26 Pernambuco";592;1575;52;204;-;206;32;22;-;31;2;-;-;-;-;-;-;-;-;-;-;28;17;-;-;-;-;-;-;-;-;-;-;-;-;-;3;2;-;-;-;-;4;-;1;-;1;2;-;18;2792
"27 Alagoas";156;652;29;31;-;91;28;11;-;9;-;-;-;-;-;-;-;-;-;-;-;17;14;-;1;-;-;-;-;-;2;-;-;-;-;-;-;6;-;-;-;13;3;-;-;1;-;4;2;-;1070
"28 Sergipe";167;461;2;20;2;26;10;1;-;6;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3;1;-;1;-;-;-;-;-;1;-;-;5;1;-;-;-;-;-;-;-;708
"29 Bahia";1044;2380;15;387;17;265;98;15;-;19;-;-;-;-;-;4;-;-;6;-;-;39;40;-;-;-;-;-;-;-;1;-;5;-;-;-;2;2;4;-;-;9;15;-;-;-;1;1;-;1;4370
"31 Minas Gerais";2231;2286;721;66;30;373;175;4;-;6;-;-;-;-;-;4;-;-;11;-;-;51;28;-;12;2;-;-;-;4;3;-;8;4;2;-;4;10;2;-;-;215;5;-;-;11;3;3;4;1;6279
"32 Esp�rito Santo";280;441;2;103;11;14;12;4;-;11;-;-;-;-;-;-;-;-;7;-;-;-;-;1;1;-;-;-;-;1;-;-;4;3;-;-;1;2;-;-;-;1;-;-;-;1;-;-;-;-;900
"33 Rio de Janeiro";1228;935;209;121;25;161;9;1;-;11;2;-;-;-;-;30;-;-;6;-;-;56;35;-;4;-;-;-;-;124;31;33;29;10;8;-;2;6;10;-;-;-;4;-;-;1;-;-;-;-;3091
"35 S�o Paulo";2856;1935;217;398;54;249;43;4;-;26;6;-;-;-;-;130;21;-;98;4;1;167;74;11;15;4;3;2;-;110;36;12;83;30;9;-;6;11;22;4;-;86;6;-;-;3;-;13;1;4;6754
"41 Paran�";949;982;374;168;2;127;66;-;-;12;-;-;-;-;-;6;2;-;43;8;-;21;10;6;2;2;-;-;-;15;6;1;17;6;5;-;2;7;1;4;1;77;-;-;-;2;1;-;1;2;2928
"42 Santa Catarina";689;959;59;55;1;102;57;1;-;3;-;-;-;-;-;2;-;-;5;1;-;10;6;2;-;-;-;-;-;2;1;-;11;3;-;-;2;1;-;-;-;113;3;-;-;6;2;1;2;5;2104
