"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"11 Rond�nia";221;156;5;35;5;12;2;-;6;-;-;-;-;-;-;-;-;-;-;-;-;6;3;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;1;-;1;-;-;-;6;-;2;1;-;465
"12 Acre";83;127;1;21;-;17;4;-;10;1;-;5;6;1;-;-;7;-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;3;-;1;293
"13 Amazonas";275;365;43;81;-;50;5;-;39;1;-;14;29;-;6;9;-;-;25;2;-;10;5;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;2;-;-;2;-;-;1;4;2;3;1;1;978
"14 Roraima";69;41;11;1;-;5;5;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;136
"15 Par�";576;710;27;370;1;93;11;-;6;5;-;24;14;2;2;2;-;-;1;-;-;16;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;5;-;1;-;-;5;1;2;1895
"16 Amap�";81;91;5;-;2;18;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;209
"17 Tocantins";109;340;16;12;-;19;21;-;4;4;-;-;-;-;-;-;-;-;-;-;-;2;2;4;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;71;-;-;-;20;-;2;-;-;641
"21 Maranh�o";730;1278;23;105;-;146;27;-;1;21;-;-;3;-;-;-;-;-;-;-;-;11;11;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;3;-;-;8;3;1;4;8;3;2;5;-;2395
"22 Piau�";116;1141;49;8;-;84;57;-;-;9;-;-;-;-;-;-;-;-;-;-;-;5;12;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;101;8;1;2;-;-;-;1;-;1596
"23 Cear�";690;1520;142;134;2;220;36;20;-;90;6;-;-;-;-;-;-;-;-;-;-;20;18;1;11;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;2;8;-;-;3;-;5;1;2;2934
"24 Rio Grande do Norte";84;954;9;4;-;75;37;-;-;7;-;-;-;-;-;-;-;-;-;-;-;9;7;-;-;-;-;-;-;-;1;-;2;10;-;-;-;4;-;-;-;57;1;-;-;2;1;2;2;1;1269
"25 Para�ba";109;1247;18;13;7;144;55;3;-;23;-;-;-;-;-;-;-;-;-;-;-;7;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;72;6;-;-;3;-;-;-;-;1722
"26 Pernambuco";585;1568;52;210;-;206;32;22;-;33;2;-;-;-;-;-;-;-;-;-;-;28;17;-;-;-;-;-;-;-;-;-;-;1;-;-;3;2;-;-;-;-;4;-;1;-;1;1;-;16;2784
"27 Alagoas";151;647;29;35;-;91;28;11;-;10;-;-;-;-;-;-;-;-;-;-;-;17;14;-;1;-;-;-;-;-;2;-;-;-;-;-;-;6;-;-;-;13;3;-;-;1;-;4;2;-;1065
"28 Sergipe";164;457;2;21;2;26;10;1;-;6;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3;1;-;1;1;-;-;-;-;1;-;-;5;1;-;-;-;-;-;-;-;703
"29 Bahia";1052;2356;15;387;17;264;100;15;-;21;-;-;-;-;-;4;-;-;7;-;-;39;41;-;-;-;-;-;-;-;1;-;5;-;-;-;2;2;4;-;-;9;15;-;-;-;1;1;-;1;4359
"31 Minas Gerais";2242;2289;716;70;30;377;178;5;-;7;-;-;-;-;-;4;-;-;11;-;-;52;28;-;12;2;-;-;-;4;4;1;8;3;1;-;4;10;2;-;-;211;5;-;-;11;3;3;4;1;6298
