"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"11 Rond�nia";222;157;4;32;5;10;3;-;6;1;-;-;-;-;-;-;-;-;-;-;-;6;3;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;-;5;-;2;1;-;461
"12 Acre";81;128;1;18;-;17;4;-;7;-;-;5;6;1;-;-;3;-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;3;-;1;281
"13 Amazonas";269;368;43;81;-;50;6;-;34;1;-;16;29;-;5;7;1;-;26;2;-;11;5;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;1;-;-;2;-;-;1;4;2;3;1;1;972
"14 Roraima";67;42;11;1;1;5;5;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;136
"15 Par�";574;705;27;378;1;95;11;-;8;3;-;24;17;2;2;-;-;-;1;-;-;15;17;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;4;-;1;-;-;5;1;2;1896
"16 Amap�";84;88;2;1;2;18;2;-;-;1;-;1;-;-;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;207
"17 Tocantins";110;356;16;12;-;16;20;-;4;2;-;-;-;-;-;-;-;-;-;-;-;2;2;1;5;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;74;-;-;-;18;-;2;-;-;641
"21 Maranh�o";744;1291;23;93;-;142;28;-;1;13;-;-;-;-;-;-;-;-;-;-;-;11;11;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;3;-;-;8;3;1;4;8;3;2;5;-;2396
"22 Piau�";121;1140;48;8;-;84;58;-;-;5;-;-;-;-;-;-;-;-;-;-;-;4;11;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;98;8;1;2;-;-;-;1;-;1592
"23 Cear�";753;1536;149;82;2;223;37;19;-;61;-;-;-;-;-;-;-;-;-;-;-;20;18;-;2;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;2;7;-;-;3;-;5;1;2;2925
"24 Rio Grande do Norte";82;965;8;6;-;78;35;-;-;1;-;-;-;-;-;-;-;-;-;-;-;9;7;-;1;-;-;-;-;-;2;-;1;10;-;-;-;4;-;-;-;56;1;-;-;1;2;2;2;1;1274
"25 Para�ba";107;1269;16;12;7;143;54;1;-;7;-;-;-;-;-;-;-;-;-;-;-;9;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;75;6;-;-;3;-;-;-;-;1725
"26 Pernambuco";588;1573;54;208;-;205;31;18;-;22;1;-;-;-;-;-;-;-;-;-;-;28;17;-;-;-;-;-;-;-;-;-;-;5;-;-;3;2;-;-;-;-;4;-;1;-;2;1;-;16;2779
"27 Alagoas";155;659;27;29;-;90;28;11;-;3;-;-;-;-;-;-;-;-;-;-;-;17;14;-;-;-;-;-;-;-;2;-;-;-;-;-;-;6;-;-;-;13;3;-;-;1;-;4;2;-;1064
"28 Sergipe";168;468;2;14;2;26;10;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3;1;-;-;-;-;-;-;-;1;-;-;5;1;-;-;-;-;-;-;-;705
"29 Bahia";1018;2395;13;377;18;263;99;15;-;14;-;-;-;-;-;4;-;-;7;-;-;38;40;-;-;-;-;-;-;-;1;-;3;1;-;-;2;2;4;-;-;9;14;-;-;-;1;1;-;1;4340
"31 Minas Gerais";2266;2266;726;65;30;378;174;4;-;6;-;-;-;-;-;4;-;-;11;-;-;52;28;-;8;2;-;-;-;3;5;1;11;5;2;-;4;10;1;-;-;211;5;-;-;9;3;4;4;1;6299
