"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"11 Rond�nia";217;157;5;35;5;12;3;-;6;-;-;-;-;-;-;-;-;-;-;-;-;6;3;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;1;-;1;-;-;-;6;-;2;1;-;463
"12 Acre";83;127;1;20;-;17;4;-;9;1;-;5;6;1;-;-;7;-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;3;-;1;291
"13 Amazonas";272;365;45;81;-;50;5;-;37;1;-;15;29;-;5;8;1;-;25;2;-;11;5;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;2;-;-;2;-;-;1;4;2;3;1;1;976
"14 Roraima";64;43;11;1;-;5;5;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;133
"15 Par�";582;705;27;373;1;94;11;-;8;4;-;24;14;2;2;2;-;-;1;-;-;16;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;5;-;1;-;-;5;1;2;1901
"16 Amap�";80;91;5;-;2;18;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;208
"17 Tocantins";111;340;16;11;-;16;21;-;5;5;-;-;-;-;-;-;-;-;-;-;-;2;2;2;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;73;-;-;-;19;-;2;-;-;638
"21 Maranh�o";732;1285;23;99;-;146;27;-;1;18;-;-;3;-;-;-;-;-;-;-;-;11;11;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;3;-;-;8;3;1;4;8;3;2;5;-;2395
"22 Piau�";121;1136;49;9;-;84;58;-;-;9;-;-;-;-;-;-;-;-;-;-;-;5;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;98;8;1;2;-;-;-;1;-;1594
"23 Cear�";704;1549;141;117;2;220;37;19;-;81;3;-;-;-;-;-;-;-;-;-;-;20;18;-;3;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;2;8;-;-;3;-;5;1;2;2938
"24 Rio Grande do Norte";82;965;8;4;-;80;35;-;-;1;-;-;-;-;-;-;-;-;-;-;-;9;7;-;1;-;-;-;-;-;1;-;1;11;-;-;-;4;-;-;-;56;1;-;-;2;1;2;2;1;1274
"25 Para�ba";109;1256;18;12;7;144;55;2;-;24;-;-;-;-;-;-;-;-;-;-;-;7;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;75;6;-;-;3;-;-;-;-;1733
"26 Pernambuco";573;1583;52;209;-;204;32;23;-;30;2;-;-;-;-;-;-;-;-;-;-;28;17;-;-;-;-;-;-;-;-;-;-;3;-;-;3;2;-;-;-;-;4;-;1;-;1;1;-;16;2784
"27 Alagoas";153;653;29;33;-;91;28;11;-;9;-;-;-;-;-;-;-;-;-;-;-;17;14;-;-;-;-;-;-;-;2;-;-;-;-;-;-;6;-;-;-;13;3;-;-;1;-;4;2;-;1069
"28 Sergipe";165;462;2;19;2;26;10;1;-;6;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3;1;-;-;-;-;-;-;-;1;-;-;5;1;-;-;-;-;-;-;-;705
"29 Bahia";1057;2357;14;379;17;265;100;15;-;19;-;-;-;-;-;4;-;-;7;-;-;39;40;-;-;-;-;-;-;-;1;-;5;-;-;-;2;2;4;-;-;9;14;-;-;-;1;1;-;1;4353
"31 Minas Gerais";2236;2297;730;69;30;375;175;5;-;5;-;-;-;-;-;4;-;-;11;-;-;52;28;-;9;2;-;-;-;4;4;1;8;3;2;-;4;10;1;-;-;213;5;-;-;11;3;3;4;1;6305
