"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"11 Rond�nia";223;159;3;34;5;12;2;-;5;-;1;-;-;-;-;-;-;-;-;-;-;6;3;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;1;-;1;-;-;-;5;-;2;1;-;466
"12 Acre";83;126;1;20;-;17;4;-;10;2;-;5;6;1;-;-;6;-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;3;-;1;291
"13 Amazonas";269;365;42;75;-;50;5;-;46;1;-;14;29;-;6;9;-;-;25;2;-;10;5;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;1;-;-;2;-;-;1;4;2;3;1;1;971
"14 Roraima";70;41;11;1;1;5;5;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;138
"15 Par�";576;717;26;378;1;95;12;-;6;3;-;24;14;2;2;2;-;-;1;-;-;17;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;5;-;1;-;-;5;1;2;1911
"16 Amap�";78;91;5;1;2;18;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;207
"17 Tocantins";104;337;16;16;-;18;21;-;3;8;-;-;-;-;-;-;-;-;-;-;-;2;2;4;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;73;-;-;-;19;-;2;-;-;640
"21 Maranh�o";736;1277;22;102;-;148;26;-;3;23;-;-;3;-;-;-;-;-;-;-;-;11;11;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;3;-;-;8;3;1;4;8;3;2;5;-;2401
"22 Piau�";113;1120;47;8;-;85;58;-;-;8;-;-;-;-;-;-;-;-;-;-;-;4;10;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;100;7;1;2;-;-;-;1;-;1566
"23 Cear�";705;1567;145;121;2;223;37;20;-;67;1;-;-;-;-;-;-;-;-;-;-;20;18;3;9;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;2;8;-;-;3;2;5;-;2;2963
"24 Rio Grande do Norte";74;979;8;4;-;76;37;-;-;4;-;-;-;-;-;-;-;-;-;-;-;7;8;-;-;-;-;-;-;-;2;-;2;9;-;-;-;4;-;1;-;56;2;-;-;2;1;2;2;1;1281
"25 Para�ba";106;1265;17;12;7;143;54;2;-;10;-;-;-;-;-;-;-;-;-;-;-;9;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;73;6;-;-;3;-;-;-;-;1723
"26 Pernambuco";588;1593;53;198;-;210;32;22;-;22;2;-;-;-;-;-;-;-;-;-;-;27;16;-;-;-;-;-;-;-;-;-;-;-;-;-;3;2;-;-;-;-;4;-;1;-;1;2;-;17;2793
"27 Alagoas";156;660;29;29;-;90;28;9;-;4;-;-;-;-;-;-;-;-;-;-;-;17;14;-;1;-;-;-;-;-;2;-;-;-;-;-;-;6;-;-;-;13;3;-;-;1;-;1;1;-;1064
"28 Sergipe";161;451;2;25;2;26;10;1;-;8;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3;1;-;7;2;-;-;-;-;1;-;-;5;1;-;-;-;-;-;-;-;707
"29 Bahia";1047;2408;15;388;17;268;100;15;-;18;-;-;-;-;-;4;-;-;7;-;-;40;40;-;-;-;-;-;-;-;1;-;5;-;-;-;2;2;5;-;-;9;14;-;-;-;1;1;-;1;4408
"31 Minas Gerais";2234;2282;719;64;30;370;175;5;-;8;-;-;-;-;-;4;-;-;11;-;-;51;27;-;11;2;-;-;-;3;3;-;9;4;2;-;4;10;2;-;-;217;5;1;-;12;4;3;4;1;6277
