"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"70 ESF - EQUIPE DE SAUDE DA FAMILIA";"71 ESB - EQUIPE DE SAUDE BUCAL";"72 ENASF-AB - EQ NUCLEO AMPLIADO SAUDE DA FAMILIA AT. PRIMARIA";"73 ECR - EQUIPE DOS CONSULTORIOS NA RUA";"74 EABP - EQUIPE DE ATENCAO PRIMARIA PRISIONAL";"75 EMAESM - EQ  MULTIPROF  ATENCAO ESPECIALIZADA SAUDE MENTAL";"76 EAP - EQUIPE DE ATENCAO PRIMARIA";"Total"
"11 Rond�nia";2;1;-;1;-;-;-;7;-;-;-;-;-;-;-;-;8;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;433;177;25;1;18;2;9;687
"12 Acre";2;-;-;1;-;1;-;10;-;-;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;252;155;17;1;4;1;16;465
"13 Amazonas";-;-;-;2;-;-;-;73;-;-;-;1;-;-;-;-;13;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;990;741;78;3;12;-;152;2071
"14 Roraima";-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;147;96;16;-;4;-;1;295
"15 Par�";4;-;-;8;-;2;-;16;-;-;2;-;-;-;-;-;40;37;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;2005;1138;138;5;13;3;131;3552
"16 Amap�";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;195;143;24;2;2;-;2;373
"17 Tocantins";-;-;-;-;-;3;-;8;-;-;-;-;-;-;-;-;6;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;562;466;139;1;27;-;5;1222
"21 Maranh�o";8;3;-;2;-;3;-;12;-;-;-;-;-;-;-;-;15;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;1;-;-;-;-;-;2417;1683;220;2;21;15;9;4432
"22 Piau�";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;1;-;-;-;-;-;1368;1274;251;1;10;1;4;2939
"23 Cear�";2;1;-;3;-;13;-;21;2;-;-;-;-;-;-;-;58;41;1;-;-;-;-;-;-;-;-;1;-;-;-;-;13;-;-;-;-;-;-;2815;2137;284;1;22;4;19;5438
"24 Rio Grande do Norte";-;-;-;2;-;6;2;-;-;-;-;-;-;-;-;-;9;10;-;-;-;-;-;1;-;-;-;-;-;-;-;1;6;-;2;-;-;-;-;1123;1072;154;5;10;-;9;2412
"25 Para�ba";1;-;-;3;-;-;-;3;-;-;-;-;-;-;-;-;23;33;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;-;-;-;1509;1410;271;5;11;21;6;3320
"26 Pernambuco";-;-;-;34;-;4;-;22;1;-;-;-;-;-;-;-;33;25;-;-;-;-;-;-;-;-;-;-;-;-;-;1;9;-;-;-;-;-;-;2586;2035;244;7;35;2;56;5094
"27 Alagoas";3;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;24;38;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;928;771;132;6;9;4;8;1955
"28 Sergipe";-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;14;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;699;481;69;1;3;4;4;1297
"29 Bahia";12;12;-;52;5;5;-;16;-;-;-;-;-;-;-;-;55;75;-;-;-;-;-;-;-;-;-;-;3;-;-;-;33;-;-;-;-;-;-;4222;3259;394;13;24;47;216;8443
"31 Minas Gerais";40;11;3;9;5;23;2;9;-;-;-;-;4;-;-;-;98;73;-;-;-;-;-;-;-;-;-;-;-;-;-;1;24;1;-;-;2;-;2;5908;3936;870;18;81;39;239;11398
