"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"70 ESF - EQUIPE DE SAUDE DA FAMILIA";"71 ESB - EQUIPE DE SAUDE BUCAL";"72 ENASF-AB - EQ NUCLEO AMPLIADO SAUDE DA FAMILIA AT. PRIMARIA";"73 ECR - EQUIPE DOS CONSULTORIOS NA RUA";"74 EABP - EQUIPE DE ATENCAO PRIMARIA PRISIONAL";"75 EMAESM - EQ  MULTIPROF  ATENCAO ESPECIALIZADA SAUDE MENTAL";"76 EAP - EQUIPE DE ATENCAO PRIMARIA";"Total"
"11 Rond�nia";2;1;-;1;-;-;-;7;-;-;-;-;-;-;-;-;8;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;435;175;25;1;18;2;10;688
"12 Acre";2;-;-;1;-;1;-;10;-;-;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;254;159;17;1;5;3;17;475
"13 Amazonas";-;-;-;2;-;-;-;73;-;-;-;1;-;-;-;-;13;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1002;751;78;3;12;-;147;2088
"14 Roraima";-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;151;98;16;-;4;-;1;301
"15 Par�";4;-;-;8;-;2;-;16;-;-;2;-;-;-;-;-;40;38;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;2035;1160;137;5;14;6;134;3611
"16 Amap�";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;198;139;24;2;2;-;3;374
"17 Tocantins";-;-;-;-;-;3;-;8;-;-;-;-;-;-;-;-;7;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;568;470;138;2;25;-;8;1234
"21 Maranh�o";8;1;-;2;-;2;-;12;-;-;-;-;-;-;-;-;16;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;1;-;-;-;-;-;2456;1725;219;2;21;24;16;4528
"22 Piau�";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;1;-;-;-;-;-;1371;1276;249;1;10;4;4;2947
"23 Cear�";2;1;-;3;-;13;-;21;2;-;-;-;-;-;-;-;56;41;1;-;-;-;-;-;-;-;-;1;-;-;-;-;14;-;-;-;-;-;-;2847;2170;283;1;22;5;25;5508
"24 Rio Grande do Norte";-;-;-;2;-;6;2;-;-;-;-;-;-;-;-;-;9;10;-;-;-;-;-;1;-;-;-;-;-;-;-;1;8;-;2;-;-;-;-;1125;1081;157;5;11;-;12;2432
"25 Para�ba";1;-;-;3;-;-;-;3;-;-;-;-;-;-;-;-;23;34;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;-;-;-;1517;1417;262;5;11;22;6;3329
"26 Pernambuco";-;-;-;34;-;4;-;22;1;-;-;-;-;-;-;-;35;27;-;-;-;-;-;-;-;-;-;-;-;-;-;1;10;-;-;-;-;-;-;2604;2042;243;7;36;2;64;5132
"27 Alagoas";3;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;24;38;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;927;773;129;6;9;5;8;1954
"28 Sergipe";-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;15;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;706;492;69;1;4;10;17;1339
"29 Bahia";12;12;-;52;5;5;-;16;-;-;-;-;-;-;-;-;57;78;-;-;-;-;-;-;-;-;-;-;3;-;-;-;35;-;-;-;-;-;-;4232;3306;390;13;26;55;222;8519
"31 Minas Gerais";40;11;3;9;5;23;2;9;-;-;-;-;4;-;-;-;98;76;-;-;-;-;-;-;-;-;-;-;-;-;-;1;24;1;-;-;2;-;2;5930;4022;864;19;87;42;242;11516
