"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"70 ESF - EQUIPE DE SAUDE DA FAMILIA";"71 ESB - EQUIPE DE SAUDE BUCAL";"72 ENASF-AB - EQ NUCLEO AMPLIADO SAUDE DA FAMILIA AT. PRIMARIA";"73 ECR - EQUIPE DOS CONSULTORIOS NA RUA";"74 EABP - EQUIPE DE ATENCAO PRIMARIA PRISIONAL";"75 EMAESM - EQ  MULTIPROF  ATENCAO ESPECIALIZADA SAUDE MENTAL";"76 EAP - EQUIPE DE ATENCAO PRIMARIA";"Total"
"11 Rond�nia";2;1;-;1;-;-;-;7;-;-;-;-;-;-;-;-;8;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;434;177;25;1;18;2;9;688
"12 Acre";2;-;-;1;-;1;-;10;-;-;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;253;154;17;1;5;1;17;467
"13 Amazonas";-;-;-;2;-;-;-;73;-;-;-;1;-;-;-;-;13;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;996;746;78;3;12;-;155;2085
"14 Roraima";-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;147;95;16;-;4;-;1;294
"15 Par�";4;-;-;8;-;2;-;16;-;-;2;-;-;-;-;-;40;37;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;2015;1140;137;5;13;3;134;3566
"16 Amap�";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;197;133;24;2;2;-;2;366
"17 Tocantins";-;-;-;-;-;3;-;8;-;-;-;-;-;-;-;-;7;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;567;469;139;1;26;-;5;1230
"21 Maranh�o";8;3;-;2;-;2;-;12;-;-;-;-;-;-;-;-;16;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;1;-;-;-;-;-;2439;1712;218;2;21;15;11;4485
"22 Piau�";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;1;-;-;-;-;-;1372;1275;250;1;10;2;4;2946
"23 Cear�";2;1;-;3;-;13;-;21;2;-;-;-;-;-;-;-;57;41;1;-;-;-;-;-;-;-;-;1;-;-;-;-;14;-;-;-;-;-;-;2835;2158;284;1;22;5;22;5483
"24 Rio Grande do Norte";-;-;-;2;-;6;2;-;-;-;-;-;-;-;-;-;9;10;-;-;-;-;-;1;-;-;-;-;-;-;-;1;8;-;2;-;-;-;-;1126;1081;157;5;10;-;9;2429
"25 Para�ba";1;-;-;3;-;-;-;3;-;-;-;-;-;-;-;-;23;34;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;-;-;-;1514;1415;265;5;11;21;6;3326
"26 Pernambuco";-;-;-;34;-;4;-;22;1;-;-;-;-;-;-;-;31;25;-;-;-;-;-;-;-;-;-;-;-;-;-;1;11;-;-;-;-;-;-;2597;2037;244;7;35;2;60;5111
"27 Alagoas";3;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;24;38;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;927;774;129;6;9;5;8;1955
"28 Sergipe";-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;15;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;701;482;69;1;4;10;7;1312
"29 Bahia";12;12;-;52;5;5;-;16;-;-;-;-;-;-;-;-;57;78;-;-;-;-;-;-;-;-;-;-;3;-;-;-;35;-;-;-;-;-;-;4219;3294;392;13;24;47;216;8480
"31 Minas Gerais";40;11;3;9;5;23;2;9;-;-;-;-;4;-;-;-;99;73;-;-;-;-;-;-;-;-;-;-;-;-;-;1;24;1;-;-;2;-;2;5918;3996;869;19;85;40;240;11475
