"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"70 ESF - EQUIPE DE SAUDE DA FAMILIA";"71 ESB - EQUIPE DE SAUDE BUCAL";"72 ENASF-AB - EQ NUCLEO AMPLIADO SAUDE DA FAMILIA AT. PRIMARIA";"73 ECR - EQUIPE DOS CONSULTORIOS NA RUA";"74 EABP - EQUIPE DE ATENCAO PRIMARIA PRISIONAL";"75 EMAESM - EQ  MULTIPROF  ATENCAO ESPECIALIZADA SAUDE MENTAL";"76 EAP - EQUIPE DE ATENCAO PRIMARIA";"Total"
"11 Rond�nia";2;1;-;1;-;-;-;7;-;-;-;-;-;-;-;-;8;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;433;173;25;1;18;2;9;683
"12 Acre";2;-;-;1;-;1;-;10;-;-;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;252;154;18;1;4;1;16;465
"13 Amazonas";-;-;-;2;-;-;-;73;-;-;-;1;-;-;-;-;13;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;985;733;79;3;12;-;147;2054
"14 Roraima";-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;146;96;16;-;4;-;1;294
"15 Par�";4;-;-;8;-;2;-;16;-;-;2;-;-;-;-;-;38;37;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;-;2001;1126;139;5;13;3;127;3532
"16 Amap�";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;193;144;24;2;2;-;1;371
"17 Tocantins";-;-;-;-;-;3;-;8;-;-;-;-;-;-;-;-;4;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;560;461;139;1;27;-;5;1213
"21 Maranh�o";8;3;-;2;-;3;-;12;-;-;-;-;-;-;-;-;15;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;1;-;-;-;-;-;2385;1656;219;2;20;14;9;4370
"22 Piau�";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;1;-;-;-;-;-;1360;1273;251;1;11;-;4;2930
"23 Cear�";2;1;-;3;-;13;-;21;2;-;-;-;-;-;-;-;57;41;1;-;-;-;-;-;-;-;-;1;-;-;-;-;14;-;-;-;-;-;-;2809;2119;284;1;22;3;11;5405
"24 Rio Grande do Norte";-;-;-;2;-;6;2;-;-;-;-;-;-;-;-;-;9;9;-;-;-;-;-;1;-;-;-;-;-;-;-;1;6;-;2;-;-;-;-;1120;1075;155;5;10;-;5;2408
"25 Para�ba";1;-;-;3;-;-;-;3;-;-;-;-;-;-;-;-;22;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;1507;1402;272;5;11;20;6;3306
"26 Pernambuco";-;-;-;34;-;4;-;19;1;-;-;-;-;-;-;-;33;24;-;-;-;-;-;-;-;-;-;-;-;-;-;1;8;-;-;-;-;-;-;2584;2029;248;7;35;2;56;5085
"27 Alagoas";3;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;24;38;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;927;773;130;6;9;3;7;1952
"28 Sergipe";-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;14;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;698;479;71;1;3;4;4;1295
"29 Bahia";12;12;-;52;5;5;-;16;-;-;-;-;-;-;-;-;55;75;-;-;-;-;-;-;-;-;-;-;3;-;-;-;33;-;-;-;-;-;-;4214;3257;401;12;24;36;206;8418
"31 Minas Gerais";42;13;3;9;5;23;2;9;-;-;-;-;4;-;-;-;99;73;-;-;-;-;-;-;-;-;-;-;-;-;-;1;24;1;-;-;2;-;2;5892;3907;876;18;78;39;226;11348
"32 Esp�rito Santo";10;9;-;10;-;2;2;5;-;-;-;-;-;-;-;-;4;4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;926;667;32;5;25;12;169;1884
"33 Rio de Janeiro";69;11;7;38;1;2;2;2;1;1;-;-;7;-;-;3;77;46;-;-;12;2;1;10;2;2;1;-;-;-;-;-;5;1;-;-;-;-;-;3070;1456;217;26;11;9;209;5301
"35 S�o Paulo";68;16;1;120;14;16;10;5;3;-;-;-;48;8;2;24;223;102;1;-;2;-;-;3;-;-;3;1;3;5;7;5;16;1;-;1;4;1;-;6493;3994;581;57;84;31;1876;13829
"41 Paran�";25;4;-;14;1;7;3;2;-;-;-;-;-;-;-;-;25;14;-;-;-;-;-;-;-;-;1;1;-;2;-;3;7;-;1;-;-;-;-;2617;1729;290;7;11;38;385;5187
"42 Santa Catarina";5;2;1;7;-;3;1;3;-;-;-;-;1;-;-;-;17;9;-;-;-;-;-;-;-;-;-;-;-;-;-;6;4;-;-;-;-;1;-;2048;1298;270;5;26;7;109;3823
"43 Rio Grande do Sul";6;3;-;28;-;9;2;10;1;-;-;-;10;6;1;1;40;14;-;-;-;-;-;1;-;-;-;-;-;14;-;-;9;-;-;1;-;-;-;2393;1404;191;9;46;47;564;4810
"50 Mato Grosso do Sul";1;-;-;8;-;1;-;22;-;-;-;-;-;-;-;-;9;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;1;-;-;-;-;741;631;72;3;54;3;11;1571
"51 Mato Grosso";1;-;-;4;-;-;-;19;-;-;-;-;-;-;-;-;7;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;871;624;84;2;11;-;29;1657
"52 Goi�s";1;-;-;4;-;10;-;1;-;-;-;-;1;-;-;1;35;41;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;-;1615;1275;197;9;65;11;92;3377
"53 Distrito Federal";2;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;16;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;604;272;35;3;14;5;-;964
"Total";264;75;12;350;26;115;24;304;8;1;2;1;71;14;3;29;856;638;2;1;14;2;1;15;2;2;5;3;6;21;7;18;229;6;5;2;6;2;2;49444;34207;5316;197;650;290;4284;97532
