"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"70 ESF - EQUIPE DE SAUDE DA FAMILIA";"71 ESB - EQUIPE DE SAUDE BUCAL";"72 ENASF-AB - EQ NUCLEO AMPLIADO SAUDE DA FAMILIA AT. PRIMARIA";"73 ECR - EQUIPE DOS CONSULTORIOS NA RUA";"74 EABP - EQUIPE DE ATENCAO PRIMARIA PRISIONAL";"75 EMAESM - EQ  MULTIPROF  ATENCAO ESPECIALIZADA SAUDE MENTAL";"76 EAP - EQUIPE DE ATENCAO PRIMARIA";"Total"
"11 Rond�nia";2;-;-;1;-;-;-;8;-;-;-;-;-;-;7;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;445;199;32;1;18;2;20;740
"12 Acre";2;-;-;1;-;1;-;7;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;260;172;24;1;6;4;33;516
"13 Amazonas";-;-;-;2;-;-;-;61;-;-;-;-;-;-;23;10;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1030;771;132;3;12;1;139;2185
"14 Roraima";-;-;-;-;-;-;-;27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;244;134;22;2;6;-;1;436
"15 Par�";1;-;-;5;-;2;-;17;-;1;-;-;-;-;49;55;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;-;-;-;2133;1311;187;8;23;14;168;3995
"16 Amap�";-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;202;150;40;2;2;-;27;432
"17 Tocantins";-;-;-;-;-;3;-;7;-;-;-;-;-;-;7;4;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;598;482;146;2;26;3;12;1291
"21 Maranh�o";3;1;-;1;-;2;-;11;-;-;-;-;-;-;19;27;-;-;-;-;-;-;-;-;-;-;-;-;-;17;1;-;-;-;-;-;2571;1807;321;6;33;37;31;4888
"22 Piau�";-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;16;-;-;-;-;-;-;-;-;-;-;-;-;-;10;1;-;-;-;-;-;1392;1310;263;2;14;18;4;3037
"23 Cear�";-;-;-;3;-;11;-;22;-;-;-;-;-;-;66;60;1;-;-;-;-;-;-;-;1;-;-;-;-;28;-;-;-;-;-;-;2963;2364;345;10;21;27;72;5994
"24 Rio Grande do Norte";-;-;-;2;-;6;2;-;-;-;-;-;-;-;11;15;-;-;-;-;1;-;-;-;-;-;-;-;-;10;-;2;-;-;-;-;1171;1106;170;5;22;2;22;2547
"25 Para�ba";1;-;-;3;-;-;-;3;-;-;-;-;-;-;24;43;-;-;-;-;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;1554;1458;287;5;22;27;19;3477
"26 Pernambuco";-;-;-;27;-;4;-;21;-;-;-;-;-;-;43;47;-;-;-;-;-;-;-;-;-;-;-;-;1;27;-;-;-;-;-;-;2710;2153;306;9;62;2;103;5515
"27 Alagoas";3;-;-;-;-;-;-;7;-;-;-;-;-;-;24;43;-;-;-;-;-;-;-;-;-;-;-;-;-;28;1;-;-;-;-;-;936;830;140;6;9;7;31;2065
"28 Sergipe";-;-;-;-;-;1;-;1;-;-;-;-;-;-;14;19;-;-;-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;737;534;94;2;7;11;30;1462
"29 Bahia";12;12;-;48;5;3;-;16;-;-;-;-;-;-;69;98;-;-;-;-;-;-;-;-;-;3;-;-;-;58;-;-;-;-;-;-;4392;3562;512;15;32;80;279;9196
"31 Minas Gerais";36;11;3;9;4;21;1;9;-;-;4;-;-;-;111;88;-;-;-;-;-;-;-;-;-;-;-;-;1;34;3;-;-;2;-;2;6223;4468;1099;26;145;59;319;12678
