"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"Total"
"11 Rond�nia";135;170;6;54;10;11;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;6;3;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;401
"12 Acre";65;119;2;22;2;14;3;-;9;1;-;3;4;1;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;250
"13 Amazonas";222;332;42;101;6;38;5;-;10;2;-;7;11;2;3;-;-;-;-;-;-;2;1;-;-;-;-;-;-;2;-;7;2;-;-;-;-;-;-;-;-;795
"14 Roraima";59;40;9;2;-;4;2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;119
"15 Par�";444;623;23;414;1;67;9;-;-;1;-;8;6;1;1;-;-;-;1;-;-;5;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1610
"16 Amap�";49;95;2;5;2;18;2;-;-;1;-;1;-;-;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;181
"17 Tocantins";97;332;15;14;4;12;13;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;50;-;-;542
"21 Maranh�o";640;1260;21;123;2;111;17;-;1;11;-;-;-;-;-;-;-;-;-;-;-;5;6;-;-;-;-;-;-;-;-;4;2;-;-;1;-;-;3;2;-;2209
"22 Piau�";143;1012;55;7;-;74;58;-;-;9;-;-;-;-;-;-;-;-;-;-;-;1;3;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;81;2;1;1447
"23 Cear�";631;1399;134;116;15;171;39;12;-;74;-;-;-;-;-;-;-;-;-;-;-;10;7;1;2;-;-;-;-;1;-;3;4;-;-;1;1;-;-;1;-;2622
"24 Rio Grande do Norte";53;917;8;19;1;71;36;-;-;1;-;-;-;-;-;-;-;-;-;-;-;7;6;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;44;-;-;1165
"25 Para�ba";79;1207;17;29;5;113;41;-;-;5;-;-;-;-;-;-;-;-;-;-;-;8;5;-;6;-;1;-;-;-;-;-;-;-;-;5;-;-;54;1;-;1576
"26 Pernambuco";529;1488;69;216;16;178;29;7;-;13;1;-;-;-;-;-;-;-;-;-;-;17;9;-;-;-;-;-;-;-;-;3;-;-;1;1;-;2;1;-;-;2580
"27 Alagoas";140;643;29;24;1;75;30;11;-;2;-;-;-;-;-;1;-;-;-;-;-;14;8;-;1;-;-;-;-;2;-;-;-;-;-;6;-;-;10;-;-;997
"28 Sergipe";146;446;3;14;2;15;1;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;4;-;-;-;-;-;-;-;-;4;-;-;645
"29 Bahia";860;2229;14;434;19;193;78;8;-;27;-;-;-;-;-;-;-;-;6;-;-;28;20;-;-;-;-;-;1;1;-;2;2;-;-;2;3;2;5;1;-;3935
"31 Minas Gerais";1967;2118;705;103;32;317;112;-;-;12;3;-;-;-;-;6;-;-;-;-;-;41;20;1;7;-;-;-;6;6;-;8;-;-;-;8;1;-;87;1;-;5561
