"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"11 Rond�nia";188;171;7;41;8;11;3;-;1;2;-;-;-;-;-;-;-;-;-;-;-;6;2;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;3;-;1;-;-;447
"12 Acre";81;123;2;17;-;18;4;-;9;-;-;2;6;1;-;-;3;-;-;2;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;3;-;1;277
"13 Amazonas";254;357;45;77;-;50;5;-;11;1;-;15;25;-;5;-;-;-;-;-;-;9;5;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;2;-;-;1;4;3;3;-;-;874
"14 Roraima";62;43;9;1;-;4;5;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;126
"15 Par�";511;654;23;408;1;81;10;-;2;1;-;20;17;1;2;-;-;-;1;-;-;13;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;1;-;-;-;-;5;1;1;1770
"16 Amap�";85;83;2;-;2;18;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;200
"17 Tocantins";111;353;17;12;-;15;20;-;-;2;-;-;-;-;-;-;-;-;-;-;-;2;2;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;71;-;-;-;10;1;2;-;-;621
"21 Maranh�o";719;1278;21;90;-;132;19;-;1;7;-;-;-;-;-;-;-;-;-;-;-;10;10;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;2;-;7;3;-;3;2;2;2;2;-;2313
"22 Piau�";133;1108;49;7;-;86;56;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;94;7;1;2;-;-;-;-;-;1557
"23 Cear�";739;1436;135;111;5;208;33;16;-;69;1;-;-;-;-;-;-;-;-;-;-;18;14;-;3;-;-;-;-;-;1;-;1;3;-;-;-;1;1;-;-;5;-;-;3;-;7;-;1;2811
"24 Rio Grande do Norte";75;955;7;11;-;76;35;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;6;-;-;-;-;-;-;-;-;-;1;6;-;-;-;3;-;-;52;-;-;-;-;-;1;2;1;1240
"25 Para�ba";106;1245;20;16;6;143;50;-;-;1;-;-;-;-;-;-;-;-;-;-;-;8;9;-;2;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;69;4;-;-;-;-;-;-;-;1684
"26 Pernambuco";553;1545;61;214;-;196;32;15;-;13;1;-;-;-;-;-;-;-;-;-;-;23;15;-;-;-;-;-;-;-;-;-;1;4;-;-;3;1;-;-;-;3;-;-;-;-;2;-;19;2701
"27 Alagoas";141;648;29;27;-;87;29;11;-;4;-;-;-;-;-;1;-;-;-;-;-;17;12;-;1;-;-;-;-;-;1;-;-;1;-;-;-;6;-;-;11;2;-;-;1;-;4;2;-;1035
"28 Sergipe";171;460;2;12;2;25;7;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;2;-;1;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;689
"29 Bahia";946;2351;13;402;19;248;84;11;-;7;-;-;-;-;-;-;-;-;6;-;-;32;32;1;-;-;-;-;-;-;1;-;3;-;-;-;2;2;4;-;8;12;-;-;-;-;1;-;-;4185
"31 Minas Gerais";2216;2193;728;66;30;363;160;2;-;6;-;-;-;-;-;9;-;-;-;-;-;49;26;-;6;1;-;-;-;7;-;-;6;1;1;-;2;11;1;-;163;3;-;-;1;-;2;-;-;6053
