"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"11 Rond�nia";185;172;7;44;8;11;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;6;2;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;443
"12 Acre";81;123;2;17;-;17;4;-;9;-;-;2;6;1;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;3;-;1;271
"13 Amazonas";253;356;44;80;1;50;4;-;11;2;1;14;24;-;5;-;-;-;-;-;-;9;5;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;2;-;-;1;4;2;3;-;-;873
"14 Roraima";63;41;9;1;-;5;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;124
"15 Par�";494;661;23;404;1;79;10;-;2;1;-;18;15;1;1;-;-;-;1;-;-;11;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;1;-;-;-;-;5;1;-;1744
"16 Amap�";87;83;2;-;2;18;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;202
"17 Tocantins";108;354;17;12;-;16;18;-;-;2;-;-;-;-;-;-;-;-;-;-;-;2;2;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;71;-;-;-;10;1;1;-;-;617
"21 Maranh�o";706;1279;22;91;-;121;19;-;1;7;-;-;-;-;-;-;-;-;-;-;-;9;9;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;2;-;5;3;-;3;2;2;2;2;-;2288
"22 Piau�";138;1108;49;4;-;84;58;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;93;6;1;2;-;-;-;-;-;1555
"23 Cear�";723;1457;137;97;15;198;35;16;-;59;1;-;-;-;-;-;-;-;-;-;-;19;15;-;3;-;-;-;-;-;1;-;1;3;-;-;-;1;1;-;-;4;-;-;-;-;-;-;-;2786
"24 Rio Grande do Norte";71;955;7;12;-;77;35;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;6;-;-;-;-;-;-;-;-;-;-;4;-;-;-;3;-;-;51;-;-;-;-;-;1;-;-;1231
"25 Para�ba";102;1247;20;21;6;142;50;-;-;3;-;-;-;-;-;-;-;-;-;-;-;9;8;-;2;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;69;3;-;-;-;-;-;-;-;1687
"26 Pernambuco";563;1539;61;213;-;194;32;15;-;7;2;-;-;-;-;-;-;-;-;-;-;23;13;-;-;-;-;-;-;-;-;-;1;4;-;-;1;1;-;-;-;2;-;-;-;-;2;-;19;2692
"27 Alagoas";144;652;29;26;-;89;29;11;-;5;-;-;-;-;-;1;-;-;-;-;-;17;12;-;1;-;-;-;-;-;2;-;-;1;-;-;-;6;-;-;11;2;-;-;1;-;4;2;-;1045
"28 Sergipe";172;462;2;12;2;25;7;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;1;-;1;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;691
"29 Bahia";941;2374;14;403;19;248;84;11;-;6;-;-;-;-;-;-;-;-;6;-;-;31;30;1;-;-;-;-;-;-;1;-;2;1;-;-;2;2;4;-;7;10;-;-;-;-;1;-;-;4198
"31 Minas Gerais";2193;2203;718;67;30;353;155;2;-;5;-;-;-;-;-;9;-;-;-;-;-;47;26;-;6;1;-;-;-;7;1;-;6;1;1;-;2;9;1;-;161;3;-;-;1;-;2;-;-;6010
