"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"Total"
"11 Rond�nia";167;164;8;45;10;11;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;6;3;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;420
"12 Acre";66;121;2;20;2;17;4;-;8;-;-;2;6;1;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;254
"13 Amazonas";239;348;44;86;6;46;5;-;9;1;-;7;21;-;5;-;-;-;-;-;-;5;2;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;2;-;-;828
"14 Roraima";60;41;9;2;1;4;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;123
"15 Par�";471;646;23;406;1;74;10;-;2;1;-;18;18;1;1;-;-;-;1;-;-;5;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;1687
"16 Amap�";69;89;2;5;2;17;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;192
"17 Tocantins";99;345;17;16;4;14;17;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2;2;3;3;-;-;-;-;-;-;-;1;-;-;-;-;-;69;-;-;593
"21 Maranh�o";667;1268;20;109;2;120;19;-;1;4;-;-;-;-;-;-;-;-;-;-;-;7;8;-;-;-;-;-;-;-;-;3;1;-;-;1;-;-;5;2;-;2237
"22 Piau�";146;1072;48;6;-;82;53;-;-;4;-;-;-;-;-;-;-;-;-;-;-;1;6;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;87;5;1;1512
"23 Cear�";676;1443;133;98;15;189;35;15;-;66;3;-;-;-;-;-;-;-;-;-;-;17;12;-;1;-;-;-;-;1;-;1;2;-;-;1;1;-;-;1;-;2710
"24 Rio Grande do Norte";67;941;8;13;1;73;36;-;-;1;-;-;-;-;-;-;-;-;-;-;-;9;6;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;49;-;-;1207
"25 Para�ba";92;1230;19;25;6;140;47;-;-;5;-;-;-;-;-;-;-;-;-;-;-;9;7;-;1;-;1;-;-;-;-;-;-;-;-;5;-;-;71;2;-;1660
"26 Pernambuco";560;1494;63;216;15;189;30;12;-;7;2;-;-;-;-;-;-;-;-;-;-;20;11;-;-;-;-;-;-;-;-;2;3;-;1;1;-;-;-;1;1;2628
"27 Alagoas";139;658;28;27;7;87;27;11;-;2;-;-;-;-;-;1;-;-;-;-;-;17;11;-;1;-;-;-;-;2;-;-;-;-;-;6;-;-;11;1;-;1036
"28 Sergipe";163;453;2;13;2;24;5;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3;1;-;-;1;-;-;-;-;-;2;1;-;674
"29 Bahia";910;2301;15;413;19;228;85;9;-;17;-;-;-;-;-;-;-;-;6;-;-;31;26;2;-;-;-;-;-;1;-;2;1;-;1;2;3;2;7;6;-;4087
"31 Minas Gerais";2094;2136;720;82;33;345;147;1;-;12;2;-;-;-;-;6;-;-;-;-;-;44;22;1;5;1;-;-;5;2;-;7;-;1;-;10;1;-;145;2;-;5824
