"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"Total"
"11 Rond�nia";137;166;7;54;10;11;3;-;-;2;-;-;-;-;-;-;-;-;-;-;-;6;3;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;401
"12 Acre";64;119;2;23;2;14;3;-;9;1;-;2;5;1;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;250
"13 Amazonas";219;340;41;97;6;39;5;-;10;2;-;7;11;2;3;-;-;-;-;-;-;2;1;-;-;-;-;-;-;1;-;6;2;-;-;-;-;-;-;-;-;794
"14 Roraima";60;37;8;2;-;4;2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;116
"15 Par�";450;628;23;411;1;68;9;-;-;1;-;8;6;1;1;-;-;-;1;-;-;5;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;1622
"16 Amap�";49;94;2;5;2;18;2;-;-;1;-;1;-;-;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;180
"17 Tocantins";98;336;17;16;4;13;15;-;-;2;-;-;-;-;-;-;-;-;-;-;-;2;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;55;-;-;561
"21 Maranh�o";643;1257;21;124;2;112;18;-;1;11;-;-;-;-;-;-;-;-;-;-;-;5;6;-;-;-;-;-;-;-;-;4;2;-;-;1;-;-;3;2;-;2212
"22 Piau�";151;1004;54;6;-;73;59;-;-;9;-;-;-;-;-;-;-;-;-;-;-;1;3;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;83;3;1;1448
"23 Cear�";618;1388;128;135;15;169;38;12;-;78;1;-;-;-;-;-;-;-;-;-;-;12;9;1;2;-;-;-;-;1;-;3;3;-;-;1;1;-;-;1;-;2616
"24 Rio Grande do Norte";53;913;8;19;1;72;34;-;-;1;-;-;-;-;-;-;-;-;-;-;-;8;6;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;48;-;-;1165
"25 Para�ba";79;1204;16;28;5;113;42;-;-;5;-;-;-;-;-;-;-;-;-;-;-;8;5;-;5;-;1;-;-;-;-;-;-;-;-;5;-;-;59;1;-;1576
"26 Pernambuco";526;1482;69;217;15;178;28;10;-;12;1;-;-;-;-;-;-;-;-;-;-;17;9;-;-;-;-;-;-;-;-;2;-;-;1;1;-;1;1;-;-;2570
"27 Alagoas";139;648;29;24;1;79;28;11;-;1;-;-;-;-;-;1;-;-;-;-;-;15;9;-;1;-;-;-;-;2;-;-;-;-;-;6;-;-;10;-;-;1004
"28 Sergipe";144;440;3;13;2;18;2;-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3;4;-;1;-;-;-;-;-;-;2;1;-;645
"29 Bahia";874;2196;13;429;19;191;77;8;-;29;-;-;-;-;-;-;-;-;6;-;-;28;22;-;-;-;-;-;-;1;-;2;2;-;-;2;3;2;4;3;-;3911
"31 Minas Gerais";1960;2115;705;104;32;319;115;-;-;12;3;-;-;-;-;6;-;-;-;-;-;41;20;1;6;-;-;-;5;6;-;7;-;1;-;8;1;-;94;1;-;5562
"32 Esp�rito Santo";208;434;3;117;13;6;8;-;-;10;-;-;-;-;-;-;-;-;2;1;1;-;-;-;2;-;-;-;-;1;-;3;1;-;-;-;-;-;-;-;-;810
"33 Rio de Janeiro";997;877;198;184;34;129;1;1;-;10;-;-;-;-;-;1;-;-;4;-;-;46;28;-;-;-;-;-;109;17;20;24;6;7;-;2;7;-;-;2;-;2704
"35 S�o Paulo";1913;1734;219;624;82;207;19;2;-;31;17;-;-;-;-;48;7;2;99;5;-;108;47;6;9;1;-;-;62;20;7;127;31;6;3;4;25;4;23;3;-;5495
"41 Paran�";698;935;405;213;3;109;37;-;-;11;-;-;-;-;-;2;2;-;30;9;-;17;7;1;1;2;-;-;11;5;3;5;5;1;1;4;2;-;31;-;-;2550
"42 Santa Catarina";587;919;49;72;2;73;38;-;-;1;-;-;-;-;-;-;-;-;3;1;-;6;3;-;2;-;-;-;-;-;-;1;4;-;2;1;-;-;56;-;-;1820
"43 Rio Grande do Sul";621;819;37;160;22;34;14;5;-;7;-;-;-;-;-;5;2;-;10;1;-;8;5;5;3;-;-;-;8;6;-;14;5;-;1;2;1;-;15;-;-;1810
"50 Mato Grosso do Sul";7;466;24;95;17;27;19;19;-;5;-;-;-;-;-;-;-;-;-;-;-;2;2;-;-;-;-;-;-;8;-;-;1;-;-;1;1;-;9;1;-;704
"51 Mato Grosso";165;380;56;77;10;13;17;-;2;3;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;2;-;-;-;-;-;-;1;-;-;11;-;-;739
"52 Goi�s";295;846;109;39;9;53;25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13;11;1;1;-;-;-;-;-;-;-;1;-;-;-;3;-;49;2;-;1457
"53 Distrito Federal";181;55;-;24;14;10;-;-;-;2;-;-;-;-;-;1;1;-;-;-;-;10;3;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;303
"Total";11936;21832;2246;3312;323;2152;658;68;24;258;22;18;22;4;4;64;12;2;155;17;1;366;211;17;32;3;1;1;200;74;30;200;63;15;10;43;44;7;556;21;1;45025
