"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"Total"
"11 Rond�nia";153;163;8;47;10;11;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;6;3;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;408
"12 Acre";62;118;2;22;2;17;3;-;9;3;-;2;6;1;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;252
"13 Amazonas";237;342;45;91;6;45;5;-;12;1;-;9;18;2;3;-;-;-;-;-;-;5;2;-;-;-;-;-;-;1;-;3;-;-;-;-;-;-;1;-;-;828
"14 Roraima";61;42;9;2;1;4;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;124
"15 Par�";448;642;23;416;1;71;10;-;2;1;-;15;18;1;1;-;-;-;1;-;-;4;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;1662
"16 Amap�";53;84;2;5;2;16;2;-;-;1;-;1;-;-;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;172
"17 Tocantins";100;345;17;16;4;14;16;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2;2;3;3;-;-;-;-;-;-;-;-;-;-;-;-;-;68;-;-;591
"21 Maranh�o";649;1272;20;113;2;118;18;-;1;4;-;-;-;-;-;-;-;-;-;-;-;6;7;-;-;-;-;-;-;-;-;4;1;-;-;1;-;-;3;2;-;2221
"22 Piau�";148;1061;49;7;-;80;57;-;-;5;-;-;-;-;-;-;-;-;-;-;-;1;6;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;86;6;1;1508
"23 Cear�";674;1438;135;104;15;186;34;13;-;58;2;-;-;-;-;-;-;-;-;-;-;16;11;1;1;-;-;-;-;1;-;1;2;-;-;1;1;-;-;1;-;2695
"24 Rio Grande do Norte";64;936;8;15;1;73;33;-;-;3;-;-;-;-;-;-;-;-;-;-;-;9;6;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;48;-;-;1199
"25 Para�ba";89;1226;18;24;6;140;46;-;-;5;-;-;-;-;-;-;-;-;-;-;-;9;7;-;1;-;1;-;-;-;-;-;-;-;-;5;-;-;69;2;-;1648
"26 Pernambuco";555;1492;64;218;15;188;29;12;-;10;2;-;-;-;-;-;-;-;-;-;-;20;11;-;1;-;-;-;-;-;-;2;2;-;1;1;-;-;-;1;1;2625
"27 Alagoas";139;655;29;27;7;84;27;10;-;2;-;-;-;-;-;1;-;-;-;-;-;18;10;-;1;-;-;-;-;2;-;-;-;-;-;6;-;-;11;-;-;1029
"28 Sergipe";161;455;3;13;2;24;3;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;2;1;-;673
"29 Bahia";904;2291;15;409;19;220;85;9;-;18;-;-;-;-;-;-;-;-;6;-;-;30;25;-;-;-;-;-;-;1;-;2;1;-;1;2;3;2;7;5;-;4055
"31 Minas Gerais";2034;2124;715;103;33;332;140;1;-;15;1;-;-;-;-;6;-;-;-;-;-;43;21;1;4;1;-;-;5;4;-;6;-;1;-;10;1;-;130;1;-;5732
