"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"11 Rond�nia";182;174;7;43;8;11;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;6;2;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;440
"12 Acre";76;123;2;18;-;17;4;-;8;-;-;2;6;1;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;3;-;-;265
"13 Amazonas";245;356;43;86;3;49;5;-;9;1;1;13;23;-;5;-;-;-;-;-;-;9;5;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;2;-;-;-;3;-;2;-;-;862
"14 Roraima";64;41;9;1;-;4;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;123
"15 Par�";489;648;23;401;1;78;9;-;2;1;-;19;17;1;1;-;-;-;1;-;-;9;10;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;1;-;-;-;-;-;-;-;1714
"16 Amap�";89;81;2;-;2;18;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;202
"17 Tocantins";104;356;17;13;-;16;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;70;-;-;-;9;1;2;-;-;614
"21 Maranh�o";693;1266;20;96;2;122;18;-;1;7;-;-;-;-;-;-;-;-;-;-;-;7;9;-;-;-;-;-;-;-;-;3;1;-;-;-;1;-;6;3;-;3;2;-;-;-;-;2260
"22 Piau�";148;1082;49;5;-;83;58;-;-;2;-;-;-;-;-;-;-;-;-;-;-;2;8;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;91;6;1;-;-;-;-;-;-;1536
"23 Cear�";707;1478;135;93;15;198;35;16;-;52;-;-;-;-;-;-;-;-;-;-;-;18;14;-;2;-;-;-;-;1;-;1;2;-;-;1;1;-;-;3;-;-;-;-;-;-;-;2772
"24 Rio Grande do Norte";69;950;7;13;1;78;34;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;6;-;-;-;-;-;-;-;-;-;3;-;-;3;-;-;48;-;-;-;-;-;-;-;-;1221
"25 Para�ba";99;1246;20;22;6;143;49;-;-;2;-;-;-;-;-;-;-;-;-;-;-;9;8;-;1;-;1;-;-;-;-;-;1;-;-;5;-;-;70;3;-;-;-;-;-;-;-;1685
"26 Pernambuco";571;1517;63;212;14;195;30;12;-;7;2;-;-;-;-;-;-;-;-;-;-;23;13;-;-;-;-;-;-;-;-;1;3;-;1;1;-;-;-;2;-;-;-;-;1;-;-;2668
"27 Alagoas";141;656;29;25;7;87;29;11;-;3;-;-;-;-;-;1;-;-;-;-;-;17;12;-;1;-;-;-;-;2;-;-;1;-;-;6;-;-;11;2;-;-;-;-;-;-;-;1041
"28 Sergipe";169;456;3;12;2;25;7;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;1;-;1;1;-;-;-;-;-;2;1;-;-;-;-;-;-;-;686
"29 Bahia";903;2349;14;407;19;243;82;9;-;17;-;-;-;-;-;-;-;-;6;-;-;30;28;1;-;-;-;-;-;1;-;2;1;-;1;2;4;-;7;7;-;-;-;-;-;-;-;4133
"31 Minas Gerais";2159;2178;719;69;32;352;152;2;-;6;2;-;-;-;-;6;-;-;-;-;-;45;23;1;6;1;-;-;6;2;-;6;-;1;1;9;1;-;156;2;-;-;-;-;1;-;-;5938
