"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"Total"
"11 Rond�nia";130;169;7;56;10;11;3;-;-;2;-;-;-;-;-;-;-;-;-;-;-;6;3;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;399
"12 Acre";64;118;2;22;2;14;3;-;9;1;-;3;4;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;246
"13 Amazonas";222;328;42;105;6;38;5;-;10;3;-;6;11;-;2;-;-;-;-;-;-;2;1;-;-;-;-;-;1;2;-;8;2;-;-;-;-;-;-;-;-;794
"14 Roraima";56;41;8;2;-;4;2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;115
"15 Par�";441;629;22;410;1;66;8;-;-;1;-;3;4;1;1;-;-;-;1;-;-;5;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1599
"16 Amap�";50;93;2;5;2;18;2;-;-;1;-;1;-;-;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;180
"17 Tocantins";88;333;14;13;4;12;13;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;47;-;-;530
"21 Maranh�o";628;1254;21;133;2;109;17;-;-;12;-;-;-;-;-;-;-;-;-;-;-;5;6;-;-;-;-;-;-;-;-;4;3;-;-;1;-;-;3;2;-;2200
"22 Piau�";124;1013;55;7;-;75;56;-;-;8;-;-;-;-;-;-;-;-;-;-;-;1;3;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;76;2;1;1422
"23 Cear�";611;1384;131;133;15;165;41;12;-;78;1;-;-;-;-;-;-;-;-;-;-;9;6;1;4;-;-;-;-;1;-;5;6;-;-;1;1;-;-;-;-;2605
"24 Rio Grande do Norte";53;910;8;19;1;67;37;-;-;2;-;-;-;-;-;-;-;-;-;-;-;8;6;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;44;-;-;1157
"25 Para�ba";81;1198;17;27;5;113;37;-;-;6;-;-;-;-;-;-;-;-;-;-;-;9;5;-;6;-;1;-;-;1;-;-;-;-;-;5;-;-;51;-;-;1562
"26 Pernambuco";511;1485;71;221;16;167;28;7;-;13;1;-;-;-;-;-;-;-;-;-;-;17;9;-;-;-;-;-;-;1;-;3;2;-;1;1;-;1;1;-;-;2556
"27 Alagoas";141;641;29;24;1;75;28;11;-;2;-;-;-;-;-;1;-;-;-;-;-;14;8;-;1;-;-;-;-;2;-;-;-;-;-;6;-;-;10;-;-;994
"28 Sergipe";145;444;3;13;2;12;3;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;7;-;1;1;-;-;-;-;-;5;-;-;647
"29 Bahia";834;2198;14;444;19;175;80;7;-;32;-;-;-;-;-;-;-;-;6;-;-;28;21;-;-;-;-;-;1;-;-;2;4;-;-;2;-;2;4;1;-;3874
"31 Minas Gerais";1950;2089;695;110;32;304;102;-;-;20;4;-;-;-;-;6;-;-;-;-;-;41;20;1;7;1;-;-;7;10;-;8;-;-;-;8;1;-;66;1;-;5483
"32 Esp�rito Santo";214;437;3;120;13;6;8;-;-;10;-;-;-;-;-;-;-;-;2;1;1;-;-;-;2;-;-;-;-;1;-;2;3;-;-;-;-;-;-;-;-;823
"33 Rio de Janeiro";931;865;194;231;34;129;1;1;-;14;7;-;-;-;-;1;-;-;4;-;-;45;27;-;-;-;-;-;133;23;22;20;6;2;-;3;5;-;-;3;-;2701
"35 S�o Paulo";1877;1733;220;641;81;188;13;2;-;31;15;-;-;-;-;51;6;2;96;6;-;103;44;7;9;1;-;-;61;17;6;131;30;5;3;3;23;4;12;3;-;5424
"41 Paran�";682;932;402;218;3;91;32;1;-;9;1;-;-;-;-;2;2;-;29;9;-;17;7;1;1;1;-;-;9;4;3;5;5;-;1;4;2;-;18;-;-;2491
"42 Santa Catarina";575;909;48;76;2;70;36;-;-;2;-;-;-;-;-;-;-;-;3;1;-;3;1;1;1;-;-;-;-;-;-;3;3;-;2;1;-;-;43;-;-;1780
"43 Rio Grande do Sul";598;801;30;170;22;33;14;5;-;9;-;-;-;-;-;5;2;-;10;1;-;8;5;2;2;-;-;-;8;11;-;11;5;-;-;1;1;-;12;-;-;1766
"50 Mato Grosso do Sul";7;468;24;95;17;28;18;19;-;3;-;-;-;-;-;-;-;-;1;-;-;1;2;-;-;-;-;-;-;9;-;1;3;-;-;1;1;-;8;1;-;707
"51 Mato Grosso";171;383;58;75;9;12;17;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;1;-;-;8;-;-;741
