"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"Total"
"11 Rond�nia";125;171;6;54;10;7;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;379
"12 Acre";54;118;2;28;2;12;3;-;8;-;-;2;1;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;233
"13 Amazonas";195;313;42;123;2;34;2;-;6;7;-;1;5;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;3;1;-;9;1;-;-;-;-;-;-;747
"14 Roraima";48;52;8;2;1;4;2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;122
"15 Par�";412;629;22;410;1;57;6;-;-;1;-;1;-;1;1;-;-;-;1;-;-;2;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1547
"16 Amap�";37;99;2;20;2;16;2;-;-;3;-;-;-;-;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;187
"17 Tocantins";72;324;15;27;3;14;7;-;-;3;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;-;2;4;-;-;-;-;-;10;484
"21 Maranh�o";588;1225;20;147;2;93;16;-;-;29;-;-;-;-;-;-;-;-;-;-;-;4;3;-;-;-;-;-;-;-;-;5;4;-;-;1;-;-;-;2137
"22 Piau�";92;1009;45;10;-;56;41;-;-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1270
"23 Cear�";512;1327;126;196;13;154;33;6;-;95;3;-;-;-;-;-;-;-;-;-;-;5;4;-;1;-;-;-;-;1;-;10;8;1;-;1;1;-;-;2497
"24 Rio Grande do Norte";48;887;7;17;1;46;19;-;-;5;-;-;-;-;-;-;-;-;-;-;-;4;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;1045
"25 Para�ba";76;1198;15;28;7;109;23;-;-;4;-;-;-;-;-;-;-;-;-;-;-;7;3;-;6;-;1;-;-;1;-;-;-;-;-;4;-;-;8;1490
"26 Pernambuco";461;1472;70;238;15;142;25;7;-;21;-;-;-;-;-;-;-;-;-;-;-;16;7;-;1;-;-;-;-;-;-;2;1;-;1;1;-;1;-;2481
"27 Alagoas";136;619;29;26;1;44;23;9;-;11;-;-;-;-;-;1;-;-;-;-;-;6;3;-;-;-;-;-;-;3;-;1;3;-;-;6;-;-;2;923
"28 Sergipe";125;432;2;39;2;9;3;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;8;-;3;-;-;-;-;-;-;-;635
"29 Bahia";740;2215;15;496;18;126;85;5;-;20;-;-;-;-;-;-;-;-;6;-;-;24;17;-;-;-;-;-;-;-;-;6;7;-;-;1;-;5;-;3786
"31 Minas Gerais";1890;2029;660;165;29;261;91;-;-;14;9;-;-;-;-;6;-;-;-;-;-;26;10;2;5;-;-;-;3;3;-;4;2;1;1;6;-;-;1;5218
"32 Esp�rito Santo";203;436;3;116;7;4;3;-;-;10;-;-;-;-;-;-;-;-;2;1;1;-;-;-;1;-;1;-;-;-;-;2;1;-;-;-;-;-;-;791
"33 Rio de Janeiro";940;885;204;198;33;111;1;1;-;5;7;-;-;-;-;1;-;-;4;-;-;38;21;-;-;-;-;-;91;13;13;32;15;5;-;1;5;-;-;2624
"35 S�o Paulo";1856;1725;203;623;83;176;7;2;-;22;4;-;-;-;-;49;3;2;92;6;1;68;38;8;6;1;-;-;70;19;7;154;15;4;3;3;14;2;-;5266
"41 Paran�";666;902;401;224;4;82;24;1;-;7;3;-;-;-;-;1;2;-;26;14;-;14;7;2;1;-;-;-;6;5;3;4;4;1;-;3;-;-;1;2408
