"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"Total"
"11 Rond�nia";125;174;7;57;10;8;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;386
"12 Acre";54;113;2;25;2;11;3;-;7;-;-;2;1;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;225
"13 Amazonas";198;316;42;127;2;32;2;-;5;7;-;-;3;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;5;-;-;8;1;-;-;-;-;-;-;750
"14 Roraima";51;57;4;2;1;4;2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;123
"15 Par�";398;619;22;414;1;58;6;-;-;2;-;1;1;1;1;-;-;-;1;-;-;2;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1530
"16 Amap�";37;101;2;19;2;16;2;-;-;3;-;-;-;-;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;188
"17 Tocantins";80;322;16;24;1;15;7;-;-;5;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;2;-;-;2;-;-;-;-;-;1;477
"21 Maranh�o";579;1209;20;158;2;94;15;-;-;25;-;-;-;-;-;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;7;2;-;-;1;-;4;-;2121
"22 Piau�";97;1005;41;12;1;56;40;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1261
"23 Cear�";482;1342;125;201;13;150;28;7;-;103;3;-;-;-;-;-;-;-;-;-;-;5;4;-;-;-;-;-;-;1;-;6;13;1;-;1;1;-;-;2486
"24 Rio Grande do Norte";53;875;7;19;1;43;18;-;-;7;-;-;-;-;-;-;-;-;-;-;-;6;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1034
"25 Para�ba";72;1178;15;29;7;99;25;-;-;17;-;-;-;-;-;-;-;-;-;-;-;7;3;-;2;-;-;-;-;3;-;-;-;-;-;4;-;-;-;1461
"26 Pernambuco";439;1479;87;234;15;138;24;5;-;20;-;-;-;-;-;-;-;-;-;-;-;15;6;-;-;-;-;-;-;-;-;2;1;-;1;1;-;2;-;2469
"27 Alagoas";136;609;29;28;1;42;22;8;-;16;-;-;-;-;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;2;-;1;3;-;-;6;-;-;1;910
"28 Sergipe";125;434;2;39;2;9;3;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;4;-;2;-;-;-;-;-;-;-;633
"29 Bahia";742;2218;15;489;18;113;79;5;-;15;-;-;-;-;-;-;-;-;-;-;-;20;13;-;-;-;-;-;-;-;-;3;6;-;-;1;-;4;-;3741
"31 Minas Gerais";1927;2010;635;157;29;262;84;-;-;13;10;-;-;-;-;6;-;-;1;-;-;24;9;2;3;-;-;-;2;3;-;2;1;-;1;6;-;-;-;5187
