"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"Total"
"11 Rond�nia";124;173;7;61;10;10;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5;2;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;397
"12 Acre";57;114;2;24;2;12;3;-;9;3;-;3;4;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;236
"13 Amazonas";197;325;42;120;6;37;3;-;9;9;-;1;6;-;2;-;-;-;-;-;-;2;1;-;-;-;-;-;1;1;-;8;2;-;-;-;-;-;-;-;-;772
"14 Roraima";42;52;9;2;-;4;2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;116
"15 Par�";439;629;22;420;1;61;6;-;-;1;-;1;1;1;1;-;-;-;1;-;-;3;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1590
"16 Amap�";33;93;2;19;2;16;2;-;-;2;-;1;-;-;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;176
"17 Tocantins";78;331;15;22;3;11;12;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;3;-;2;1;-;-;-;-;-;38;-;-;519
"21 Maranh�o";602;1240;21;144;2;105;16;-;-;23;-;-;-;-;-;-;-;-;-;-;-;5;5;-;-;-;-;-;-;-;-;3;3;-;-;1;-;-;2;1;-;2173
"22 Piau�";97;1013;50;7;-;68;53;-;-;13;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;61;-;1;1366
"23 Cear�";524;1345;120;194;14;161;36;7;-;108;3;-;-;-;-;-;-;-;-;-;-;8;5;-;-;-;-;-;-;1;-;4;6;1;-;1;1;-;-;-;-;2539
"24 Rio Grande do Norte";46;908;8;19;1;61;30;-;-;3;-;-;-;-;-;-;-;-;-;-;-;6;4;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;39;-;-;1128
"25 Para�ba";80;1197;15;30;5;114;34;-;-;4;-;-;-;-;-;-;-;-;-;-;-;9;5;-;6;-;1;-;-;1;-;-;-;-;-;5;-;-;34;-;-;1540
"26 Pernambuco";481;1469;67;242;16;153;28;8;-;21;1;-;-;-;-;-;-;-;-;-;-;17;9;-;1;-;-;-;-;1;-;3;2;-;1;1;-;1;-;-;-;2522
"27 Alagoas";138;628;29;25;1;71;28;11;-;10;-;-;-;-;-;1;-;-;-;-;-;9;5;-;-;-;-;-;-;2;-;-;-;-;-;6;-;-;6;-;-;970
"28 Sergipe";134;435;3;26;2;19;1;-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;8;-;1;1;-;-;-;-;-;-;-;-;644
"29 Bahia";778;2209;14;467;19;159;79;5;-;35;-;-;-;-;-;-;-;-;6;-;-;27;20;-;-;-;-;-;1;-;-;3;12;-;-;1;-;3;1;1;-;3840
"31 Minas Gerais";1947;2061;695;125;30;282;98;-;-;17;6;-;-;-;-;6;-;-;-;-;-;32;16;2;7;1;-;-;6;8;-;6;1;-;-;7;1;-;19;1;-;5374
