"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"Total"
"11 Rond�nia";125;173;6;55;10;8;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;383
"12 Acre";54;116;2;29;2;11;3;-;7;-;-;2;1;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;230
"13 Amazonas";197;314;42;124;2;35;2;-;5;7;-;1;3;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;3;1;-;9;1;-;-;-;-;-;-;748
"14 Roraima";49;52;8;2;1;4;2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;123
"15 Par�";403;628;22;411;1;58;6;-;-;2;-;1;1;1;1;-;-;-;1;-;-;2;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1541
"16 Amap�";38;101;2;19;2;16;2;-;-;3;-;-;-;-;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;189
"17 Tocantins";79;318;15;24;2;14;7;-;-;6;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;2;-;-;3;-;-;-;-;-;3;475
"21 Maranh�o";590;1219;20;154;2;92;16;-;-;29;-;-;-;-;-;-;-;-;-;-;-;4;3;-;-;-;-;-;-;-;-;5;4;-;-;1;-;5;-;2144
"22 Piau�";90;999;46;10;-;55;41;-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1258
"23 Cear�";505;1320;125;189;13;155;31;7;-;103;2;-;-;-;-;-;-;-;-;-;-;5;4;-;-;-;-;-;-;1;-;14;17;1;-;1;1;-;-;2494
"24 Rio Grande do Norte";49;880;5;19;1;43;20;-;-;7;-;-;-;-;-;-;-;-;-;-;-;4;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;1036
"25 Para�ba";73;1181;15;29;7;108;21;-;-;6;-;-;-;-;-;-;-;-;-;-;-;7;3;-;3;-;-;-;-;3;-;-;-;-;-;4;-;-;1;1461
"26 Pernambuco";457;1471;78;231;15;139;26;6;-;20;-;-;-;-;-;-;-;-;-;-;-;15;6;-;-;-;-;-;-;-;-;2;1;-;1;1;-;2;-;2471
"27 Alagoas";134;612;29;29;1;40;20;9;-;13;-;-;-;-;-;1;-;-;-;-;-;4;2;-;-;-;-;-;-;3;-;1;3;-;-;6;-;-;1;908
"28 Sergipe";124;436;2;39;2;9;3;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;6;-;3;-;-;-;-;-;-;-;636
"29 Bahia";742;2204;15;492;18;119;79;5;-;21;-;-;-;-;-;-;-;-;6;-;-;20;14;-;-;-;-;-;-;-;-;7;9;-;-;1;-;4;-;3756
"31 Minas Gerais";1920;2021;633;165;29;261;87;-;-;15;12;-;-;-;-;6;-;-;1;-;-;26;10;2;3;-;-;-;2;3;-;3;2;1;1;6;-;-;-;5209
