"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"Total"
"11 Rond�nia";121;172;7;60;10;10;2;-;-;2;-;-;-;-;-;-;-;-;-;-;-;5;2;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;393
"12 Acre";61;114;2;24;3;12;3;-;9;3;-;3;4;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;242
"13 Amazonas";197;329;40;118;6;38;3;-;10;8;-;2;7;-;2;-;-;-;-;-;-;2;1;-;-;-;-;-;1;1;-;8;2;-;-;-;-;-;-;-;-;775
"14 Roraima";40;52;8;2;-;4;2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;113
"15 Par�";439;633;22;418;1;62;8;-;-;1;-;3;1;1;1;-;-;-;1;-;-;3;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1597
"16 Amap�";33;91;2;19;2;16;2;-;-;1;-;1;-;-;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;173
"17 Tocantins";81;326;15;20;4;12;14;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;42;-;-;521
"21 Maranh�o";613;1245;21;135;2;109;15;-;-;18;-;-;-;-;-;-;-;-;-;-;-;4;4;-;-;-;-;-;-;-;-;4;3;-;-;1;-;-;3;1;-;2178
"22 Piau�";98;1005;51;8;-;72;53;-;-;14;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;64;1;1;1371
"23 Cear�";569;1364;128;161;15;164;37;12;-;91;2;-;-;-;-;-;-;-;-;-;-;8;5;-;-;-;-;-;-;1;-;5;6;1;-;1;1;-;-;-;-;2571
"24 Rio Grande do Norte";45;911;8;19;1;66;34;-;-;3;-;-;-;-;-;-;-;-;-;-;-;6;4;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;41;-;-;1140
"25 Para�ba";76;1197;17;30;5;114;34;-;-;5;-;-;-;-;-;-;-;-;-;-;-;9;5;-;6;-;1;-;-;1;-;-;-;-;-;5;-;-;39;-;-;1544
"26 Pernambuco";498;1468;69;227;16;156;29;8;-;27;2;-;-;-;-;-;-;-;-;-;-;17;9;-;1;-;-;-;-;1;-;3;2;-;1;1;-;1;-;-;-;2536
"27 Alagoas";142;631;29;24;1;70;28;11;-;7;-;-;-;-;-;1;-;-;-;-;-;8;5;-;-;-;-;-;-;2;-;-;-;-;-;6;-;-;9;-;-;974
"28 Sergipe";135;437;3;25;2;21;1;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;7;-;1;1;-;-;-;-;-;2;-;-;650
"29 Bahia";796;2204;14;463;19;171;77;5;-;33;-;-;-;-;-;-;-;-;6;-;-;27;20;-;-;-;-;-;1;-;-;3;7;-;-;2;-;2;4;1;-;3855
"31 Minas Gerais";1932;2076;687;130;30;290;96;-;-;27;6;-;-;-;-;6;-;-;-;-;-;33;17;2;7;1;-;-;6;10;-;8;-;-;-;8;1;-;38;1;-;5412
