"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"Total"
"11 Rond�nia";118;173;7;56;10;8;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4;2;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;382
"12 Acre";58;111;2;27;2;12;3;-;8;2;-;3;4;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;235
"13 Amazonas";195;323;42;122;2;35;2;-;6;8;-;-;6;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;2;1;-;9;2;-;-;-;-;-;-;-;758
"14 Roraima";44;52;8;2;-;4;2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;117
"15 Par�";418;633;22;422;1;58;6;-;-;1;-;1;-;1;1;-;-;-;1;-;-;3;3;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1572
"16 Amap�";33;97;2;20;2;16;2;-;-;3;-;-;-;-;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;181
"17 Tocantins";77;323;16;23;3;12;10;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;3;-;2;2;-;-;-;-;-;21;-;496
"21 Maranh�o";591;1237;21;145;2;96;16;-;-;30;-;-;-;-;-;-;-;-;-;-;-;4;3;-;-;-;-;-;-;-;-;5;3;-;-;1;-;-;-;-;2154
"22 Piau�";90;1006;48;10;-;63;48;-;-;14;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33;-;1314
"23 Cear�";496;1337;126;200;14;159;34;7;-;117;2;-;-;-;-;-;-;-;-;-;-;8;5;-;1;-;-;-;-;1;-;6;4;1;-;1;1;-;-;-;2520
"24 Rio Grande do Norte";46;900;8;17;1;53;23;-;-;2;-;-;-;-;-;-;-;-;-;-;-;6;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;1082
"25 Para�ba";75;1200;15;25;6;102;32;-;-;3;-;-;-;-;-;-;-;-;-;-;-;8;3;-;6;-;1;-;-;1;-;-;-;-;-;5;-;-;19;-;1501
"26 Pernambuco";463;1465;70;247;15;145;26;8;-;23;-;-;-;-;-;-;-;-;-;-;-;17;9;-;1;-;-;-;-;-;-;4;3;-;1;1;-;1;-;-;2499
"27 Alagoas";141;617;29;26;1;56;27;11;-;15;-;-;-;-;-;1;-;-;-;-;-;7;4;-;1;-;-;-;-;3;-;1;1;-;-;6;-;-;6;-;953
"28 Sergipe";128;433;2;33;2;16;2;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;7;-;2;1;-;-;-;-;-;-;-;643
"29 Bahia";713;2214;14;505;18;139;82;5;-;22;-;-;-;-;-;-;-;-;6;-;-;26;18;-;-;-;-;-;1;-;-;5;8;-;-;1;-;5;1;1;3784
"31 Minas Gerais";1925;2046;683;139;29;270;88;-;-;13;5;-;-;-;-;6;-;-;-;-;-;29;14;2;5;1;-;-;5;6;-;5;-;-;-;7;1;-;1;-;5280
