"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"Total"
"11 Rond�nia";121;170;7;63;10;9;1;-;-;1;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;385
"12 Acre";55;113;2;25;2;11;3;-;8;1;-;2;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;227
"13 Amazonas";204;308;42;114;2;28;2;-;4;5;-;1;2;-;-;-;-;-;-;1;-;-;-;-;-;-;5;1;-;4;-;-;-;-;-;723
"14 Roraima";50;56;4;2;1;4;2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;121
"15 Par�";413;619;21;406;1;57;6;-;-;2;-;1;-;1;-;-;-;1;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1532
"16 Amap�";44;103;2;11;2;16;2;-;-;1;-;-;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;187
"17 Tocantins";80;318;14;27;1;15;6;-;-;2;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;2;-;-;3;-;-;-;-;470
"21 Maranh�o";548;1206;20;170;2;90;15;-;-;36;-;-;-;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;9;3;-;-;1;-;2105
"22 Piau�";100;998;41;13;1;55;38;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1253
"23 Cear�";434;1282;125;245;13;145;20;3;-;127;5;-;-;-;-;-;-;-;-;5;3;-;-;-;-;-;-;-;1;8;18;-;-;1;1;2436
"24 Rio Grande do Norte";51;828;8;24;1;41;17;-;-;43;-;-;-;-;-;-;-;-;-;5;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1022
"25 Para�ba";68;1168;15;34;7;99;24;-;-;23;-;-;-;-;-;-;-;-;-;7;3;-;2;-;-;-;-;4;-;-;-;-;-;4;-;1458
"26 Pernambuco";420;1401;85;240;17;129;23;5;-;30;2;-;-;-;-;-;-;-;-;14;5;-;-;-;-;-;-;-;-;3;9;-;1;1;-;2385
"27 Alagoas";139;611;29;27;1;39;22;8;-;10;-;-;-;-;-;-;-;-;-;4;3;-;1;-;-;-;-;3;-;-;1;-;-;6;-;904
"28 Sergipe";122;429;1;35;2;9;2;-;-;18;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;621
"29 Bahia";712;2136;11;511;18;99;78;5;-;22;-;-;-;-;-;-;-;-;-;18;11;-;3;-;-;-;-;-;-;5;5;-;-;1;-;3635
"31 Minas Gerais";1921;1979;626;163;29;257;75;-;-;15;4;-;-;-;6;-;-;-;-;22;7;2;4;-;-;-;2;2;-;1;3;-;1;5;-;5124
"32 Esp�rito Santo";189;421;2;144;8;4;4;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;2;2;-;-;-;-;783
"33 Rio de Janeiro";911;885;220;207;33;112;1;1;-;11;2;-;-;-;-;-;-;1;-;22;13;-;-;-;-;-;93;10;20;38;14;3;-;1;2;2600
"35 S�o Paulo";1857;1671;183;689;80;167;5;2;-;37;7;-;-;-;19;1;1;19;1;56;31;8;6;2;-;-;73;19;6;130;22;4;3;3;13;5115
"41 Paran�";622;896;402;248;4;71;15;1;-;7;4;-;-;-;1;1;-;1;2;12;6;1;-;-;-;-;4;2;2;1;4;-;-;3;-;2310
"42 Santa Catarina";563;878;66;80;2;49;28;-;-;3;-;-;-;-;-;-;-;-;-;4;1;-;1;-;-;-;-;-;-;4;4;-;1;1;-;1685
"43 Rio Grande do Sul";565;786;26;180;19;25;11;5;-;11;-;-;-;-;5;-;-;6;1;5;2;1;1;-;-;-;3;5;-;13;3;-;-;-;1;1674
"50 Mato Grosso do Sul";9;444;28;90;17;18;24;21;-;1;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;-;7;-;-;6;-;-;-;1;669
"51 Mato Grosso";170;379;54;72;8;9;15;-;2;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;713
"52 Goi�s";268;840;114;43;8;37;18;-;-;-;-;-;-;-;-;-;-;-;-;8;5;-;-;-;-;-;-;-;-;-;1;-;2;-;1;1345
"53 Distrito Federal";150;65;2;44;13;7;-;-;-;1;-;-;-;-;-;1;-;-;-;9;3;-;-;-;-;-;1;-;-;-;-;-;-;-;-;296
"Total";10786;20990;2150;3907;302;1602;457;51;16;421;25;4;2;2;31;3;1;28;4;205;106;13;21;2;1;1;181;55;29;221;98;7;9;28;19;41778
