"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"Total"
"11 Rond�nia";119;167;7;60;9;9;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;375
"12 Acre";58;114;2;21;2;11;3;-;8;-;-;2;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;226
"13 Amazonas";210;306;43;117;2;31;2;-;4;5;-;1;2;-;-;-;-;-;-;1;-;-;3;-;-;-;5;-;-;3;-;-;-;-;-;735
"14 Roraima";50;53;4;2;1;3;2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;117
"15 Par�";411;605;23;403;1;57;6;-;-;3;-;1;-;1;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1515
"16 Amap�";42;105;2;11;1;16;2;-;-;1;-;-;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;186
"17 Tocantins";80;316;15;28;1;15;6;-;-;3;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;-;-;3;-;-;-;-;470
"21 Maranh�o";536;1201;21;163;2;91;12;-;-;36;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;2;-;10;4;-;-;1;-;2082
"22 Piau�";100;981;43;11;1;57;35;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1241
"23 Cear�";433;1287;119;235;12;145;18;2;-;130;8;-;-;-;-;-;-;-;-;4;3;-;-;-;-;-;-;1;-;8;7;1;-;1;1;2415
"24 Rio Grande do Norte";51;834;9;24;1;41;16;-;-;42;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1018
"25 Para�ba";62;1177;15;42;7;99;25;-;-;16;-;-;-;-;-;-;-;-;-;7;3;-;2;-;-;-;-;3;-;1;-;-;-;4;-;1463
"26 Pernambuco";420;1380;83;249;17;130;18;5;-;42;3;-;-;-;-;-;-;-;-;14;5;-;-;-;-;-;-;-;-;7;8;-;1;1;-;2383
"27 Alagoas";137;597;29;33;1;41;16;8;-;11;-;-;-;-;-;-;-;-;-;4;3;-;1;-;-;-;-;3;-;-;12;-;-;6;-;902
"28 Sergipe";121;429;2;38;2;9;-;-;-;21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;624
"29 Bahia";711;2119;14;541;18;105;78;5;-;23;-;-;-;-;-;-;-;-;-;12;7;-;3;-;-;-;-;1;-;9;11;-;-;1;-;3658
"31 Minas Gerais";1918;1995;635;187;29;261;70;-;-;20;2;-;-;-;6;-;-;-;-;21;7;2;7;-;-;-;3;2;-;3;6;-;-;5;-;5179
"32 Esp�rito Santo";185;414;2;134;8;3;4;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;5;-;-;-;-;764
"33 Rio de Janeiro";900;884;221;214;33;109;1;1;-;11;3;-;-;-;-;-;-;1;-;21;13;-;-;-;-;-;89;9;19;38;12;7;-;1;2;2589
"35 S�o Paulo";1838;1652;184;711;77;165;4;2;-;38;9;-;-;-;18;1;1;19;1;42;22;8;7;1;-;-;72;23;5;121;22;5;2;3;10;5063
"41 Paran�";613;888;396;240;4;70;12;1;-;11;7;-;-;-;-;1;-;-;2;13;6;2;-;-;-;-;6;3;2;1;2;2;-;3;-;2285
"42 Santa Catarina";558;876;63;80;2;50;22;-;-;5;-;-;-;-;-;-;-;-;-;4;1;-;-;-;-;-;-;2;-;3;2;-;-;-;-;1668
"43 Rio Grande do Sul";553;774;23;182;16;24;11;5;-;14;-;-;-;-;5;-;-;6;1;5;1;1;1;-;-;-;2;7;-;12;5;-;-;-;1;1649
"50 Mato Grosso do Sul";11;443;28;90;17;18;23;21;-;1;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;7;-;-;5;-;-;-;1;667
"51 Mato Grosso";174;366;55;76;8;9;15;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;708
"52 Goi�s";268;842;115;45;7;39;17;-;-;-;-;-;-;-;-;-;-;-;-;9;6;-;-;-;-;-;-;1;-;-;1;-;-;-;1;1351
"53 Distrito Federal";145;63;2;39;13;5;-;-;-;1;-;-;-;-;-;1;-;-;-;7;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;279
"Total";10704;20868;2155;3976;292;1613;419;50;14;458;32;4;2;2;29;3;1;27;4;174;85;13;26;1;1;1;177;65;26;220;108;15;4;27;16;41612
