"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"31 ESF3SB_M1 - ESF TIPO III COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"Total"
"11 Rond�nia";124;158;7;54;11;8;-;-;-;-;-;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;367
"12 Acre";46;94;3;46;2;7;2;-;8;2;-;-;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;213
"13 Amazonas";230;301;40;121;2;31;1;-;2;4;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;735
"14 Roraima";47;56;3;2;1;4;2;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;118
"15 Par�";421;584;23;369;-;53;5;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1457
"16 Amap�";43;105;2;13;1;16;2;-;-;3;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;186
"17 Tocantins";76;319;14;30;1;15;4;-;-;4;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;465
"21 Maranh�o";543;1238;20;136;1;84;12;-;-;34;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;1;6;-;-;-;2078
"22 Piau�";120;957;40;13;-;54;27;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1225
"23 Cear�";434;1341;128;200;12;143;10;1;-;88;5;-;-;-;-;-;-;-;-;1;1;-;-;-;-;1;1;-;-;-;6;2;2;1;1;2378
"24 Rio Grande do Norte";47;833;8;27;-;47;10;-;-;41;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1013
"25 Para�ba";80;1163;15;26;7;97;11;-;-;24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1426
"26 Pernambuco";416;1402;96;212;18;129;12;5;-;57;-;-;-;-;-;-;-;-;-;11;5;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2364
"27 Alagoas";137;599;29;32;1;40;9;8;-;10;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;2;-;1;11;-;-;-;882
"28 Sergipe";130;431;2;27;2;9;-;-;-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;620
"29 Bahia";677;2152;17;531;18;106;47;3;-;11;-;-;-;-;-;-;-;-;-;4;3;-;1;-;-;-;-;-;-;-;4;8;-;1;-;3583
"31 Minas Gerais";1914;1983;610;155;28;242;30;-;-;9;1;-;-;-;6;-;-;-;-;16;5;1;1;-;-;-;-;1;2;-;3;2;-;-;-;5009
"32 Esp�rito Santo";186;420;2;123;6;4;3;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;753
"33 Rio de Janeiro";924;817;228;233;29;97;1;1;-;15;2;-;-;-;-;-;-;1;-;16;11;-;-;-;-;-;-;32;1;2;40;8;2;-;1;2461
"35 S�o Paulo";1914;1642;159;653;83;145;-;-;-;35;8;-;-;-;19;-;1;20;1;20;6;7;4;-;1;-;-;54;14;1;66;9;6;-;1;4869
"41 Paran�";625;857;385;238;3;68;8;1;-;9;5;-;-;-;-;1;-;-;2;11;5;-;-;1;-;-;-;-;-;-;1;-;-;-;-;2220
