"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"Total"
"11 Rond�nia";113;131;6;66;14;3;1;-;-;2;1;337
"12 Acre";32;99;3;42;1;5;-;-;1;-;-;183
"13 Amazonas";228;280;37;128;1;23;-;-;1;-;-;698
"14 Roraima";46;54;2;2;-;3;2;-;6;-;-;115
"15 Par�";406;465;13;345;-;17;3;-;-;1;-;1250
"16 Amap�";43;99;9;15;-;12;2;-;-;-;-;180
"17 Tocantins";84;298;5;47;1;4;1;-;-;3;-;443
"21 Maranh�o";561;1224;22;99;-;47;2;-;-;7;-;1962
"22 Piau�";166;899;38;14;-;26;10;-;-;1;-;1154
"23 Cear�";420;1298;125;97;3;123;1;1;-;24;1;2093
"24 Rio Grande do Norte";49;825;2;26;-;29;2;-;-;28;-;961
"25 Para�ba";92;1171;6;22;6;76;-;-;-;1;-;1374
"26 Pernambuco";435;1346;87;206;5;70;-;4;-;8;2;2163
"27 Alagoas";144;585;30;24;1;32;2;11;-;3;-;832
"28 Sergipe";138;415;2;27;-;10;-;-;-;3;-;595
"29 Bahia";676;1934;17;551;15;60;20;2;-;16;-;3291
"31 Minas Gerais";1963;1725;489;161;27;188;18;-;-;4;-;4575
"32 Esp�rito Santo";157;396;1;138;7;1;-;-;-;4;-;704
"33 Rio de Janeiro";799;654;68;162;35;41;-;1;-;5;1;1766
"35 S�o Paulo";1832;1453;149;625;74;84;-;-;-;27;1;4245
"41 Paran�";577;778;392;231;4;54;3;1;-;5;2;2047
"42 Santa Catarina";556;765;31;96;1;25;2;-;-;1;-;1477
"43 Rio Grande do Sul";540;667;18;172;7;11;5;1;-;-;-;1421
"50 Mato Grosso do Sul";16;380;31;101;16;12;15;9;-;-;-;580
"51 Mato Grosso";202;328;46;65;7;7;11;-;-;-;-;666
"52 Goi�s";241;694;130;44;1;19;8;-;-;-;-;1137
"53 Distrito Federal";128;5;8;48;9;-;-;-;-;-;-;198
"Total";10644;18968;1767;3554;235;982;108;30;8;143;8;36447
