"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"Total"
"11 Rond�nia";126;135;6;57;13;5;-;-;-;2;1;345
"12 Acre";49;92;3;45;1;6;1;-;5;-;-;202
"13 Amazonas";230;293;38;104;1;24;-;-;1;-;-;691
"14 Roraima";44;59;2;1;-;4;1;-;5;-;-;116
"15 Par�";414;516;15;345;-;26;4;-;-;2;-;1322
"16 Amap�";39;103;9;15;-;14;2;-;-;-;-;182
"17 Tocantins";85;302;11;36;1;7;3;-;-;3;-;448
"21 Maranh�o";576;1247;22;95;-;69;5;-;-;12;-;2026
"22 Piau�";157;917;25;18;-;38;14;-;-;4;-;1173
"23 Cear�";419;1303;133;200;11;131;3;1;-;62;1;2264
"24 Rio Grande do Norte";47;823;6;26;-;38;3;-;-;36;-;979
"25 Para�ba";80;1190;8;25;7;85;-;-;-;5;-;1400
"26 Pernambuco";419;1388;94;206;5;85;2;4;-;9;1;2213
"27 Alagoas";145;587;29;27;1;33;1;11;-;4;-;838
"28 Sergipe";148;425;2;21;2;7;-;-;-;-;-;605
"29 Bahia";669;2060;16;515;18;84;27;3;-;16;-;3408
"31 Minas Gerais";1920;1824;518;173;28;206;21;-;-;7;3;4700
"32 Esp�rito Santo";173;398;16;133;7;2;-;-;-;5;-;734
"33 Rio de Janeiro";813;693;105;191;35;46;-;1;-;13;1;1898
"35 S�o Paulo";1868;1492;149;681;81;119;1;-;-;35;13;4439
"41 Paran�";593;828;398;239;4;63;5;1;-;7;-;2138
"42 Santa Catarina";566;783;32;92;1;31;3;-;-;6;-;1514
"43 Rio Grande do Sul";524;690;18;169;7;12;4;4;-;3;-;1431
"50 Mato Grosso do Sul";12;406;29;99;17;14;18;16;-;-;-;611
"51 Mato Grosso";199;336;50;69;9;8;12;-;-;3;-;686
"52 Goi�s";236;795;130;40;2;31;7;-;-;-;-;1241
"53 Distrito Federal";137;12;9;57;9;4;-;-;-;-;-;228
"Total";10688;19697;1873;3679;260;1192;137;41;11;234;20;37832
