"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"Total"
"11 Rond�nia";121;134;6;62;13;5;-;-;-;3;1;345
"12 Acre";43;92;3;47;1;5;1;-;4;-;-;196
"13 Amazonas";231;285;38;104;1;23;-;-;1;-;-;683
"14 Roraima";44;58;2;1;-;4;1;-;6;-;-;116
"15 Par�";418;502;15;347;-;25;4;-;-;2;-;1313
"16 Amap�";40;102;9;15;-;15;2;-;-;-;-;183
"17 Tocantins";87;299;8;38;1;7;2;-;-;4;-;446
"21 Maranh�o";577;1247;22;99;-;64;5;-;-;8;-;2022
"22 Piau�";163;907;30;16;-;37;14;-;-;4;-;1171
"23 Cear�";430;1297;135;166;11;128;2;1;-;49;1;2220
"24 Rio Grande do Norte";46;817;5;26;-;35;3;-;-;35;-;967
"25 Para�ba";82;1191;6;26;7;80;-;-;-;5;-;1397
"26 Pernambuco";426;1371;90;201;5;84;-;3;-;9;2;2191
"27 Alagoas";149;587;30;21;1;32;1;11;-;6;-;838
"28 Sergipe";148;423;2;20;-;7;-;-;-;-;-;600
"29 Bahia";668;2025;15;518;17;75;26;2;-;24;-;3370
"31 Minas Gerais";1923;1803;512;171;28;204;20;-;-;7;2;4670
"32 Esp�rito Santo";171;396;12;128;7;1;-;-;-;6;-;721
"33 Rio de Janeiro";820;691;101;172;35;46;-;1;-;12;2;1880
"35 S�o Paulo";1866;1476;151;667;80;123;1;-;-;31;9;4404
"41 Paran�";601;817;397;223;4;64;5;1;-;7;-;2119
"42 Santa Catarina";565;785;32;93;1;32;3;-;-;7;-;1518
"43 Rio Grande do Sul";529;683;19;171;7;12;5;5;-;2;-;1433
"50 Mato Grosso do Sul";13;396;30;99;16;14;18;16;-;-;-;602
"51 Mato Grosso";199;337;47;64;9;8;10;-;-;2;-;676
"52 Goi�s";239;777;133;41;2;31;8;-;-;-;-;1231
"53 Distrito Federal";128;13;9;48;9;3;-;-;-;-;-;210
"Total";10727;19511;1859;3584;255;1164;131;40;11;223;17;37522
