"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"Total"
"11 Rond�nia";124;142;7;54;13;5;-;-;-;2;1;348
"12 Acre";44;94;3;47;1;6;1;-;5;2;-;203
"13 Amazonas";229;294;38;102;1;25;-;-;1;3;-;693
"14 Roraima";44;60;2;1;-;4;1;-;6;-;-;118
"15 Par�";420;529;17;345;1;32;4;-;-;1;-;1349
"16 Amap�";39;103;9;15;-;15;2;-;-;-;-;183
"17 Tocantins";86;310;12;30;1;10;3;-;-;2;-;454
"21 Maranh�o";569;1261;22;96;-;70;7;-;-;12;-;2037
"22 Piau�";163;926;24;18;-;41;21;-;-;5;-;1198
"23 Cear�";449;1306;131;196;12;133;3;1;-;54;3;2288
"24 Rio Grande do Norte";47;826;8;26;-;41;3;-;-;36;-;987
"25 Para�ba";76;1192;14;27;7;88;-;-;-;7;-;1411
"26 Pernambuco";409;1412;94;198;16;96;2;4;-;7;-;2238
"27 Alagoas";147;592;30;22;1;33;1;11;-;9;-;846
"28 Sergipe";149;424;2;21;2;7;-;-;-;2;-;607
"29 Bahia";682;2065;16;514;19;84;27;3;-;22;-;3432
"31 Minas Gerais";1909;1850;534;173;29;213;23;-;-;12;2;4745
"32 Esp�rito Santo";177;395;15;136;6;2;-;-;-;6;-;737
"33 Rio de Janeiro";843;718;116;243;35;59;-;1;-;16;1;2032
"35 S�o Paulo";1839;1506;151;721;78;129;-;-;-;40;16;4480
"41 Paran�";593;838;396;240;4;63;5;1;-;7;1;2148
"42 Santa Catarina";570;794;34;91;2;36;4;-;-;6;-;1537
"43 Rio Grande do Sul";531;697;18;172;8;13;5;5;-;4;-;1453
"50 Mato Grosso do Sul";10;409;30;99;16;14;18;17;-;-;-;613
"51 Mato Grosso";192;344;52;68;9;8;12;-;-;3;-;688
"52 Goi�s";235;800;131;43;5;32;9;-;-;-;-;1255
"53 Distrito Federal";131;14;9;65;9;5;-;-;-;-;-;233
"Total";10707;19901;1915;3763;275;1264;151;43;12;258;24;38313
