"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"Total"
"11 Rond�nia";127;134;6;57;13;5;-;-;-;2;1;345
"12 Acre";45;96;3;45;1;6;1;-;5;-;-;202
"13 Amazonas";231;294;38;104;1;25;-;-;1;-;-;694
"14 Roraima";46;59;2;1;-;4;1;-;6;-;-;119
"15 Par�";416;525;17;346;1;27;4;-;-;2;-;1338
"16 Amap�";39;103;9;15;-;14;2;-;-;-;-;182
"17 Tocantins";88;305;12;33;1;9;3;-;-;3;-;454
"21 Maranh�o";567;1264;22;96;-;70;5;-;-;12;-;2036
"22 Piau�";159;918;25;18;-;39;19;-;-;6;-;1184
"23 Cear�";418;1292;129;204;11;131;3;1;-;66;4;2259
"24 Rio Grande do Norte";47;821;6;26;-;37;3;-;-;36;-;976
"25 Para�ba";80;1191;8;25;7;87;-;-;-;5;-;1403
"26 Pernambuco";416;1399;95;201;6;86;2;4;-;5;-;2214
"27 Alagoas";149;587;29;24;1;33;1;11;-;8;-;843
"28 Sergipe";148;425;2;22;2;7;-;-;-;1;-;607
"29 Bahia";679;2064;16;516;19;83;27;2;-;15;-;3421
"31 Minas Gerais";1916;1831;524;168;28;205;21;-;-;8;4;4705
"32 Esp�rito Santo";172;397;18;130;7;2;-;-;-;6;-;732
"33 Rio de Janeiro";825;700;109;200;35;46;-;1;-;14;1;1931
"35 S�o Paulo";1864;1495;153;701;81;125;1;-;-;38;12;4470
"41 Paran�";596;825;397;239;4;65;5;1;-;7;1;2140
"42 Santa Catarina";565;786;34;89;2;35;2;-;-;6;-;1519
"43 Rio Grande do Sul";525;689;19;169;7;12;4;5;-;4;-;1434
"50 Mato Grosso do Sul";12;406;30;98;17;14;18;16;-;-;-;611
"51 Mato Grosso";190;345;52;67;9;7;12;-;-;3;-;685
"52 Goi�s";235;797;130;41;2;31;7;-;-;-;-;1243
"53 Distrito Federal";136;14;9;59;9;4;-;-;-;-;-;231
"Total";10691;19762;1894;3694;264;1209;141;41;12;247;23;37978
