"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"Total"
"11 Rond�nia";116;132;6;63;13;4;1;-;-;2;1;338
"12 Acre";34;97;3;45;1;5;-;-;1;-;-;186
"13 Amazonas";234;283;37;127;1;26;-;-;1;-;-;709
"14 Roraima";45;57;2;2;-;3;3;-;6;-;-;118
"15 Par�";413;479;15;345;-;20;4;-;-;1;-;1277
"16 Amap�";43;97;9;15;-;14;2;-;-;-;-;180
"17 Tocantins";85;299;5;44;1;4;1;-;-;1;-;440
"21 Maranh�o";572;1243;22;96;-;50;3;-;-;6;-;1992
"22 Piau�";165;903;37;13;-;27;11;-;-;1;-;1157
"23 Cear�";425;1292;129;100;3;125;1;1;-;28;2;2106
"24 Rio Grande do Norte";47;830;2;26;-;30;2;-;-;36;-;973
"25 Para�ba";83;1180;6;26;6;77;-;-;-;1;-;1379
"26 Pernambuco";427;1364;86;206;5;73;-;3;-;9;2;2175
"27 Alagoas";150;590;30;19;1;32;1;11;-;2;-;836
"28 Sergipe";143;417;2;22;-;11;-;-;-;1;-;596
"29 Bahia";671;1962;16;539;17;61;21;2;-;22;-;3311
"31 Minas Gerais";1957;1757;493;164;27;189;18;-;-;5;-;4610
"32 Esp�rito Santo";162;409;1;131;7;1;-;-;-;3;-;714
"33 Rio de Janeiro";805;646;80;165;35;42;-;1;-;7;1;1782
"35 S�o Paulo";1854;1467;145;623;82;91;1;-;-;28;5;4296
"41 Paran�";589;783;395;225;4;54;3;1;-;3;-;2057
"42 Santa Catarina";563;775;32;94;1;26;3;-;-;3;-;1497
"43 Rio Grande do Sul";533;670;18;172;7;11;5;1;-;1;-;1418
"50 Mato Grosso do Sul";16;380;29;99;17;12;15;13;-;-;-;581
"51 Mato Grosso";207;325;46;65;7;7;11;-;-;-;-;668
"52 Goi�s";239;736;134;44;-;19;8;-;-;-;-;1180
"53 Distrito Federal";126;5;8;48;9;-;-;-;-;-;-;196
"Total";10704;19178;1788;3518;244;1014;114;33;8;160;11;36772
