"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"Total"
"11 Rond�nia";121;142;7;57;13;5;-;-;-;2;1;348
"12 Acre";46;95;3;46;1;6;1;-;5;-;-;203
"13 Amazonas";231;293;38;102;1;25;-;-;1;3;-;694
"14 Roraima";45;59;2;1;-;4;1;-;6;-;-;118
"15 Par�";420;525;17;347;1;29;4;-;-;2;-;1345
"16 Amap�";38;103;9;15;-;14;2;-;-;-;-;181
"17 Tocantins";87;303;12;30;1;9;3;-;-;4;-;449
"21 Maranh�o";562;1263;22;96;-;69;7;-;-;12;-;2031
"22 Piau�";160;925;25;18;-;41;21;-;-;5;-;1195
"23 Cear�";428;1285;127;208;12;131;3;1;-;69;4;2268
"24 Rio Grande do Norte";48;817;6;26;-;39;3;-;-;39;-;978
"25 Para�ba";76;1193;14;27;7;88;-;-;-;6;-;1411
"26 Pernambuco";418;1397;94;201;16;95;2;4;-;5;-;2232
"27 Alagoas";148;589;29;24;1;33;1;11;-;7;-;843
"28 Sergipe";149;424;2;22;2;7;-;-;-;2;-;608
"29 Bahia";685;2063;16;518;19;84;27;3;-;21;-;3436
"31 Minas Gerais";1894;1844;536;174;28;208;22;-;-;13;2;4721
"32 Esp�rito Santo";177;396;15;135;6;2;-;-;-;6;-;737
"33 Rio de Janeiro";826;720;117;234;35;47;-;1;-;15;1;1996
"35 S�o Paulo";1858;1498;150;708;80;127;-;-;-;38;14;4473
"41 Paran�";596;835;395;238;4;64;5;1;-;7;1;2146
"42 Santa Catarina";569;791;34;91;2;36;1;-;-;5;-;1529
"43 Rio Grande do Sul";523;697;18;172;7;13;4;5;-;4;-;1443
"50 Mato Grosso do Sul";10;410;30;99;17;14;18;16;-;-;-;614
"51 Mato Grosso";192;344;52;67;9;8;12;-;-;3;-;687
"52 Goi�s";234;801;131;43;5;31;8;-;-;-;-;1253
"53 Distrito Federal";135;14;9;63;9;4;-;-;-;-;-;234
"Total";10676;19826;1910;3762;276;1233;145;42;12;268;23;38173
