"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"70 ESF - EQUIPE DE SAUDE DA FAMILIA";"71 ESB - EQUIPE DE SAUDE BUCAL";"72 ENASF-AB - EQ NUCLEO AMPLIADO SAUDE DA FAMILIA AT. PRIMARIA";"73 ECR - EQUIPE DOS CONSULTORIOS NA RUA";"74 EABP - EQUIPE DE ATENCAO PRIMARIA PRISIONAL";"75 EMAESM - EQ  MULTIPROF  ATENCAO ESPECIALIZADA SAUDE MENTAL";"76 EAP - EQUIPE DE ATENCAO PRIMARIA";"Total"
"11 Rond�nia";4;1;-;1;-;-;-;7;-;-;-;-;-;-;-;-;8;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;430;175;23;1;18;1;9;681
"12 Acre";4;-;-;2;-;1;-;10;-;-;-;1;-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;249;149;22;1;4;1;16;464
"13 Amazonas";1;-;-;2;-;-;-;71;-;-;-;1;-;-;-;-;13;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;954;730;78;3;11;-;139;2009
"14 Roraima";-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;145;80;15;-;4;-;1;276
"15 Par�";4;-;-;8;-;2;-;14;-;-;2;-;-;-;-;-;39;34;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;1990;1109;152;5;12;3;105;3488
"16 Amap�";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;193;140;24;2;-;-;1;365
"17 Tocantins";-;-;-;-;-;3;-;7;-;-;-;-;-;-;-;-;5;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;560;452;139;1;27;-;5;1204
"21 Maranh�o";8;3;-;3;-;3;-;9;-;-;-;-;-;-;-;-;15;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;1;-;-;-;-;-;2367;1649;230;2;20;6;9;4346
"22 Piau�";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;1;-;-;-;-;-;1360;1267;253;1;10;-;4;2923
"23 Cear�";3;1;-;4;-;13;-;21;8;-;-;-;-;-;-;-;59;40;1;-;-;-;-;-;-;-;-;1;-;-;-;-;13;-;-;-;-;-;-;2804;2118;285;1;22;1;8;5403
"24 Rio Grande do Norte";-;-;-;2;-;6;2;-;-;-;-;-;-;-;-;-;10;10;-;-;-;-;-;1;-;-;-;-;-;-;-;1;6;-;2;-;-;-;-;1121;1070;159;5;10;-;5;2410
"25 Para�ba";1;-;-;3;-;-;-;3;-;-;-;-;-;-;-;-;22;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;-;-;-;1502;1391;277;5;11;18;6;3294
"26 Pernambuco";-;-;-;34;-;4;-;21;1;-;-;-;-;-;-;-;31;23;-;-;-;-;-;-;-;-;-;-;-;-;-;1;8;-;-;-;-;-;-;2585;2003;254;6;35;2;35;5043
"27 Alagoas";3;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;24;38;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;924;763;132;6;9;1;7;1939
"28 Sergipe";-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;15;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;697;471;73;1;3;3;4;1289
"29 Bahia";13;12;-;53;5;5;-;16;-;-;-;-;-;-;-;-;54;72;-;-;-;-;-;-;-;-;-;-;3;-;-;-;31;-;-;-;-;-;-;4212;3198;414;12;24;16;181;8321
"31 Minas Gerais";43;14;4;9;5;24;2;8;-;-;-;-;4;-;-;-;95;70;-;-;-;-;-;-;-;-;-;-;-;-;-;1;24;1;-;-;2;-;2;5877;3859;879;18;77;24;207;11249
