"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"70 ESF - EQUIPE DE SAUDE DA FAMILIA";"71 ESB - EQUIPE DE SAUDE BUCAL";"72 ENASF-AB - EQ NUCLEO AMPLIADO SAUDE DA FAMILIA AT. PRIMARIA";"73 ECR - EQUIPE DOS CONSULTORIOS NA RUA";"74 EABP - EQUIPE DE ATENCAO PRIMARIA PRISIONAL";"75 EMAESM - EQ  MULTIPROF  ATENCAO ESPECIALIZADA SAUDE MENTAL";"76 EAP - EQUIPE DE ATENCAO PRIMARIA";"Total"
"11 Rond�nia";2;1;-;1;-;-;-;7;-;-;-;-;-;-;-;8;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;436;177;25;1;18;2;11;693
"12 Acre";2;-;-;1;-;1;-;8;-;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;255;161;17;1;5;3;18;477
"13 Amazonas";-;-;-;2;-;-;-;72;-;-;1;-;-;-;-;14;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1011;762;77;3;12;-;146;2107
"14 Roraima";-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;151;98;16;-;4;-;1;301
"15 Par�";4;-;-;8;-;2;-;16;-;2;-;-;-;-;-;44;43;-;-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;2048;1174;138;5;16;7;147;3667
"16 Amap�";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;197;144;24;2;2;-;7;382
"17 Tocantins";-;-;-;-;-;3;-;8;-;-;-;-;-;-;-;7;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;576;476;137;2;25;2;10;1251
"21 Maranh�o";8;1;-;2;-;2;-;12;-;-;-;-;-;-;-;17;21;-;-;-;-;-;-;-;-;-;-;-;-;-;13;1;-;-;-;-;-;2482;1743;218;3;22;31;18;4594
"22 Piau�";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;15;-;-;-;-;-;-;-;-;-;-;-;-;-;9;1;-;-;-;-;-;1376;1279;249;1;15;4;4;2960
"23 Cear�";2;-;-;3;-;13;-;22;2;-;-;-;-;-;-;60;42;1;-;-;-;-;-;-;-;1;-;-;-;-;14;-;-;-;-;-;-;2869;2176;284;3;20;6;27;5545
"24 Rio Grande do Norte";-;-;-;2;-;6;2;-;-;-;-;-;-;-;-;9;11;-;-;-;-;1;-;-;-;-;-;-;-;1;10;-;2;-;-;-;-;1132;1083;157;5;11;-;12;2444
"25 Para�ba";1;-;-;3;-;-;-;3;-;-;-;-;-;-;-;24;36;-;-;-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;-;-;-;1521;1420;260;5;11;25;7;3341
"26 Pernambuco";-;-;-;34;-;4;-;21;1;-;-;-;-;-;-;35;30;-;-;-;-;-;-;-;-;-;-;-;-;1;12;-;-;-;-;-;-;2631;2057;244;7;63;2;78;5220
"27 Alagoas";3;-;-;-;-;-;-;9;-;-;-;-;-;-;-;24;38;-;-;-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;929;780;129;6;9;7;17;1974
"28 Sergipe";-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;15;17;-;-;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;712;491;69;1;4;9;20;1348
"29 Bahia";12;12;-;51;5;5;-;16;-;-;-;-;-;-;-;58;83;-;-;-;-;-;-;-;-;-;3;-;-;-;40;-;-;-;-;-;-;4247;3325;384;13;26;60;234;8574
"31 Minas Gerais";40;11;3;9;5;21;1;9;-;-;-;4;-;-;-;99;78;-;-;-;-;-;-;-;-;-;-;-;-;1;26;2;-;-;2;-;2;5961;4051;870;19;87;47;250;11598
"32 Esp�rito Santo";10;9;-;10;-;2;2;5;-;-;-;-;-;-;-;3;4;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;952;677;33;6;25;17;190;1947
"33 Rio de Janeiro";57;10;6;36;1;2;2;2;-;-;-;7;-;-;3;80;49;-;-;10;1;10;1;1;1;-;-;-;-;-;6;-;-;-;-;-;-;3190;1532;225;28;21;26;245;5552
"35 S�o Paulo";64;15;1;119;13;15;9;5;3;-;-;48;8;2;23;234;106;1;-;2;-;2;-;-;2;1;3;5;7;5;14;1;-;1;3;1;-;6556;4172;602;63;92;35;2012;14245
"41 Paran�";25;4;1;13;1;7;3;2;-;-;-;-;-;-;-;29;17;-;-;-;-;-;-;-;1;1;-;2;-;3;7;-;-;-;-;-;-;2646;1859;282;9;17;70;415;5414
"42 Santa Catarina";5;2;1;7;-;1;1;3;-;-;-;1;-;-;-;18;10;-;-;-;-;-;-;-;-;-;-;-;-;1;5;-;-;-;-;1;-;2117;1329;402;5;28;22;140;4099
"43 Rio Grande do Sul";4;2;-;27;-;9;2;11;1;-;-;10;6;1;1;43;14;-;-;-;-;1;-;-;-;-;-;14;-;-;11;-;-;1;-;-;-;2423;1513;181;9;49;71;626;5030
"50 Mato Grosso do Sul";1;-;-;8;-;1;-;22;-;-;-;-;-;-;-;10;11;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;1;-;-;-;-;746;634;67;4;61;8;12;1590
"51 Mato Grosso";-;-;-;4;-;-;-;18;-;-;-;-;-;-;-;9;4;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;881;642;82;3;11;2;33;1692
"52 Goi�s";-;-;-;4;-;10;-;1;-;-;-;1;-;-;1;34;42;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;1659;1300;186;11;67;46;107;3489
"53 Distrito Federal";2;-;-;-;-;4;-;-;-;-;-;-;-;-;-;17;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;607;282;36;3;14;6;-;980
"Total";242;67;12;344;25;109;22;304;7;2;1;71;14;3;28;905;698;2;1;12;1;14;1;1;4;3;6;21;7;13;262;7;4;2;5;2;2;50311;35337;5394;218;735;508;4787;100514
