"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"70 ESF - EQUIPE DE SAUDE DA FAMILIA";"71 ESB - EQUIPE DE SAUDE BUCAL";"72 ENASF-AB - EQ NUCLEO AMPLIADO SAUDE DA FAMILIA AT. PRIMARIA";"73 ECR - EQUIPE DOS CONSULTORIOS NA RUA";"74 EABP - EQUIPE DE ATENCAO PRIMARIA PRISIONAL";"75 EMAESM - EQ  MULTIPROF  ATENCAO ESPECIALIZADA SAUDE MENTAL";"76 EAP - EQUIPE DE ATENCAO PRIMARIA";"Total"
"11 Rond�nia";4;1;-;1;-;-;-;7;-;-;-;-;-;-;-;-;8;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;429;173;24;1;18;1;9;679
"12 Acre";4;-;-;2;-;1;-;9;-;-;-;1;-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;250;149;23;1;4;1;16;465
"13 Amazonas";1;-;-;2;-;-;-;71;-;-;-;1;-;-;-;-;13;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;952;730;78;3;11;-;134;2002
"14 Roraima";-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;145;80;15;-;4;-;1;276
"15 Par�";4;-;-;8;-;2;-;14;-;-;2;-;-;-;-;-;37;34;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;1987;1100;153;5;12;3;101;3471
"16 Amap�";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;193;142;24;2;-;-;1;367
"17 Tocantins";-;-;-;-;-;3;-;7;-;-;-;-;-;-;-;-;5;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;555;448;139;1;27;-;5;1195
"21 Maranh�o";8;3;-;4;-;3;-;6;-;-;-;-;-;-;-;-;16;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;1;-;-;-;-;-;2363;1628;231;2;20;5;16;4326
"22 Piau�";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;1;-;-;-;-;-;1361;1266;256;1;9;-;4;2927
"23 Cear�";3;1;-;4;-;14;-;20;8;-;-;-;-;-;-;-;58;39;1;-;-;-;-;-;-;-;-;1;-;-;-;-;13;-;-;-;-;-;-;2801;2115;283;1;22;1;8;5393
"24 Rio Grande do Norte";-;-;-;2;-;6;2;-;-;-;-;-;-;-;-;-;10;9;-;-;-;-;-;1;-;-;-;-;-;-;-;1;6;-;2;-;-;-;-;1120;1068;165;5;10;-;5;2412
"25 Para�ba";1;-;-;3;-;1;-;3;-;-;-;-;-;-;-;-;22;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;-;-;-;1503;1389;276;5;9;19;6;3292
"26 Pernambuco";-;-;-;35;-;4;-;21;1;-;-;-;-;-;-;-;32;21;-;-;-;-;-;-;-;-;-;-;-;-;-;1;6;-;-;-;-;-;-;2579;1993;254;6;36;2;30;5021
"27 Alagoas";3;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;23;38;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;923;763;132;6;9;1;7;1936
"28 Sergipe";-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;15;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;698;468;73;1;3;3;4;1288
"29 Bahia";13;12;-;53;5;5;1;16;-;-;-;-;-;-;-;-;54;72;-;-;-;-;-;-;-;-;-;-;3;-;-;-;31;-;-;-;-;-;-;4203;3161;425;12;24;16;159;8265
"31 Minas Gerais";43;15;5;9;5;24;2;8;-;-;-;-;4;-;-;-;95;70;-;-;-;-;-;-;-;-;-;-;-;-;-;3;22;1;-;-;2;-;2;5868;3843;880;18;76;19;179;11193
