"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"70 ESF - EQUIPE DE SAUDE DA FAMILIA";"71 ESB - EQUIPE DE SAUDE BUCAL";"72 ENASF-AB - EQ NUCLEO AMPLIADO SAUDE DA FAMILIA AT. PRIMARIA";"73 ECR - EQUIPE DOS CONSULTORIOS NA RUA";"74 EABP - EQUIPE DE ATENCAO PRIMARIA PRISIONAL";"75 EMAESM - EQ  MULTIPROF  ATENCAO ESPECIALIZADA SAUDE MENTAL";"76 EAP - EQUIPE DE ATENCAO PRIMARIA";"Total"
"11 Rond�nia";2;-;-;1;-;-;-;7;-;-;-;-;-;-;-;8;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;437;181;25;1;18;2;11;697
"12 Acre";2;-;-;1;-;1;-;8;-;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;256;164;16;1;5;3;23;485
"13 Amazonas";-;-;-;2;-;-;-;70;-;-;1;-;-;-;-;15;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1011;763;77;3;12;-;146;2107
"14 Roraima";-;-;-;-;-;-;-;28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;151;97;15;-;4;-;1;296
"15 Par�";2;-;-;5;-;2;-;17;-;1;-;-;-;-;-;45;45;-;-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;2052;1210;136;5;18;9;151;3711
"16 Amap�";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;198;143;24;2;2;-;11;386
"17 Tocantins";-;-;-;-;-;3;-;8;-;-;-;-;-;-;-;7;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;583;476;138;2;22;2;10;1256
"21 Maranh�o";8;1;-;1;-;2;-;12;-;-;-;-;-;-;-;19;22;-;-;-;-;-;-;-;-;-;-;-;-;-;13;1;-;-;-;-;-;2495;1746;214;3;23;43;20;4623
"22 Piau�";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;15;-;-;-;-;-;-;-;-;-;-;-;-;-;9;1;-;-;-;-;-;1377;1280;246;1;16;13;4;2969
"23 Cear�";-;-;-;3;-;13;-;22;-;-;-;-;-;-;-;63;48;1;-;-;-;-;-;-;-;1;-;-;-;-;18;-;-;-;-;-;-;2884;2219;282;3;20;6;34;5617
"24 Rio Grande do Norte";-;-;-;2;-;6;2;-;-;-;-;-;-;-;-;10;13;-;-;-;-;1;-;-;-;-;-;-;-;1;10;-;2;-;-;-;-;1139;1086;154;5;17;-;13;2461
"25 Para�ba";1;-;-;3;-;-;-;3;-;-;-;-;-;-;-;25;37;-;-;-;-;-;-;-;-;-;-;-;-;-;26;-;-;-;-;-;-;1542;1440;257;5;17;28;8;3392
"26 Pernambuco";-;-;-;34;-;4;-;20;1;-;-;-;-;-;-;37;32;-;-;-;-;-;-;-;-;-;-;-;-;1;14;-;-;-;-;-;-;2654;2076;236;7;62;3;85;5266
"27 Alagoas";3;-;-;-;-;-;-;9;-;-;-;-;-;-;-;24;39;-;-;-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;936;796;126;6;9;8;22;2001
"28 Sergipe";-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;14;18;-;-;-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;717;498;70;1;7;10;26;1372
"29 Bahia";12;12;-;49;5;5;-;16;-;-;-;-;-;-;-;63;90;-;-;-;-;-;-;-;-;-;3;-;-;-;45;-;-;-;-;-;-;4273;3352;376;13;31;70;240;8655
"31 Minas Gerais";40;11;3;9;5;21;1;8;-;-;-;4;-;-;-;104;77;-;-;-;-;-;-;-;-;-;-;-;-;1;28;2;-;-;2;-;2;6019;4123;861;23;98;49;262;11753
