"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"70 ESF - EQUIPE DE SAUDE DA FAMILIA";"71 ESB - EQUIPE DE SAUDE BUCAL";"72 ENASF-AB - EQ NUCLEO AMPLIADO SAUDE DA FAMILIA AT. PRIMARIA";"73 ECR - EQUIPE DOS CONSULTORIOS NA RUA";"74 EABP - EQUIPE DE ATENCAO PRIMARIA PRISIONAL";"75 EMAESM - EQ  MULTIPROF  ATENCAO ESPECIALIZADA SAUDE MENTAL";"76 EAP - EQUIPE DE ATENCAO PRIMARIA";"Total"
"11 Rond�nia";2;-;-;1;-;-;-;7;-;-;-;-;-;-;-;8;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;439;182;25;1;18;2;16;705
"12 Acre";2;-;-;1;-;1;-;7;-;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;258;166;15;1;6;4;23;489
"13 Amazonas";-;-;-;2;-;-;-;66;-;-;1;-;-;-;-;23;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1021;773;77;3;12;1;146;2135
"14 Roraima";-;-;-;-;-;-;-;27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;155;99;16;-;4;-;1;302
"15 Par�";1;-;-;5;-;2;-;17;-;1;-;-;-;-;-;47;49;-;-;-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;2067;1239;132;6;20;13;161;3775
"16 Amap�";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;199;147;24;2;2;-;11;392
"17 Tocantins";-;-;-;-;-;3;-;8;-;-;-;-;-;-;-;7;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;587;477;136;2;23;3;10;1261
"21 Maranh�o";8;1;-;1;-;2;-;11;-;-;-;-;-;-;-;19;26;-;-;-;-;-;-;-;-;-;-;-;-;-;17;1;-;-;-;-;-;2528;1748;208;4;22;46;22;4664
"22 Piau�";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;16;-;-;-;-;-;-;-;-;-;-;-;-;-;10;1;-;-;-;-;-;1386;1290;247;1;13;17;4;2992
"23 Cear�";-;-;-;3;-;13;-;22;-;-;-;-;-;-;-;64;52;1;-;-;-;-;-;-;-;1;-;-;-;-;22;-;-;-;-;-;-;2904;2279;276;3;20;16;36;5712
"24 Rio Grande do Norte";-;-;-;2;-;6;2;-;-;-;-;-;-;-;-;11;13;-;-;-;-;1;-;-;-;-;-;-;-;1;10;-;2;-;-;-;-;1156;1093;154;5;22;2;13;2493
"25 Para�ba";1;-;-;3;-;-;-;3;-;-;-;-;-;-;-;24;41;-;-;-;-;-;-;-;-;-;-;-;-;-;29;-;-;-;-;-;-;1546;1447;249;5;18;26;15;3407
"26 Pernambuco";-;-;-;34;-;4;-;20;1;-;-;-;-;-;-;39;36;-;-;-;-;-;-;-;-;-;-;-;-;1;16;-;-;-;-;-;-;2667;2108;234;9;63;4;89;5325
"27 Alagoas";3;-;-;-;-;-;-;9;-;-;-;-;-;-;-;24;41;-;-;-;-;-;-;-;-;-;-;-;-;-;26;-;-;-;-;-;-;938;807;128;6;10;8;24;2024
"28 Sergipe";-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;15;19;-;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;726;507;68;1;7;11;26;1392
"29 Bahia";12;12;-;48;5;5;-;16;-;-;-;-;-;-;-;65;92;-;-;-;-;-;-;-;-;-;3;-;-;-;45;-;-;-;-;-;-;4324;3434;366;13;32;80;251;8803
"31 Minas Gerais";39;11;3;9;5;21;1;10;-;-;-;4;-;-;-;107;83;-;-;-;-;-;-;-;-;-;-;-;-;1;30;3;-;-;2;-;2;6073;4219;837;25;122;56;274;11937
