"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"70 ESF - EQUIPE DE SAUDE DA FAMILIA";"71 ESB - EQUIPE DE SAUDE BUCAL";"72 ENASF-AB - EQ NUCLEO AMPLIADO SAUDE DA FAMILIA AT. PRIMARIA";"73 ECR - EQUIPE DOS CONSULTORIOS NA RUA";"74 EABP - EQUIPE DE ATENCAO PRIMARIA PRISIONAL";"75 EMAESM - EQ  MULTIPROF  ATENCAO ESPECIALIZADA SAUDE MENTAL";"76 EAP - EQUIPE DE ATENCAO PRIMARIA";"Total"
"11 Rond�nia";2;-;-;1;-;-;-;7;-;-;-;-;-;-;-;8;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;436;180;25;1;18;2;11;695
"12 Acre";2;-;-;1;-;1;-;8;-;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;254;162;16;1;5;3;21;479
"13 Amazonas";-;-;-;2;-;-;-;71;-;-;1;-;-;-;-;15;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1013;764;77;3;12;-;146;2111
"14 Roraima";-;-;-;-;-;-;-;29;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;154;98;16;-;4;-;1;302
"15 Par�";2;-;-;5;-;2;-;16;-;1;-;-;-;-;-;45;45;-;-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;2053;1204;134;5;17;9;151;3702
"16 Amap�";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;198;144;24;2;2;-;11;387
"17 Tocantins";-;-;-;-;-;3;-;8;-;-;-;-;-;-;-;6;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;583;476;138;2;23;2;10;1256
"21 Maranh�o";8;1;-;1;-;2;-;12;-;-;-;-;-;-;-;19;22;-;-;-;-;-;-;-;-;-;-;-;-;-;13;1;-;-;-;-;-;2492;1745;213;3;23;40;20;4615
"22 Piau�";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;15;-;-;-;-;-;-;-;-;-;-;-;-;-;9;1;-;-;-;-;-;1378;1275;247;1;15;12;4;2964
"23 Cear�";-;-;-;3;-;13;-;22;-;-;-;-;-;-;-;63;47;1;-;-;-;-;-;-;-;1;-;-;-;-;17;-;-;-;-;-;-;2883;2206;282;3;20;8;32;5601
"24 Rio Grande do Norte";-;-;-;2;-;6;2;-;-;-;-;-;-;-;-;10;13;-;-;-;-;1;-;-;-;-;-;-;-;1;10;-;2;-;-;-;-;1139;1086;156;5;17;-;12;2462
"25 Para�ba";1;-;-;3;-;-;-;3;-;-;-;-;-;-;-;24;36;-;-;-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;-;-;-;1542;1441;259;5;17;28;7;3391
"26 Pernambuco";-;-;-;34;-;4;-;19;1;-;-;-;-;-;-;37;32;-;-;-;-;-;-;-;-;-;-;-;-;1;14;-;-;-;-;-;-;2652;2068;236;7;62;3;82;5252
"27 Alagoas";3;-;-;-;-;-;-;9;-;-;-;-;-;-;-;24;39;-;-;-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;934;793;126;6;9;7;21;1994
"28 Sergipe";-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;15;18;-;-;-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;716;498;69;1;6;10;21;1365
"29 Bahia";12;12;-;50;5;5;-;16;-;-;-;-;-;-;-;63;89;-;-;-;-;-;-;-;-;-;3;-;-;-;45;-;-;-;-;-;-;4280;3338;376;13;30;68;238;8643
"31 Minas Gerais";40;11;3;9;5;21;1;8;-;-;-;4;-;-;-;103;76;-;-;-;-;-;-;-;-;-;-;-;-;1;27;2;-;-;2;-;2;6013;4112;863;23;99;49;262;11736
