"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"70 ESF - EQUIPE DE SAUDE DA FAMILIA";"71 ESB - EQUIPE DE SAUDE BUCAL";"72 ENASF-AB - EQ NUCLEO AMPLIADO SAUDE DA FAMILIA AT. PRIMARIA";"73 ECR - EQUIPE DOS CONSULTORIOS NA RUA";"74 EABP - EQUIPE DE ATENCAO PRIMARIA PRISIONAL";"75 EMAESM - EQ  MULTIPROF  ATENCAO ESPECIALIZADA SAUDE MENTAL";"76 EAP - EQUIPE DE ATENCAO PRIMARIA";"Total"
"11 Rond�nia";2;-;-;1;-;-;-;7;-;-;-;-;-;-;-;8;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;438;182;25;1;18;2;12;700
"12 Acre";2;-;-;1;-;1;-;8;-;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;256;165;16;1;6;4;23;488
"13 Amazonas";-;-;-;2;-;-;-;66;-;-;1;-;-;-;-;21;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1013;764;77;3;12;-;146;2113
"14 Roraima";-;-;-;-;-;-;-;28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;154;99;16;-;4;-;1;302
"15 Par�";2;-;-;5;-;2;-;17;-;1;-;-;-;-;-;45;47;-;-;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;2050;1220;135;5;18;12;153;3726
"16 Amap�";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;198;146;24;2;2;-;11;389
"17 Tocantins";-;-;-;-;-;3;-;8;-;-;-;-;-;-;-;7;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;585;475;136;2;23;2;10;1256
"21 Maranh�o";8;1;-;1;-;2;-;12;-;-;-;-;-;-;-;19;23;-;-;-;-;-;-;-;-;-;-;-;-;-;14;1;-;-;-;-;-;2499;1743;210;3;23;44;21;4624
"22 Piau�";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;16;-;-;-;-;-;-;-;-;-;-;-;-;-;10;1;-;-;-;-;-;1381;1287;247;1;14;15;4;2983
"23 Cear�";-;-;-;3;-;13;-;22;-;-;-;-;-;-;-;64;48;1;-;-;-;-;-;-;-;1;-;-;-;-;18;-;-;-;-;-;-;2885;2245;279;3;20;8;34;5644
"24 Rio Grande do Norte";-;-;-;2;-;6;2;-;-;-;-;-;-;-;-;11;13;-;-;-;-;1;-;-;-;-;-;-;-;1;10;-;2;-;-;-;-;1141;1087;154;5;18;1;13;2467
"25 Para�ba";1;-;-;3;-;-;-;3;-;-;-;-;-;-;-;25;39;-;-;-;-;-;-;-;-;-;-;-;-;-;26;-;-;-;-;-;-;1543;1445;256;5;17;27;16;3406
"26 Pernambuco";-;-;-;34;-;4;-;20;1;-;-;-;-;-;-;37;32;-;-;-;-;-;-;-;-;-;-;-;-;1;15;-;-;-;-;-;-;2659;2079;236;9;63;4;83;5277
"27 Alagoas";3;-;-;-;-;-;-;9;-;-;-;-;-;-;-;24;39;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;-;934;802;127;6;10;8;24;2008
"28 Sergipe";-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;15;18;-;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;720;499;68;1;7;11;26;1377
"29 Bahia";12;12;-;49;5;5;-;16;-;-;-;-;-;-;-;64;92;-;-;-;-;-;-;-;-;-;3;-;-;-;45;-;-;-;-;-;-;4284;3370;371;13;31;76;247;8695
"31 Minas Gerais";40;11;3;9;5;21;1;9;-;-;-;4;-;-;-;106;80;-;-;-;-;-;-;-;-;-;-;-;-;1;29;3;-;-;2;-;2;6030;4164;855;23;107;52;265;11822
