"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"70 ESF - EQUIPE DE SAUDE DA FAMILIA";"71 ESB - EQUIPE DE SAUDE BUCAL";"72 ENASF-AB - EQ NUCLEO AMPLIADO SAUDE DA FAMILIA AT. PRIMARIA";"73 ECR - EQUIPE DOS CONSULTORIOS NA RUA";"74 EABP - EQUIPE DE ATENCAO PRIMARIA PRISIONAL";"75 EMAESM - EQ  MULTIPROF  ATENCAO ESPECIALIZADA SAUDE MENTAL";"76 EAP - EQUIPE DE ATENCAO PRIMARIA";"Total"
"11 Rond�nia";2;-;-;1;-;-;-;7;-;-;-;-;-;-;-;8;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;437;179;25;1;18;2;12;696
"12 Acre";2;-;-;1;-;1;-;8;-;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;257;165;16;1;6;4;23;489
"13 Amazonas";-;-;-;2;-;-;-;65;-;-;1;-;-;-;-;22;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1015;766;77;3;12;-;145;2116
"14 Roraima";-;-;-;-;-;-;-;28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;154;99;16;-;4;-;1;302
"15 Par�";2;-;-;5;-;2;-;17;-;1;-;-;-;-;-;47;48;-;-;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;2050;1223;135;5;20;12;157;3738
"16 Amap�";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;198;146;24;2;2;-;11;389
"17 Tocantins";-;-;-;-;-;3;-;8;-;-;-;-;-;-;-;7;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;585;477;136;2;23;2;10;1258
"21 Maranh�o";8;1;-;1;-;2;-;12;-;-;-;-;-;-;-;19;23;-;-;-;-;-;-;-;-;-;-;-;-;-;14;1;-;-;-;-;-;2500;1742;209;3;23;46;21;4625
"22 Piau�";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;16;-;-;-;-;-;-;-;-;-;-;-;-;-;10;1;-;-;-;-;-;1381;1287;247;1;13;16;4;2983
"23 Cear�";-;-;-;3;-;13;-;22;-;-;-;-;-;-;-;63;48;1;-;-;-;-;-;-;-;1;-;-;-;-;18;-;-;-;-;-;-;2885;2253;279;3;20;13;33;5655
"24 Rio Grande do Norte";-;-;-;2;-;6;2;-;-;-;-;-;-;-;-;11;13;-;-;-;-;1;-;-;-;-;-;-;-;1;10;-;2;-;-;-;-;1141;1086;154;5;20;1;13;2468
"25 Para�ba";1;-;-;3;-;-;-;3;-;-;-;-;-;-;-;25;39;-;-;-;-;-;-;-;-;-;-;-;-;-;26;-;-;-;-;-;-;1543;1445;256;5;18;27;16;3407
"26 Pernambuco";-;-;-;34;-;4;-;20;1;-;-;-;-;-;-;40;33;-;-;-;-;-;-;-;-;-;-;-;-;1;14;-;-;-;-;-;-;2655;2085;234;9;63;4;82;5279
"27 Alagoas";3;-;-;-;-;-;-;9;-;-;-;-;-;-;-;24;39;-;-;-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;934;803;127;6;10;8;24;2010
"28 Sergipe";-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;15;18;-;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;719;500;68;1;7;11;27;1378
"29 Bahia";12;12;-;48;5;5;-;16;-;-;-;-;-;-;-;65;92;-;-;-;-;-;-;-;-;-;3;-;-;-;45;-;-;-;-;-;-;4293;3385;372;13;31;75;240;8712
"31 Minas Gerais";39;11;3;9;5;21;1;9;-;-;-;4;-;-;-;106;80;-;-;-;-;-;-;-;-;-;-;-;-;1;29;3;-;-;2;-;2;6031;4173;843;23;116;53;265;11829
"32 Esp�rito Santo";10;9;-;10;-;2;2;5;-;-;-;-;-;-;-;5;5;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;964;688;39;7;28;18;200;1994
"33 Rio de Janeiro";56;10;6;36;1;2;1;2;-;-;-;7;-;-;3;80;49;-;-;10;1;10;1;1;1;-;-;-;-;-;6;-;-;-;-;-;-;3322;1589;246;32;30;28;248;5778
"35 S�o Paulo";59;14;1;93;13;15;8;5;3;-;-;41;7;2;13;239;112;-;-;2;-;2;-;-;2;1;3;5;6;5;16;1;-;-;2;1;-;6635;4268;595;64;118;43;2333;14727
"41 Paran�";24;4;1;13;1;7;3;3;-;-;-;-;-;-;-;37;21;-;-;-;-;-;-;-;1;1;-;2;-;3;9;-;-;-;-;-;-;2670;1894;278;10;20;91;432;5525
"42 Santa Catarina";5;2;1;7;-;1;1;4;-;-;-;1;-;-;-;23;11;-;-;-;-;-;-;-;-;-;-;-;-;1;7;1;-;-;-;1;-;2171;1393;478;5;35;29;186;4363
"43 Rio Grande do Sul";1;1;-;25;-;4;2;10;1;-;-;-;1;-;-;42;13;-;-;-;-;1;-;-;-;-;-;2;-;-;13;-;-;1;-;-;-;2452;1542;161;11;62;90;641;5076
"50 Mato Grosso do Sul";1;-;-;8;-;1;-;25;-;-;-;-;-;-;-;11;11;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;-;-;-;-;-;748;646;98;4;69;9;16;1651
"51 Mato Grosso";-;-;-;4;-;-;-;19;-;-;-;-;-;-;-;9;5;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;887;659;80;3;13;2;43;1727
"52 Goi�s";1;-;-;4;-;10;-;2;-;-;-;1;-;-;-;40;53;-;-;-;-;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;1677;1318;165;11;72;56;133;3574
"53 Distrito Federal";2;-;-;-;-;4;-;-;-;-;-;-;-;-;-;17;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;617;287;40;5;16;8;-;1005
"Total";228;64;12;309;25;104;20;300;5;1;1;54;8;2;16;969;757;1;1;12;1;14;1;1;4;3;6;9;6;13;301;9;3;1;4;2;2;50921;36098;5398;235;869;648;5316;102754
