"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"11 Rond�nia";198;164;6;42;5;9;3;-;6;2;-;-;-;-;-;-;-;-;-;-;6;2;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;8;-;4;-;-;458
"12 Acre";80;126;1;18;-;17;4;-;8;-;-;5;6;1;-;-;4;-;1;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;3;-;1;280
"13 Amazonas";256;353;44;78;-;49;6;-;25;2;2;15;27;-;5;4;3;24;4;-;9;5;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;2;-;-;1;5;3;3;-;-;928
"14 Roraima";62;42;9;1;1;5;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;126
"15 Par�";538;681;23;393;1;84;10;-;2;-;-;21;16;2;2;-;-;1;-;-;11;15;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;4;-;-;-;-;5;1;1;1815
"16 Amap�";84;79;2;-;2;16;2;-;-;-;-;1;-;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;194
"17 Tocantins";110;344;17;15;-;15;21;-;2;5;-;-;-;-;-;-;-;-;-;-;2;2;2;4;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;73;-;-;-;9;1;2;-;-;626
"21 Maranh�o";731;1281;23;84;-;139;24;-;1;15;-;-;-;-;-;-;-;-;-;-;10;10;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;2;-;-;7;3;1;3;4;2;2;2;-;2347
"22 Piau�";116;1117;49;10;-;85;57;-;-;13;-;-;-;-;-;-;-;-;-;-;3;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;98;7;1;2;-;-;-;1;-;1569
"23 Cear�";764;1436;135;113;4;214;36;17;-;81;3;-;-;-;-;-;-;-;-;-;19;16;-;2;-;-;-;-;-;1;-;-;3;-;-;-;1;1;-;-;1;6;-;-;3;-;6;1;2;2865
"24 Rio Grande do Norte";76;944;8;9;-;74;35;-;-;3;-;-;-;-;-;-;-;-;-;-;9;7;-;-;-;-;-;-;-;2;-;1;13;-;-;-;3;-;-;-;56;1;-;-;-;-;1;2;1;1245
"25 Para�ba";101;1247;20;21;5;143;53;-;-;12;-;-;-;-;-;-;-;-;-;-;9;10;-;1;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;74;5;-;-;-;-;-;-;-;1706
"26 Pernambuco";560;1546;57;211;-;201;33;15;-;33;1;-;-;-;-;-;-;-;-;-;24;15;-;-;-;-;-;-;-;-;-;1;5;-;-;3;2;-;-;-;-;3;-;-;-;-;2;-;12;2724
"27 Alagoas";146;654;29;28;-;88;27;11;-;6;-;-;-;-;-;1;-;-;-;-;17;13;-;-;-;-;-;-;-;2;-;-;1;-;-;-;6;-;-;-;11;3;-;-;1;-;4;2;-;1050
"28 Sergipe";167;456;2;16;2;25;8;-;-;9;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;3;1;-;-;-;-;-;-;-;695
"29 Bahia";958;2365;14;395;18;252;92;11;-;20;-;-;-;-;-;1;-;6;-;-;36;39;1;-;-;-;-;-;-;-;-;3;-;-;-;3;2;4;-;-;8;14;-;-;-;-;1;-;-;4243
"31 Minas Gerais";2214;2211;735;71;30;370;177;3;-;4;1;-;-;-;-;10;-;-;-;-;48;26;-;7;-;-;-;-;6;3;-;9;2;-;-;4;10;1;-;-;199;4;-;-;2;1;2;1;-;6151
"32 Esp�rito Santo";270;466;-;80;13;15;12;4;-;8;-;-;-;-;-;-;-;4;-;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;1;-;-;-;-;-;-;-;-;879
"33 Rio de Janeiro";1115;934;211;128;31;144;6;1;-;3;4;-;-;-;-;36;3;7;-;4;53;32;-;5;-;-;-;-;84;21;14;29;2;4;-;1;6;8;-;-;-;4;-;-;-;-;-;-;-;2890
"35 S�o Paulo";2641;1869;237;443;59;235;34;3;-;23;14;-;-;-;-;70;17;90;5;-;146;65;8;13;-;5;2;-;56;18;8;103;22;10;-;7;8;23;4;-;66;5;-;-;3;-;12;1;3;6328
"41 Paran�";915;959;386;173;3;122;58;-;-;3;-;-;-;-;-;5;2;37;7;-;21;10;3;3;3;-;-;-;13;3;3;13;5;2;-;-;7;1;1;-;64;-;-;-;3;1;-;-;1;2827
"42 Santa Catarina";654;962;61;66;1;96;50;-;-;1;-;-;-;-;-;-;-;3;1;-;9;4;1;-;-;-;-;-;1;-;-;4;3;-;-;2;1;-;1;-;104;3;-;-;5;1;1;2;5;2042
"43 Rio Grande do Sul";896;887;51;160;2;42;21;5;-;3;4;-;-;-;-;6;2;7;1;-;26;8;3;4;-;-;-;-;7;12;-;13;7;-;-;1;4;1;25;5;63;2;-;-;6;2;16;1;3;2296
"50 Mato Grosso do Sul";24;503;20;90;6;33;19;17;-;2;-;-;-;-;-;-;-;1;-;-;4;4;-;-;-;-;-;-;-;3;-;-;3;-;-;-;2;1;-;-;12;2;-;-;21;5;6;4;-;782
"51 Mato Grosso";181;404;61;74;7;15;20;-;5;1;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;22;1;-;-;-;-;-;-;-;796
"52 Goi�s";333;897;102;24;7;70;36;1;-;-;-;-;-;-;-;-;-;-;-;-;23;23;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;3;-;-;83;6;-;-;4;-;-;-;-;1614
"53 Distrito Federal";176;84;-;16;4;11;-;-;-;6;-;-;-;-;-;4;3;1;-;-;13;8;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;4;-;5;338
"Total";14366;23011;2303;2759;201;2569;848;88;49;255;29;42;49;3;7;137;34;181;19;5;504;328;21;40;4;5;2;1;171;70;25;178;68;16;1;27;63;49;31;5;952;74;2;6;74;16;74;18;34;49814
