"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"11 Rond�nia";206;162;6;41;5;9;3;-;6;2;-;-;-;-;-;-;-;-;-;-;6;2;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;-;8;-;4;-;-;464
"12 Acre";73;128;1;18;-;18;3;-;9;-;-;5;6;1;-;-;4;-;1;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;1;-;1;274
"13 Amazonas";252;364;44;79;-;50;5;-;28;1;-;16;28;-;5;5;2;26;2;-;11;5;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;2;-;-;1;5;2;3;-;1;940
"14 Roraima";61;45;11;1;1;5;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;130
"15 Par�";545;689;24;389;1;86;10;-;4;1;-;22;15;2;2;-;-;1;-;-;12;15;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;4;-;-;-;-;3;1;1;1831
"16 Amap�";84;83;2;-;2;17;2;-;-;-;-;1;-;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;199
"17 Tocantins";113;339;17;15;-;15;21;-;4;5;-;-;-;-;-;-;-;-;-;-;2;2;1;4;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;73;-;-;-;10;1;2;-;-;626
"21 Maranh�o";735;1271;23;89;-;140;25;-;1;16;-;2;-;-;-;-;-;-;-;-;10;11;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;3;-;-;7;3;1;3;6;3;2;4;-;2357
"22 Piau�";119;1123;48;11;-;85;58;-;-;14;-;-;-;-;-;-;-;-;-;-;3;10;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;99;8;1;2;-;-;-;1;-;1585
"23 Cear�";766;1440;140;111;4;219;36;17;-;72;3;-;-;-;-;-;-;-;-;-;18;16;-;2;-;-;-;-;-;1;-;-;2;-;-;-;1;1;-;-;2;6;-;-;3;-;6;1;2;2869
"24 Rio Grande do Norte";75;955;7;8;-;75;33;-;-;3;-;-;-;-;-;-;-;-;-;-;9;7;-;-;-;-;-;-;-;2;-;1;14;-;-;-;3;-;-;-;57;1;-;-;-;-;1;2;1;1254
"25 Para�ba";101;1241;20;20;7;143;51;-;-;21;-;-;-;-;-;-;-;-;-;-;9;11;-;1;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;74;6;-;-;2;-;-;-;-;1712
"26 Pernambuco";570;1532;58;216;-;201;33;12;-;36;1;-;-;-;-;-;-;-;-;-;25;15;-;-;-;-;-;-;-;-;-;2;6;-;-;3;2;-;-;-;-;3;-;-;-;-;2;-;17;2734
"27 Alagoas";148;644;29;28;-;87;27;11;-;9;-;-;-;-;-;1;-;-;-;-;17;13;-;-;-;-;-;-;-;4;-;-;1;-;-;-;6;-;-;-;12;3;-;-;1;-;4;2;-;1047
"28 Sergipe";166;455;2;17;2;26;10;-;-;11;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3;1;-;-;-;-;-;-;-;1;-;-;4;1;-;-;-;-;-;-;-;700
"29 Bahia";957;2358;12;396;18;257;90;12;-;26;-;-;-;-;-;4;-;6;-;-;38;41;-;-;-;-;-;-;-;-;-;4;1;-;-;3;2;4;-;-;9;14;-;-;-;1;1;-;-;4254
"31 Minas Gerais";2213;2216;735;75;30;375;177;3;-;6;2;-;-;-;-;10;-;-;-;-;49;27;-;7;-;-;-;-;5;4;1;11;5;1;-;4;10;1;-;-;198;5;-;-;2;1;2;1;-;6176
