"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"11 Rond�nia";211;158;4;38;5;10;3;-;6;1;-;-;-;-;-;-;-;-;-;-;-;6;2;-;-;-;-;-;1;-;-;-;2;-;-;-;-;1;-;-;1;-;-;-;6;-;2;1;-;458
"12 Acre";77;131;1;18;-;17;4;-;7;-;-;5;6;1;-;-;4;-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;3;-;1;281
"13 Amazonas";263;358;51;81;-;50;5;-;32;2;-;15;31;3;2;7;1;-;26;2;-;11;5;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;2;-;-;1;3;2;3;1;1;960
"14 Roraima";67;43;12;1;1;5;5;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;138
"15 Par�";568;699;27;380;1;95;11;-;8;3;-;26;17;2;2;-;-;-;1;-;-;15;17;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;4;-;1;-;-;5;1;-;1886
"16 Amap�";84;87;2;1;2;18;2;-;-;1;-;1;-;-;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;206
"17 Tocantins";114;351;14;11;-;16;20;-;4;3;1;-;-;-;-;-;-;-;-;-;-;2;2;1;5;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;74;-;-;-;18;-;2;-;-;639
"21 Maranh�o";748;1290;23;88;-;143;27;-;1;12;-;-;-;-;-;-;-;-;-;-;-;11;11;-;-;-;-;-;-;-;-;-;1;1;-;-;-;3;-;-;8;3;1;4;8;3;2;5;-;2393
"22 Piau�";122;1145;48;8;-;85;58;-;-;3;-;-;-;-;-;-;-;-;-;-;-;4;11;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;99;8;1;2;-;-;-;1;-;1598
"23 Cear�";762;1541;153;75;2;224;37;17;-;47;-;-;-;-;-;-;-;-;-;-;-;19;17;-;3;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;2;6;-;-;3;-;5;1;2;2919
"24 Rio Grande do Norte";76;967;7;6;-;77;36;-;-;2;-;-;-;-;-;-;-;-;-;-;-;9;7;-;-;-;-;-;-;-;2;-;1;9;-;-;4;-;-;-;55;1;-;-;-;2;2;2;1;1266
"25 Para�ba";108;1262;20;12;7;141;56;-;-;11;-;-;-;-;-;-;-;-;-;-;-;9;11;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;75;5;-;-;3;-;-;-;-;1725
"26 Pernambuco";586;1573;55;200;-;203;31;18;-;22;1;-;-;-;-;-;-;-;-;-;-;28;17;-;-;-;-;-;-;-;-;-;-;5;-;3;2;-;-;-;-;4;-;-;-;2;1;-;16;2767
"27 Alagoas";157;653;27;28;-;90;28;11;-;3;-;-;-;-;-;-;-;-;-;-;-;17;14;-;1;-;-;-;-;-;3;-;-;-;-;-;6;-;-;-;13;3;-;-;1;-;4;2;-;1061
"28 Sergipe";169;463;2;16;2;26;10;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3;1;-;-;-;-;-;-;1;-;-;5;1;-;-;-;-;-;-;-;707
"29 Bahia";993;2410;12;387;19;263;98;15;-;15;-;-;-;-;-;4;-;-;7;-;-;38;41;-;-;-;-;-;-;-;1;-;3;1;-;2;2;4;-;-;9;15;-;-;-;1;1;-;-;4341
"31 Minas Gerais";2255;2257;732;65;30;379;174;3;-;8;1;-;-;-;-;4;-;-;11;-;-;50;26;-;8;2;-;-;-;3;5;1;11;5;2;4;10;1;-;-;210;5;-;-;7;3;4;4;1;6281
