"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"11 Rond�nia";216;157;4;33;5;10;3;-;6;1;-;-;-;-;-;-;-;-;-;-;-;6;3;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;6;-;2;1;-;457
"12 Acre";80;128;1;18;-;17;4;-;7;-;-;5;6;1;-;-;3;-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;3;-;1;280
"13 Amazonas";269;361;51;80;-;50;6;-;32;3;-;16;31;3;2;7;1;-;26;2;-;11;5;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;2;-;-;1;4;2;3;1;1;972
"14 Roraima";67;43;12;1;1;5;5;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;138
"15 Par�";576;701;27;380;1;95;11;-;8;3;-;24;17;2;2;-;-;-;1;-;-;15;17;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;4;-;1;-;-;5;1;2;1896
"16 Amap�";84;87;2;1;2;18;2;-;-;1;-;1;-;-;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;206
"17 Tocantins";113;353;15;10;-;16;20;-;4;3;1;-;-;-;-;-;-;-;-;-;-;2;2;1;5;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;74;-;-;-;18;-;2;-;-;640
"21 Maranh�o";750;1285;23;90;-;140;28;-;1;15;-;-;-;-;-;-;-;-;-;-;-;11;11;-;-;-;-;-;-;-;-;-;1;1;-;-;-;3;-;-;8;3;1;4;8;3;2;5;-;2393
"22 Piau�";120;1136;48;8;-;84;58;-;-;5;-;-;-;-;-;-;-;-;-;-;-;4;11;-;-;-;-;-;-;-;-;-;-;2;1;-;1;-;-;-;98;8;1;2;-;-;-;1;-;1588
"23 Cear�";758;1539;149;83;2;223;37;18;-;52;-;-;-;-;-;-;-;-;-;-;-;20;18;-;3;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;2;7;-;-;3;-;5;1;2;2925
"24 Rio Grande do Norte";78;973;7;6;-;78;36;-;-;2;-;-;-;-;-;-;-;-;-;-;-;9;7;-;-;-;-;-;-;-;2;-;1;9;-;-;4;-;-;-;55;1;-;-;-;2;2;2;1;1275
"25 Para�ba";109;1268;20;12;7;143;56;-;-;5;-;-;-;-;-;-;-;-;-;-;-;9;11;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;74;5;-;-;3;-;-;-;-;1727
"26 Pernambuco";583;1581;54;204;-;204;31;18;-;21;1;-;-;-;-;-;-;-;-;-;-;28;17;-;-;-;-;-;-;-;-;-;-;5;-;3;2;-;-;-;-;4;-;-;-;2;1;-;16;2775
"27 Alagoas";157;656;27;28;-;90;28;11;-;3;-;-;-;-;-;-;-;-;-;-;-;17;14;-;1;-;-;-;-;-;2;-;-;-;-;-;6;-;-;-;13;3;-;-;1;-;4;2;-;1063
"28 Sergipe";169;465;2;15;2;26;10;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3;1;-;-;-;-;-;-;1;-;-;5;1;-;-;-;-;-;-;-;705
"29 Bahia";1005;2392;12;381;17;261;100;15;-;14;-;-;-;-;-;4;-;-;7;-;-;38;40;-;-;-;-;-;-;-;1;-;3;1;-;2;2;4;-;-;9;14;-;-;-;1;1;-;1;4325
"31 Minas Gerais";2263;2265;724;68;30;377;176;4;-;9;1;-;-;-;-;4;-;-;11;-;-;51;28;-;8;2;-;-;-;3;5;1;11;6;2;4;10;1;-;-;210;5;-;-;8;3;4;4;1;6299
