"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"11 Rond�nia";213;160;6;35;5;11;3;-;6;1;-;-;-;-;-;-;-;-;-;-;6;3;-;-;-;-;-;1;-;-;-;2;-;-;-;-;1;-;-;1;-;-;-;8;-;3;1;-;466
"12 Acre";75;127;1;19;-;17;4;-;9;-;-;5;6;1;-;-;4;-;1;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;2;-;1;277
"13 Amazonas";253;363;45;76;-;50;5;-;29;-;-;17;29;-;5;6;1;26;2;-;11;5;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;2;-;-;1;5;2;3;-;1;939
"14 Roraima";63;43;11;1;1;5;4;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;132
"15 Par�";561;704;21;379;1;90;10;-;7;1;-;26;16;2;2;-;-;1;-;-;13;15;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;4;-;1;-;-;3;1;-;1861
"16 Amap�";85;85;2;1;2;18;2;-;-;1;-;1;-;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;205
"17 Tocantins";115;351;16;11;-;15;21;-;4;1;-;-;-;-;-;-;-;-;-;-;2;2;1;5;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;73;-;-;-;15;1;2;-;-;636
"21 Maranh�o";744;1283;23;88;-;142;26;-;1;13;-;2;-;-;-;-;-;-;-;-;11;11;-;-;-;-;-;-;-;-;-;1;1;-;-;-;3;-;-;7;3;1;4;7;3;2;4;-;2380
"22 Piau�";120;1123;49;9;-;83;58;-;-;5;-;-;-;-;-;-;-;-;-;-;3;10;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;99;7;1;2;-;-;-;1;-;1571
"23 Cear�";767;1502;149;91;3;220;36;17;-;48;1;-;-;-;-;-;-;-;-;-;20;17;-;3;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;2;5;-;-;3;-;6;1;2;2896
"24 Rio Grande do Norte";79;955;9;8;-;78;35;-;-;3;-;-;-;-;-;-;-;-;-;-;9;7;-;-;-;-;-;-;-;2;-;1;14;-;-;4;-;-;-;56;1;-;-;-;-;2;2;1;1266
"25 Para�ba";101;1260;20;12;7;145;54;-;-;12;-;-;-;-;-;-;-;-;-;-;9;11;-;1;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;75;6;-;-;2;-;-;-;-;1720
"26 Pernambuco";586;1531;57;213;-;201;32;17;-;31;1;-;-;-;-;-;-;-;-;-;27;16;-;-;-;-;-;-;-;-;-;1;8;-;3;2;-;-;-;-;4;-;-;-;2;2;-;16;2750
"27 Alagoas";150;646;28;31;-;89;27;11;-;8;-;-;-;-;-;-;-;-;-;-;17;14;-;-;-;-;-;-;1;3;-;-;-;-;-;6;-;-;-;13;3;-;-;1;-;4;2;-;1054
"28 Sergipe";168;453;2;18;2;26;10;-;-;10;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3;1;-;-;-;-;-;-;1;-;-;5;1;-;-;-;-;-;-;-;701
"29 Bahia";970;2386;12;378;18;256;94;12;-;21;-;-;-;-;-;4;-;6;-;-;37;40;-;-;-;-;-;-;-;-;-;4;2;-;3;2;4;-;-;9;14;-;-;-;1;1;-;-;4274
"31 Minas Gerais";2239;2235;737;67;30;373;179;3;-;9;-;-;-;-;-;10;-;-;-;-;50;27;-;6;1;-;-;-;3;6;1;12;7;3;4;10;1;-;-;204;5;-;-;4;1;4;2;-;6233
"32 Esp�rito Santo";273;459;1;80;13;16;10;4;-;11;-;-;-;-;-;-;-;4;-;1;-;-;1;1;-;-;-;-;1;-;-;-;3;-;1;2;-;-;-;1;-;-;-;-;-;-;-;-;882
"33 Rio de Janeiro";1130;918;220;109;30;155;8;1;-;3;2;-;-;-;-;34;3;6;-;4;55;32;-;4;-;-;-;-;120;27;18;21;-;3;2;5;10;-;-;-;4;-;-;1;-;-;-;-;2925
"35 S�o Paulo";2707;1870;220;481;53;249;37;3;-;26;13;-;-;-;-;70;18;84;4;-;149;68;9;14;1;5;2;-;70;27;6;101;25;14;6;9;25;4;-;76;8;-;-;3;-;13;2;3;6475
"41 Paran�";929;964;376;171;3;122;59;-;-;5;1;-;-;-;-;4;2;40;9;-;21;10;2;3;3;-;-;-;14;5;2;12;6;3;1;7;1;2;-;71;-;-;-;3;1;-;-;1;2853
"42 Santa Catarina";664;966;57;63;1;97;56;-;-;2;-;-;-;-;-;1;-;3;1;-;11;6;2;-;-;-;-;-;1;-;-;11;4;-;2;1;-;-;-;114;3;-;-;6;1;2;3;5;2083
"43 Rio Grande do Sul";930;911;52;150;1;43;23;5;-;2;4;-;-;-;-;4;2;6;1;-;26;8;2;6;-;-;-;-;8;9;-;13;5;-;1;4;1;38;6;66;3;-;-;6;2;21;3;3;2365
"50 Mato Grosso do Sul";26;500;18;90;5;32;19;18;-;6;-;-;-;-;-;-;-;1;-;-;4;5;-;-;-;-;-;-;-;2;-;-;8;-;-;2;1;-;-;12;2;-;-;21;5;8;4;-;789
"51 Mato Grosso";178;405;61;72;7;15;22;-;6;2;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;1;-;-;-;-;-;-;1;1;-;-;23;1;-;-;-;-;-;-;-;798
"52 Goi�s";353;892;101;24;7;74;36;1;-;-;-;-;-;-;-;1;-;-;-;-;24;24;-;1;1;-;-;-;-;-;-;-;1;-;-;-;3;-;-;88;6;-;-;12;3;-;-;-;1652
"53 Distrito Federal";185;82;-;16;1;10;-;-;-;5;-;-;-;-;-;3;3;1;-;-;14;8;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;4;-;5;340
"Total";14664;23174;2294;2693;190;2632;870;92;62;226;22;51;53;3;7;137;33;179;18;5;525;344;19;44;6;5;2;1;222;83;27;180;85;23;28;63;55;44;6;1001;80;2;8;97;22;82;26;38;50523
