"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"Total"
"11 Rond�nia";119;147;8;54;11;5;-;-;-;1;-;345
"12 Acre";41;95;3;48;1;6;1;-;6;4;-;205
"13 Amazonas";222;302;38;104;1;23;-;-;1;3;-;694
"14 Roraima";47;59;2;2;-;4;2;-;4;-;-;120
"15 Par�";416;537;17;342;1;31;4;-;-;1;-;1349
"16 Amap�";38;104;9;15;-;14;2;-;-;-;-;182
"17 Tocantins";83;317;12;28;1;10;3;-;-;-;-;454
"21 Maranh�o";579;1255;21;96;-;69;7;-;-;21;-;2048
"22 Piau�";161;935;24;13;-;42;20;-;-;5;-;1200
"23 Cear�";447;1336;134;184;12;135;2;1;-;51;-;2302
"24 Rio Grande do Norte";46;827;8;26;-;40;3;-;-;34;-;984
"25 Para�ba";74;1194;14;28;7;88;-;-;-;5;-;1410
"26 Pernambuco";414;1413;94;197;20;100;2;4;-;12;-;2256
"27 Alagoas";143;597;30;22;1;33;1;11;-;10;-;848
"28 Sergipe";143;426;2;26;2;7;-;-;-;4;-;610
"29 Bahia";682;2081;16;525;19;86;26;3;-;13;-;3451
"31 Minas Gerais";1906;1854;538;163;29;211;23;-;-;11;1;4736
"32 Esp�rito Santo";182;397;15;135;6;2;-;-;-;5;-;742
"33 Rio de Janeiro";848;726;141;262;35;58;-;1;-;26;1;2098
"35 S�o Paulo";1890;1539;160;665;81;124;-;-;-;32;9;4500
"41 Paran�";595;841;398;238;4;65;6;1;-;6;3;2157
"42 Santa Catarina";555;809;37;91;2;36;3;-;-;5;-;1538
"43 Rio Grande do Sul";533;695;21;171;8;13;5;5;-;4;-;1455
"50 Mato Grosso do Sul";10;412;31;99;17;14;18;17;-;-;-;618
"51 Mato Grosso";188;350;54;69;9;8;12;-;-;2;-;692
"52 Goi�s";234;808;127;43;7;34;9;-;-;-;-;1262
"53 Distrito Federal";116;14;9;79;9;5;-;-;-;-;-;232
"Total";10712;20070;1963;3725;283;1263;149;43;11;255;14;38488
