"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"Total"
"11 Rond�nia";122;149;7;52;11;5;-;-;-;1;-;347
"12 Acre";42;92;3;47;1;6;1;-;6;7;-;205
"13 Amazonas";222;301;38;103;1;23;-;-;1;3;-;692
"14 Roraima";47;57;2;2;-;4;2;-;6;-;-;120
"15 Par�";417;542;17;341;1;32;6;-;-;1;-;1357
"16 Amap�";38;104;9;15;1;14;2;-;-;-;-;183
"17 Tocantins";83;316;12;29;1;11;3;-;-;-;-;455
"21 Maranh�o";578;1259;21;95;-;72;7;-;-;22;-;2054
"22 Piau�";161;921;23;13;-;40;19;-;-;5;-;1182
"23 Cear�";453;1327;130;187;12;132;2;1;-;54;1;2299
"24 Rio Grande do Norte";45;831;8;25;-;42;3;-;-;34;-;988
"25 Para�ba";74;1192;14;28;7;88;-;-;-;8;-;1411
"26 Pernambuco";411;1424;93;196;20;101;1;4;-;13;-;2263
"27 Alagoas";141;593;30;25;1;33;1;10;-;14;-;848
"28 Sergipe";143;428;2;24;2;7;-;-;-;7;-;613
"29 Bahia";678;2099;16;529;19;88;26;3;-;14;-;3472
"31 Minas Gerais";1924;1859;554;162;30;213;22;-;-;11;-;4775
"32 Esp�rito Santo";182;396;13;134;6;2;-;-;-;5;-;738
"33 Rio de Janeiro";822;738;148;266;35;59;-;1;-;28;-;2097
"35 S�o Paulo";1886;1546;162;668;81;124;-;-;-;35;9;4511
"41 Paran�";600;834;398;240;4;66;6;1;-;7;4;2160
"42 Santa Catarina";560;816;38;89;2;36;4;-;-;5;-;1550
"43 Rio Grande do Sul";534;699;21;172;8;13;5;5;-;3;-;1460
"50 Mato Grosso do Sul";9;413;30;97;17;14;18;17;-;-;-;615
"51 Mato Grosso";186;352;54;68;9;8;12;-;-;1;-;690
"52 Goi�s";233;814;126;43;7;34;10;-;-;-;-;1267
"53 Distrito Federal";118;14;9;79;9;5;-;-;-;-;-;234
"Total";10709;20116;1978;3729;285;1272;150;42;13;278;14;38586
