"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"Total"
"11 Rond�nia";120;149;8;54;12;5;-;-;-;1;-;349
"12 Acre";43;94;3;46;1;6;1;-;6;2;-;202
"13 Amazonas";227;299;38;102;1;25;-;-;1;3;-;696
"14 Roraima";46;59;2;1;-;4;1;-;4;-;-;117
"15 Par�";417;534;17;344;1;31;4;-;-;1;-;1349
"16 Amap�";40;102;9;15;-;14;2;-;-;-;-;182
"17 Tocantins";83;314;12;30;1;10;3;-;-;1;-;454
"21 Maranh�o";574;1259;22;97;-;70;7;-;-;12;-;2041
"22 Piau�";161;936;24;14;-;42;20;-;-;5;-;1202
"23 Cear�";451;1326;134;188;12;131;2;1;-;47;-;2292
"24 Rio Grande do Norte";46;826;7;26;-;41;3;-;-;35;-;984
"25 Para�ba";75;1189;14;27;7;88;-;-;-;6;-;1406
"26 Pernambuco";413;1418;95;192;21;94;2;4;-;9;-;2248
"27 Alagoas";142;597;30;22;1;33;1;11;-;8;-;845
"28 Sergipe";145;424;2;24;2;7;-;-;-;3;-;607
"29 Bahia";686;2073;16;519;19;85;26;3;-;17;-;3444
"31 Minas Gerais";1920;1858;533;165;29;211;23;-;-;11;1;4751
"32 Esp�rito Santo";180;398;14;136;6;2;-;-;-;5;-;741
"33 Rio de Janeiro";848;726;131;262;35;59;-;1;-;24;1;2087
"35 S�o Paulo";1875;1512;154;677;80;122;-;-;-;35;11;4466
"41 Paran�";593;841;395;243;4;65;6;1;-;7;2;2157
"42 Santa Catarina";560;802;37;89;2;36;4;-;-;4;-;1534
"43 Rio Grande do Sul";530;698;20;171;8;13;5;5;-;4;-;1454
"50 Mato Grosso do Sul";10;411;30;99;17;14;18;17;-;-;-;616
"51 Mato Grosso";186;349;54;68;9;8;12;-;-;1;-;687
"52 Goi�s";234;802;128;43;7;34;9;-;-;-;-;1257
"53 Distrito Federal";131;14;9;65;9;5;-;-;-;-;-;233
"Total";10736;20010;1938;3719;284;1255;149;43;11;241;15;38401
