"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"Total"
"11 Rond�nia";129;143;10;56;12;8;-;-;-;-;-;-;2;-;360
"12 Acre";45;91;3;47;2;5;2;-;8;5;-;-;-;-;208
"13 Amazonas";225;296;40;108;2;25;-;-;1;6;-;1;-;-;704
"14 Roraima";48;56;3;3;1;4;2;-;6;-;-;-;-;-;123
"15 Par�";426;554;17;347;1;41;6;-;-;1;-;-;-;1;1394
"16 Amap�";42;94;8;14;1;13;2;-;-;-;-;-;-;-;174
"17 Tocantins";79;319;13;28;1;14;3;-;-;2;-;-;-;-;459
"21 Maranh�o";560;1242;21;111;-;81;7;-;-;26;-;-;-;-;2048
"22 Piau�";133;949;39;12;-;52;22;-;-;12;-;-;-;-;1219
"23 Cear�";425;1320;136;197;12;141;2;1;-;100;5;-;-;-;2339
"24 Rio Grande do Norte";47;823;7;28;-;47;3;-;-;42;-;-;-;-;997
"25 Para�ba";72;1164;14;31;7;94;-;-;-;27;-;-;-;-;1409
"26 Pernambuco";402;1382;96;238;19;119;2;4;-;40;1;-;-;-;2303
"27 Alagoas";135;595;30;33;1;37;1;11;-;14;-;-;-;-;857
"28 Sergipe";141;414;2;22;2;9;-;-;-;24;-;-;-;-;614
"29 Bahia";659;2119;16;536;18;93;26;3;-;24;-;-;-;-;3494
"31 Minas Gerais";1890;1913;573;184;28;232;23;-;-;13;-;-;-;-;4856
"32 Esp�rito Santo";191;409;2;124;6;4;-;-;-;6;-;-;-;-;742
"33 Rio de Janeiro";851;790;208;260;27;90;-;1;-;23;4;-;-;-;2254
"35 S�o Paulo";1913;1554;163;687;81;132;-;-;-;48;7;-;-;-;4585
"41 Paran�";613;837;392;235;2;67;5;1;-;10;5;-;-;-;2167
"42 Santa Catarina";542;828;46;95;2;42;-;-;-;1;-;-;-;-;1556
"43 Rio Grande do Sul";542;701;21;175;9;14;5;5;-;6;-;-;-;-;1478
"50 Mato Grosso do Sul";7;416;28;91;17;14;20;17;-;11;-;-;-;-;621
"51 Mato Grosso";183;355;55;71;9;8;14;-;1;2;-;-;-;-;698
"52 Goi�s";241;824;122;42;8;34;12;-;-;-;-;-;-;-;1283
"53 Distrito Federal";111;17;8;81;9;6;-;-;-;1;-;-;-;-;233
"Total";10652;20205;2073;3856;277;1426;157;43;16;444;22;1;2;1;39175
