"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"Total"
"11 Rond�nia";125;148;9;56;12;8;-;-;-;-;-;-;-;-;358
"12 Acre";42;93;3;48;1;5;1;-;8;6;-;-;-;-;207
"13 Amazonas";220;304;37;109;2;25;-;-;1;2;-;1;-;-;701
"14 Roraima";47;56;2;2;1;4;2;-;6;-;-;-;1;-;121
"15 Par�";413;547;16;343;1;39;5;-;-;2;-;-;2;1;1369
"16 Amap�";43;100;8;14;1;15;2;-;-;-;-;-;-;-;183
"17 Tocantins";81;314;12;29;1;12;3;-;-;4;-;-;-;-;456
"21 Maranh�o";558;1252;21;110;-;80;7;-;-;24;-;-;-;-;2052
"22 Piau�";139;948;38;16;-;49;22;-;-;13;-;-;-;-;1225
"23 Cear�";425;1284;140;198;12;140;2;1;-;108;4;-;-;-;2314
"24 Rio Grande do Norte";49;819;7;28;-;42;3;-;-;41;-;-;-;-;989
"25 Para�ba";74;1156;14;28;8;90;-;-;-;40;-;-;-;-;1410
"26 Pernambuco";413;1401;93;224;19;117;2;4;-;25;-;-;-;-;2298
"27 Alagoas";133;598;30;31;1;35;1;11;-;15;-;-;-;-;855
"28 Sergipe";148;414;2;22;2;9;-;-;-;20;-;-;-;-;617
"29 Bahia";668;2104;15;535;19;91;26;3;-;14;1;-;-;-;3476
"31 Minas Gerais";1893;1898;563;183;28;230;22;-;-;11;3;-;-;-;4831
"32 Esp�rito Santo";182;392;14;138;6;3;-;-;-;8;-;-;-;-;743
"33 Rio de Janeiro";849;778;188;266;33;82;-;1;-;20;3;-;-;-;2220
"35 S�o Paulo";1901;1571;162;664;82;129;-;-;-;42;11;-;-;-;4562
"41 Paran�";616;835;388;241;4;68;6;1;-;7;4;-;-;-;2170
"42 Santa Catarina";550;820;43;89;2;38;3;-;-;7;-;-;-;-;1552
"43 Rio Grande do Sul";535;707;22;176;9;14;5;5;-;4;-;-;-;-;1477
"50 Mato Grosso do Sul";8;417;26;95;17;14;20;17;-;8;-;-;-;-;622
"51 Mato Grosso";182;352;53;70;9;8;14;-;-;4;-;-;-;-;692
"52 Goi�s";235;822;122;42;8;33;10;-;-;-;-;-;-;-;1272
"53 Distrito Federal";114;17;8;82;9;5;-;-;-;-;-;-;-;-;235
"Total";10643;20147;2036;3839;287;1385;156;43;15;425;26;1;3;1;39007
