"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"Total"
"11 Rond�nia";122;151;7;53;12;6;-;-;-;1;-;352
"12 Acre";42;93;3;48;1;5;1;-;7;6;-;206
"13 Amazonas";221;308;38;103;1;22;-;-;1;3;-;697
"14 Roraima";48;58;2;2;-;4;2;-;6;-;-;122
"15 Par�";412;542;16;343;1;33;5;-;-;2;-;1354
"16 Amap�";44;99;8;14;1;14;2;-;-;-;-;182
"17 Tocantins";81;318;12;28;1;12;3;-;-;2;-;457
"21 Maranh�o";572;1254;21;99;-;75;7;-;-;22;-;2050
"22 Piau�";151;927;30;16;-;43;21;-;-;6;-;1194
"23 Cear�";440;1310;130;204;12;137;2;1;-;69;4;2309
"24 Rio Grande do Norte";48;827;8;26;-;43;3;-;-;38;-;993
"25 Para�ba";75;1157;14;28;8;90;-;-;-;38;-;1410
"26 Pernambuco";411;1418;96;195;20;102;2;4;-;20;-;2268
"27 Alagoas";134;594;30;32;1;33;1;10;-;14;-;849
"28 Sergipe";146;424;2;23;2;8;-;-;-;10;-;615
"29 Bahia";671;2100;14;532;19;89;26;3;-;10;1;3465
"31 Minas Gerais";1911;1868;563;173;29;217;22;-;-;10;2;4795
"32 Esp�rito Santo";184;393;15;137;6;2;-;-;-;6;-;743
"33 Rio de Janeiro";834;748;160;264;35;59;-;1;-;21;-;2122
"35 S�o Paulo";1883;1568;160;662;80;118;-;-;-;36;10;4517
"41 Paran�";602;839;394;244;4;67;6;1;-;9;6;2172
"42 Santa Catarina";556;818;40;89;2;36;3;-;-;5;-;1549
"43 Rio Grande do Sul";536;706;22;174;8;13;5;5;-;4;-;1473
"50 Mato Grosso do Sul";10;405;30;97;17;14;18;17;-;-;-;608
"51 Mato Grosso";185;349;53;68;9;8;14;-;-;3;-;689
"52 Goi�s";233;820;123;43;7;34;10;-;-;-;-;1270
"53 Distrito Federal";118;14;9;79;9;5;-;-;-;-;-;234
"Total";10670;20108;2000;3776;285;1289;153;42;14;335;23;38695
