"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"70 ESF - EQUIPE DE SAUDE DA FAMILIA";"71 ESB - EQUIPE DE SAUDE BUCAL";"72 ENASF-AB - EQ NUCLEO AMPLIADO SAUDE DA FAMILIA AT. PRIMARIA";"73 ECR - EQUIPE DOS CONSULTORIOS NA RUA";"74 EABP - EQUIPE DE ATENCAO PRIMARIA PRISIONAL";"75 EMAESM - EQ  MULTIPROF  ATENCAO ESPECIALIZADA SAUDE MENTAL";"76 EAP - EQUIPE DE ATENCAO PRIMARIA";"Total"
"11 Rond�nia";4;1;-;1;-;-;-;7;-;-;-;-;-;-;-;-;8;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;429;169;24;1;18;1;9;675
"12 Acre";4;-;-;2;-;1;-;10;-;-;-;1;-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;249;148;22;1;2;1;16;461
"13 Amazonas";1;-;-;2;-;-;-;71;-;-;-;1;-;-;-;-;14;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;948;729;78;2;11;-;135;1998
"14 Roraima";-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;145;80;16;-;4;-;1;277
"15 Par�";4;-;-;8;-;2;-;14;-;-;2;-;-;-;-;-;36;33;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;1985;1048;156;5;12;-;17;3331
"16 Amap�";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;193;140;24;2;-;-;1;365
"17 Tocantins";-;-;-;-;-;3;-;7;-;-;-;-;-;-;-;-;5;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;554;449;135;1;32;-;1;1192
"21 Maranh�o";9;3;-;4;-;3;-;9;-;-;-;-;-;-;-;-;15;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;1;-;-;-;-;-;2364;1612;228;2;20;2;15;4303
"22 Piau�";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;1;-;-;-;-;-;1360;1261;255;1;9;-;4;2920
"23 Cear�";3;3;-;4;-;14;-;20;13;-;-;-;-;-;-;-;57;39;1;-;-;-;-;-;-;-;-;1;-;-;-;-;13;-;-;-;-;-;-;2801;2112;282;1;22;1;8;5395
"24 Rio Grande do Norte";-;-;-;3;-;6;2;-;-;-;-;-;-;-;-;-;10;9;-;-;-;-;-;1;-;-;-;-;-;-;-;1;6;-;2;-;-;-;-;1120;1056;164;5;10;-;4;2399
"25 Para�ba";1;-;-;3;-;1;-;3;-;-;-;-;-;-;-;-;22;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;-;-;-;1501;1388;278;5;8;19;4;3288
"26 Pernambuco";-;-;-;35;-;4;-;20;1;-;-;-;-;-;-;-;31;21;-;-;-;-;-;-;-;-;-;-;-;-;-;1;6;-;-;-;-;-;-;2585;1984;258;6;36;2;15;5005
"27 Alagoas";3;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;23;38;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;923;762;133;6;9;1;6;1935
"28 Sergipe";-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;15;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;698;468;72;1;3;2;3;1285
"29 Bahia";13;17;-;53;5;7;1;16;-;-;-;-;-;-;-;-;54;70;-;-;-;-;-;-;-;-;-;-;3;-;-;-;29;-;-;-;-;-;-;4191;3118;441;12;24;18;154;8226
"31 Minas Gerais";43;18;6;9;5;26;3;8;-;-;-;-;4;-;-;-;95;68;-;-;-;-;-;-;-;-;-;-;-;-;-;4;22;1;-;-;2;-;2;5859;3806;881;18;76;17;159;11132
"32 Esp�rito Santo";13;9;-;11;-;2;2;5;-;-;-;-;2;-;-;-;2;4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;913;632;34;5;25;12;138;1811
"33 Rio de Janeiro";71;12;7;40;1;2;2;2;1;1;-;-;7;-;-;3;75;45;-;-;12;2;1;10;2;2;2;-;-;-;-;-;4;1;-;-;-;-;-;3019;1353;209;25;11;-;129;5051
"35 S�o Paulo";72;20;2;124;15;17;10;5;4;-;-;-;49;8;2;24;220;98;1;-;2;-;-;3;-;-;3;1;3;5;7;6;11;1;-;1;5;1;-;6424;3766;549;56;75;25;1528;13143
"41 Paran�";27;5;1;15;1;7;3;2;-;-;-;-;-;-;-;-;25;14;-;-;-;-;-;-;-;-;1;1;-;2;-;3;6;-;1;-;-;-;-;2612;1689;300;7;10;4;338;5074
"42 Santa Catarina";6;2;1;7;-;4;1;2;-;-;-;-;1;-;-;-;14;8;-;-;-;-;-;-;-;-;-;-;-;-;-;6;3;-;-;-;-;1;-;2035;1267;274;5;27;6;92;3762
"43 Rio Grande do Sul";7;4;-;32;-;9;2;9;1;-;-;-;10;6;1;2;39;14;-;-;-;-;-;1;-;-;-;-;-;14;-;-;8;-;-;1;-;-;-;2389;1344;197;9;44;29;441;4613
"50 Mato Grosso do Sul";1;1;-;9;-;1;1;22;-;-;-;-;-;-;-;-;9;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;2;1;-;-;-;737;615;76;3;49;1;6;1548
"51 Mato Grosso";1;1;-;4;-;-;-;18;-;-;-;-;-;-;-;-;8;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;853;633;84;2;11;-;11;1630
"52 Goi�s";3;3;-;4;-;10;-;1;-;-;-;-;1;-;-;1;32;39;-;-;-;-;-;-;-;-;-;-;-;-;-;1;16;-;-;1;-;-;-;1598;1170;214;9;65;8;55;3231
"53 Distrito Federal";2;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;14;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;597;263;33;3;14;-;-;939
"Total";288;99;17;370;27;124;28;291;20;1;2;2;74;14;3;30;835;608;2;1;14;2;1;15;2;2;6;3;6;21;7;23;204;6;6;4;7;2;2;49082;33062;5417;193;627;149;3290;94989
